collection,word,translation,article,gender,plural,word_class,example,topic,source_page
cosmopolite-a1-methode,Iran,,l',,,noun,l'Iran,travel,016
cosmopolite-a1-methode,Liban,,le,,,noun,le Liban,travel,016
cosmopolite-a1-methode,Madagascar,,,,,noun,,travel,016
cosmopolite-a1-methode,Malte,,,,,noun,,travel,016
cosmopolite-a1-methode,Mexique,,le,,,noun,le Mexique,travel,016
cosmopolite-a1-methode,neuf,,,,,other,,none,016
cosmopolite-a1-methode,onze,,,,,other,,none,016
cosmopolite-a1-methode,Pays-Bas,,les,,,noun,les Pays-Bas,travel,016
cosmopolite-a1-methode,quarante,,,,,other,,none,016
cosmopolite-a1-methode,quarante-cinq,,,,,other,,none,016
cosmopolite-a1-methode,quarante-deux,,,,,other,,none,016
cosmopolite-a1-methode,quarante-huit,,,,,other,,none,016
cosmopolite-a1-methode,quarante-sept,,,,,other,,none,016
cosmopolite-a1-methode,quarante-six,,,,,other,,none,016
cosmopolite-a1-methode,quarante-trois,,,,,other,,none,016
cosmopolite-a1-methode,quatorze,,,,,other,,none,016
cosmopolite-a1-methode,quatre,,,,,other,,none,016
cosmopolite-a1-methode,quinze,,,,,other,,none,016
cosmopolite-a1-methode,seize,,,,,other,,none,016
cosmopolite-a1-methode,sept,,,,,other,,none,016
cosmopolite-a1-methode,Singapour,,,,,noun,,travel,016
cosmopolite-a1-methode,six,,,,,other,,none,016
cosmopolite-a1-methode,soixante,,,,,other,,none,016
cosmopolite-a1-methode,soixante-cinq,,,,,other,,none,016
cosmopolite-a1-methode,soixante-deux,,,,,other,,none,016
cosmopolite-a1-methode,soixante-huit,,,,,other,,none,016
cosmopolite-a1-methode,soixante-neuf,,,,,other,,none,016
cosmopolite-a1-methode,soixante-quatre,,,,,other,,none,016
cosmopolite-a1-methode,soixante-sept,,,,,other,,none,016
cosmopolite-a1-methode,soixante-trois,,,,,other,,none,016
cosmopolite-a1-methode,treize,,,,,other,,none,016
cosmopolite-a1-methode,trente,,,,,other,,none,016
cosmopolite-a1-methode,trente et un,,,,,other,,none,016
cosmopolite-a1-methode,trente-cinq,,,,,other,,none,016
cosmopolite-a1-methode,trente-huit,,,,,other,,none,016
cosmopolite-a1-methode,trente-neuf,,,,,other,,none,016
cosmopolite-a1-methode,trente-quatre,,,,,other,,none,016
cosmopolite-a1-methode,trente-six,,,,,other,,none,016
cosmopolite-a1-methode,trente-trois,,,,,other,,none,016
cosmopolite-a1-methode,trois,,,,,other,,none,016
cosmopolite-a1-methode,un,,,,,other,,none,016
cosmopolite-a1-methode,vingt,,,,,other,,none,016
cosmopolite-a1-methode,vingt-cinq,,,,,other,,none,016
cosmopolite-a1-methode,vingt-deux,,,,,other,,none,016
cosmopolite-a1-methode,vingt-huit,,,,,other,,none,016
cosmopolite-a1-methode,vingt-neuf,,,,,other,,none,016
cosmopolite-a1-methode,vingt-quatre,,,,,other,,none,016
cosmopolite-a1-methode,vingt-sept,,,,,other,,none,016
cosmopolite-a1-methode,vingt-six,,,,,other,,none,016
cosmopolite-a1-methode,vingt-trois,,,,,other,,none,016
cosmopolite-a1-methode,zéro,,,,,other,,none,016
cosmopolite-a1-methode,États-Unis,,les,,,noun,les États-Unis,travel,016
cosmopolite-a1-methode,Comment on dit today en français ?,,,,,phrase,Comment on dit today en français ?,school,018
cosmopolite-a1-methode,Comment ça s'écrit ?,,,,,phrase,Comment ça s'écrit ?,school,018
cosmopolite-a1-methode,Fermez le livre.,,,,,phrase,Fermez le livre.,school,018
cosmopolite-a1-methode,février,,,,,noun,,time-dates,018
cosmopolite-a1-methode,janvier,,,,,noun,,time-dates,018
cosmopolite-a1-methode,Je ne comprends pas.,,,,,phrase,Je ne comprends pas.,school,018
cosmopolite-a1-methode,Je ne sais pas.,,,,,phrase,Je ne sais pas.,school,018
cosmopolite-a1-methode,lundi,,,,,noun,lundi,time-dates,018
cosmopolite-a1-methode,mars,,,,,noun,,time-dates,018
cosmopolite-a1-methode,Observez le document.,,,,,phrase,Observez le document.,school,018
cosmopolite-a1-methode,Ouvrez le livre.,,,,,phrase,Ouvrez le livre.,school,018
cosmopolite-a1-methode,"Répétez, s'il vous plaît.",,,,,phrase,"Répétez, s'il vous plaît.",school,018
cosmopolite-a1-methode,Travaillez par deux.,,,,,phrase,Travaillez par deux.,school,018
cosmopolite-a1-methode,Écoutez le dialogue.,,,,,phrase,Écoutez le dialogue.,school,018
cosmopolite-a1-methode,été,,l',,,noun,l'été,time-dates,018
cosmopolite-a1-methode,algérien,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,algérienne,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,américain,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,américaine,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,anglais,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,anglaise,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,brésilien,,,,,adjective,Il est brésilien.,personal-info,026
cosmopolite-a1-methode,camerounais,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,camerounaise,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,chinois,,,,,adjective,Il est chinois.,personal-info,026
cosmopolite-a1-methode,espagnol,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,espagnole,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,français,,,,,adjective,Il est français.,personal-info,026
cosmopolite-a1-methode,grec,,,,,adjective,Il est grec.,personal-info,026
cosmopolite-a1-methode,grecque,,,,,adjective,Elle est grecque.,personal-info,026
cosmopolite-a1-methode,indien,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,indienne,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,mexicain,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,mexicaine,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,russe,,,,,adjective,Il est russe.,personal-info,026
cosmopolite-a1-methode,réalisateur,,,,,noun,Xavier Dolan est réalisateur.,profession,026
cosmopolite-a1-methode,suisse,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,suédois,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,suédoise,,,,,adjective,,personal-info,026
cosmopolite-a1-methode,turc,,,,,adjective,Il est turc.,personal-info,026
cosmopolite-a1-methode,turque,,,,,adjective,Elle est turque.,personal-info,026
cosmopolite-a1-methode,Amour,,,,,noun,,mixed,034
cosmopolite-a1-methode,Cinq,,,,,other,,mixed,034
cosmopolite-a1-methode,Continents,,,,,noun,,mixed,034
cosmopolite-a1-methode,Dialecte,,,,,noun,,mixed,034
cosmopolite-a1-methode,Français,,,,,noun,,mixed,034
cosmopolite-a1-methode,Langue,,,,,noun,,mixed,034
cosmopolite-a1-methode,Monde,,,,,noun,,mixed,034
cosmopolite-a1-methode,Nombre,,,,,noun,,mixed,034
cosmopolite-a1-methode,Numéro,,,,,noun,,mixed,034
cosmopolite-a1-methode,Officielle,,,,,adjective,,mixed,034
cosmopolite-a1-methode,Ouverture,,,,,noun,,mixed,034
cosmopolite-a1-methode,Pays,,,,,noun,,mixed,034
cosmopolite-a1-methode,Planète,,,,,noun,,mixed,034
cosmopolite-a1-methode,Sept,,,,,other,,mixed,034
cosmopolite-a1-methode,Travail,,,,,noun,,mixed,034
cosmopolite-a1-methode,Universelle,,,,,adjective,,mixed,034
cosmopolite-a1-methode,Ville,,,,,noun,,mixed,034
cosmopolite-a1-methode,cousin,,le,,,noun,,family,058
cosmopolite-a1-methode,cousine,,la,,,noun,,family,058
cosmopolite-a1-methode,célibataire,,,,,adjective,Je suis célibataire.,family,058
cosmopolite-a1-methode,enfants,,,,,noun,mes enfants,family,058
cosmopolite-a1-methode,famille d'accueil,,,,,noun,leur famille d'accueil,family,058
cosmopolite-a1-methode,frère,,le,,,noun,,family,058
cosmopolite-a1-methode,grand-mère,,la,,,noun,,family,058
cosmopolite-a1-methode,grand-père,,le,,,noun,,family,058
cosmopolite-a1-methode,mère,,la,,,noun,,family,058
cosmopolite-a1-methode,mère d'accueil,,,,,noun,votre mère d'accueil,family,058
cosmopolite-a1-methode,oncle,,l',,,noun,,family,058
cosmopolite-a1-methode,père,,le,,,noun,,family,058
cosmopolite-a1-methode,sœur,,la,,,noun,,family,058
cosmopolite-a1-methode,tante,,la,,,noun,,family,058
cosmopolite-a1-methode,acteur,,,,,noun,,profession,064
cosmopolite-a1-methode,actrice,,,,,noun,,profession,064
cosmopolite-a1-methode,aimer,,,,,verb,,none,064
cosmopolite-a1-methode,boulanger,,,,,noun,,profession,064
cosmopolite-a1-methode,chanteur,,,,,noun,,profession,064
cosmopolite-a1-methode,chanteuse,,,,,noun,,profession,064
cosmopolite-a1-methode,coiffeuse,,,,,noun,,profession,064
cosmopolite-a1-methode,comédien,,,,,noun,,profession,064
cosmopolite-a1-methode,comédienne,,,,,noun,,profession,064
cosmopolite-a1-methode,dessinateur,,,,,noun,,profession,064
cosmopolite-a1-methode,diplomate,,,,,noun,,profession,064
cosmopolite-a1-methode,infirmier,,,,,noun,,profession,064
cosmopolite-a1-methode,infirmière,,,,,noun,,profession,064
cosmopolite-a1-methode,informer,,,,,verb,,none,064
cosmopolite-a1-methode,journaliste,,,,,noun,,profession,064
cosmopolite-a1-methode,musicienne,,,,,noun,,profession,064
cosmopolite-a1-methode,président,,,,,noun,,profession,064
cosmopolite-a1-methode,rêver,,,,,verb,,none,064
cosmopolite-a1-methode,sauver,,,,,verb,,none,064
cosmopolite-a1-methode,travailler,,,,,verb,,none,064
cosmopolite-a1-methode,étudiant,,,,,noun,,profession,064
cosmopolite-a1-methode,étudiante,,,,,noun,,profession,064
cosmopolite-a1-methode,anglais,,,,,noun,,communication,067
cosmopolite-a1-methode,Cardiologue,,,,,noun,,health,067
cosmopolite-a1-methode,Chirurgien,,,,,noun,,health,067
cosmopolite-a1-methode,Dentiste,,,,,noun,,health,067
cosmopolite-a1-methode,espagnol,,,,,noun,,communication,067
cosmopolite-a1-methode,Français,,,,,noun,,communication,067
cosmopolite-a1-methode,Médecin généraliste,,,,,noun,,health,067
cosmopolite-a1-methode,roumain,,,,,noun,,communication,067
cosmopolite-a1-methode,au coude,,,,,phrase,au coude,health,068
cosmopolite-a1-methode,au nez,,,,,phrase,au nez,health,068
cosmopolite-a1-methode,au pied,,,,,phrase,au pied,health,068
cosmopolite-a1-methode,au ventre,,,,,phrase,au ventre,health,068
cosmopolite-a1-methode,aux oreilles,,,,,phrase,aux oreilles,health,068
cosmopolite-a1-methode,aux yeux,,,,,phrase,aux yeux,health,068
cosmopolite-a1-methode,bouche,,la,,,noun,,health,068
cosmopolite-a1-methode,bras,,le,,,noun,,health,068
cosmopolite-a1-methode,dos,,le,,,noun,,health,068
cosmopolite-a1-methode,genou,,le,,,noun,,health,068
cosmopolite-a1-methode,gorge,,la,,,noun,,health,068
cosmopolite-a1-methode,main,,la,,,noun,,health,068
cosmopolite-a1-methode,à l'oreille droite,,,,,phrase,à l'oreille droite,health,068
cosmopolite-a1-methode,à l'œil gauche,,,,,phrase,à l'œil gauche,health,068
cosmopolite-a1-methode,à la poitrine,,,,,phrase,à la poitrine,health,068
cosmopolite-a1-methode,à la tête,,,,,phrase,à la tête,health,068
cosmopolite-a1-methode,après,,,,,adverb,,time-dates,075
cosmopolite-a1-methode,d'abord,,,,,adverb,,time-dates,075
cosmopolite-a1-methode,ensuite,,,,,adverb,,time-dates,075
cosmopolite-a1-methode,puis,,,,,adverb,,time-dates,075
cosmopolite-a1-methode,authentique,,,,,adjective,,travel,118
cosmopolite-a1-methode,balcon,,le,,,noun,,home,118
cosmopolite-a1-methode,bon,,,,,adjective,,travel,118
cosmopolite-a1-methode,Choisir,,,,,verb,,none,118
cosmopolite-a1-methode,confortable,,,,,adjective,,travel,118
cosmopolite-a1-methode,couloir,,le,,,noun,,home,118
cosmopolite-a1-methode,cuisine,,la,,,noun,,home,118
cosmopolite-a1-methode,Dormir,,,,,verb,,daily-routine,118
cosmopolite-a1-methode,jardin,,le,,,noun,,home,118
cosmopolite-a1-methode,nouvel,,,,,adjective,un nouvel ami,travel,118
cosmopolite-a1-methode,Offrir,,,,,verb,,none,118
cosmopolite-a1-methode,partir,,,,,verb,,travel,118
cosmopolite-a1-methode,salle à manger,,la,,,noun,,home,118
cosmopolite-a1-methode,salon,,le,,,noun,,home,118
cosmopolite-a1-methode,toilettes,,les,,,noun,,home,118
cosmopolite-a1-methode,agneau,,l',,,noun,,food,130
cosmopolite-a1-methode,brocolis,,les,,,noun,,food,130
cosmopolite-a1-methode,bœuf,,le,,,noun,,food,130
cosmopolite-a1-methode,canard,,le,,,noun,,food,130
cosmopolite-a1-methode,carottes,,les,,,noun,,food,130
cosmopolite-a1-methode,cerises,,les,,,noun,,food,130
cosmopolite-a1-methode,chocolat,,le,,,noun,,food,130
cosmopolite-a1-methode,citron,,le,,,noun,,food,130
cosmopolite-a1-methode,filet de colin,,le,,,noun,,food,130
cosmopolite-a1-methode,fraises,,les,,,noun,,food,130
cosmopolite-a1-methode,framboises,,les,,,noun,,food,130
cosmopolite-a1-methode,fromage,,le,,,noun,,food,130
cosmopolite-a1-methode,fruits rouges,,les,,,noun,,food,130
cosmopolite-a1-methode,haricots verts,,les,,,noun,,food,130
cosmopolite-a1-methode,jus de fruits,,les,,,noun,,food,130
cosmopolite-a1-methode,oignon,,l',,,noun,,food,130
cosmopolite-a1-methode,pain,,le,,,noun,,food,130
cosmopolite-a1-methode,petits pois,,les,,,noun,,food,130
cosmopolite-a1-methode,pomme,,la,,,noun,,food,130
cosmopolite-a1-methode,pommes de terre,,les,,,noun,,food,130
cosmopolite-a1-methode,poulet,,le,,,noun,,food,130
cosmopolite-a1-methode,purée de pommes de terre,,de la,,,noun,de la purée de pommes de terre,food,130
cosmopolite-a1-methode,rillettes,,des,,,noun,des rillettes,food,130
cosmopolite-a1-methode,salade,,la,,,noun,,food,130
cosmopolite-a1-methode,saumon,,le,,,noun,,food,130
cosmopolite-a1-methode,soupe à l'oignon,,la,,,noun,j'adore la soupe à l'oignon,food,130
cosmopolite-a1-methode,épinards,,les,,,noun,,food,130
cosmopolite-a1-methode,bijoux,,des,,,noun,,shopping,137
cosmopolite-a1-methode,bottes,,des,,,noun,,shopping,137
cosmopolite-a1-methode,chapeaux,,des,,,noun,,shopping,137
cosmopolite-a1-methode,chaussures de sport,,des,,,noun,,shopping,137
cosmopolite-a1-methode,chaussures à talons,,des,,,noun,,shopping,137
cosmopolite-a1-methode,costume,,un,,,noun,,shopping,137
cosmopolite-a1-methode,cravate,,une,,,noun,,shopping,137
cosmopolite-a1-methode,jupe,,une,,,noun,,shopping,137
cosmopolite-a1-methode,lunettes,,des,,,noun,,shopping,137
cosmopolite-a1-methode,manteau,,un,,,noun,,shopping,137
cosmopolite-a1-methode,pantalon,,un,,,noun,,shopping,137
cosmopolite-a1-methode,robe,,une,,,noun,,shopping,137
cosmopolite-a1-methode,sacs,,des,,,noun,,shopping,137
cosmopolite-a1-methode,veste,,une,,,noun,,shopping,137
cosmopolite-a1-methode,bien connaître le magasin,,,,,phrase,bien connaître le magasin,shopping,138
cosmopolite-a1-methode,bien informer les clients,,,,,phrase,bien informer les clients,shopping,138
cosmopolite-a1-methode,bien parler français,,,,,phrase,bien parler français,shopping,138
cosmopolite-a1-methode,bien recevoir les clients,,,,,phrase,bien recevoir les clients,shopping,138
cosmopolite-a1-methode,bien s'habiller,,,,,phrase,bien s'habiller,shopping,138
cosmopolite-a1-methode,payer,,,,,verb,,shopping,138
cosmopolite-a1-methode,"Magasin de produits culturels (livres, films, musique) et d'électronique.",,,,,phrase,"Magasin de produits culturels (livres, films, musique) et d'électronique.",shopping,142
cosmopolite-a1-methode,Magasin de vêtements pour hommes.,,,,,phrase,Magasin de vêtements pour hommes.,shopping,142
cosmopolite-a1-methode,"Produits de beauté, parfums et soins.",,,,,phrase,"Produits de beauté, parfums et soins.",shopping,142
cosmopolite-a1-methode,Salon de coiffure.,,,,,phrase,Salon de coiffure.,shopping,142
cosmopolite-a1-methode,"Supermarché, produits alimentaires et pour la maison.",,,,,phrase,"Supermarché, produits alimentaires et pour la maison.",shopping,142
cosmopolite-a1-methode,Épicerie fine.,,,,,phrase,Épicerie fine.,shopping,142
cosmopolite-a1-methode,accueillant,,,,,adjective,Accueillant !,restaurant,150
cosmopolite-a1-methode,bruyant,,,,,adjective,,restaurant,150
cosmopolite-a1-methode,croustillant,,,,,adjective,,restaurant,150
cosmopolite-a1-methode,délicieux,,,,,adjective,,restaurant,150
cosmopolite-a1-methode,exceptionnel,,,,,adjective,,restaurant,150
cosmopolite-a1-methode,très bien,,,,,adverb,,restaurant,150
cosmopolite-a1-methode,cadeau,,,,,noun,,hobby,158
cosmopolite-a1-methode,date,,,,,noun,,hobby,158
cosmopolite-a1-methode,invités,,,,,noun,,hobby,158
cosmopolite-a1-methode,lieu,,,,,noun,,hobby,158
cosmopolite-a1-methode,musique,,,,,noun,,hobby,158
cosmopolite-a1-methode,voisins,,les,,,noun,les voisins,family,158
cosmopolite-a1-methode,Atelier de photos,,,,,noun,Atelier de photos,hobby,159
cosmopolite-a1-methode,charcuteries,,,,,noun,"Assiettes de charcuteries, fromages, tartines salées",food,159
cosmopolite-a1-methode,fromages,,,,,noun,"Assiettes de charcuteries, fromages, tartines salées",food,159
cosmopolite-a1-methode,Karaoké,,,,,noun,Soirée karaoké,hobby,159
cosmopolite-a1-methode,tartines salées,,,,,noun,"Assiettes de charcuteries, fromages, tartines salées",food,159
cosmopolite-a1-methode,anniversaire,,,,,noun,,family,160
cosmopolite-a1-methode,boissons,,,,,noun,J'ai besoin de 5 boissons.,food,160
cosmopolite-a1-methode,cadeau,,le,,,noun,Qui veut bien acheter le cadeau ?,family,160
cosmopolite-a1-methode,desserts,,,,,noun,J'ai besoin de 3 desserts.,food,160
cosmopolite-a1-methode,DVD de karaoké,,des,,,noun,Qui peut apporter des DVD de karaoké ?,hobby,160
cosmopolite-a1-methode,mariage,,,,,noun,,family,160
cosmopolite-a1-methode,plats,,,,,noun,J'ai besoin de 3 plats.,food,160
cosmopolite-a1-methode,repas entre amis,,,,,noun,,hobby,160
cosmopolite-a1-methode,réunion entre amis,,,,,noun,,hobby,160
cosmopolite-a1-methode,réveillon de Noël,,,,,noun,,family,160
cosmopolite-a1-methode,soirée de nouvel an,,,,,noun,,hobby,160
cosmopolite-a1-methode,soirée filles,,,,,noun,,hobby,160
cosmopolite-a1-methode,soirée karaoké,,,,,noun,,hobby,160
cosmopolite-a1-methode,vidéoprojecteur,,un,,,noun,J'ai besoin d'un vidéoprojecteur.,home,160
cosmopolite-a1-methode,Belgique,,,,,noun,,travel,163
cosmopolite-a1-methode,Canada,,,,,noun,,travel,163
cosmopolite-a1-methode,Côte d'Ivoire,,la,,,noun,la Côte d'Ivoire,travel,163
cosmopolite-a1-methode,Dakar,,,,,noun,,travel,163
cosmopolite-a1-methode,France,,la,,,noun,la France,travel,163
cosmopolite-a1-methode,Liban,,,,,noun,,travel,163
cosmopolite-a1-methode,Madagascar,,,,,noun,,travel,163
cosmopolite-a1-methode,Mali,,,,,noun,,travel,163
cosmopolite-a1-methode,Paris,,,,,noun,,travel,163
cosmopolite-a1-methode,Suisse,,,,,noun,,travel,163
cosmopolite-a1-methode,Sénégal,,le,,,noun,le Sénégal,travel,163
cosmopolite-a1-methode,Tunisie,,,,,noun,,travel,163
cosmopolite-a1-methode,Yamoussoukro,,,,,noun,,travel,163
cosmopolite-a1-methode,cinquante-deux,,,,,other,,personal-info,164
cosmopolite-a1-methode,cinquante-quatre,,,,,other,,personal-info,164
cosmopolite-a1-methode,conversation,,,,,noun,,school,164
cosmopolite-a1-methode,dialogue,,,,,noun,,school,164
cosmopolite-a1-methode,femme,,,,,noun,,school,164
cosmopolite-a1-methode,homme,,,,,noun,,school,164
cosmopolite-a1-methode,Où,,,,,other,Où ?,communication,164
cosmopolite-a1-methode,professions,,,,,noun,,school,164
cosmopolite-a1-methode,présentation,,,,,noun,,school,164
cosmopolite-a1-methode,Quand,,,,,other,Quand ?,communication,164
cosmopolite-a1-methode,quarante-trois,,,,,other,,personal-info,164
cosmopolite-a1-methode,quatre-vingt-cinq,,,,,other,,personal-info,164
cosmopolite-a1-methode,quatre-vingt-dix,,,,,other,,personal-info,164
cosmopolite-a1-methode,quatre-vingt-dix-neuf,,,,,other,,personal-info,164
cosmopolite-a1-methode,quatre-vingt-quinze,,,,,other,,personal-info,164
cosmopolite-a1-methode,quatre-vingt-seize,,,,,other,,personal-info,164
cosmopolite-a1-methode,quatre-vingt-sept,,,,,other,,personal-info,164
cosmopolite-a1-methode,quatre-vingt-treize,,,,,other,,personal-info,164
cosmopolite-a1-methode,Quelle saison,,,,,phrase,Quelle saison ?,communication,164
cosmopolite-a1-methode,questions,,,,,noun,,school,164
cosmopolite-a1-methode,Qui,,,,,other,Qui ?,communication,164
cosmopolite-a1-methode,Quoi,,,,,other,Quoi ?,communication,164
cosmopolite-a1-methode,seize,,,,,other,,personal-info,164
cosmopolite-a1-methode,situation,,,,,noun,,school,164
cosmopolite-a1-methode,soixante et un,,,,,other,,personal-info,164
cosmopolite-a1-methode,soixante-dix-huit,,,,,other,,personal-info,164
cosmopolite-a1-methode,soixante-neuf,,,,,other,,personal-info,164
cosmopolite-a1-methode,soixante-quatorze,,,,,other,,personal-info,164
cosmopolite-a1-methode,soixante-six,,,,,other,,personal-info,164
cosmopolite-a1-methode,soixante-treize,,,,,other,,personal-info,164
cosmopolite-a1-methode,treize,,,,,other,,personal-info,164
cosmopolite-a1-methode,vingt,,,,,other,,personal-info,164
cosmopolite-a1-methode,vingt-deux,,,,,other,,personal-info,164
cosmopolite-a1-methode,zéro deux,,,,,other,,personal-info,164
cosmopolite-a1-methode,zéro huit,,,,,other,,personal-info,164
cosmopolite-a1-methode,zéro quatre,,,,,other,,personal-info,164
cosmopolite-a1-methode,zéro sept,,,,,other,,personal-info,164
cosmopolite-a1-methode,zéro six,,,,,other,,personal-info,164
cosmopolite-a1-methode,étudiant,,,,,noun,,school,164
cosmopolite-a1-methode,ANGLETERRE,,,,,noun,Gemma est … . (ANGLETERRE),travel,165
cosmopolite-a1-methode,CAMEROUN,,,,,noun,Saïdou est … . (CAMEROUN),travel,165
cosmopolite-a1-methode,CANADA,,,,,noun,Xavier est … . (CANADA),travel,165
cosmopolite-a1-methode,CHINE,,,,,noun,Sissi est … . (CHINE),travel,165
cosmopolite-a1-methode,FRANCE,,,,,noun,Nicolas est français. (FRANCE),travel,165
cosmopolite-a1-methode,français,,,,,adjective,Nicolas est français.,personal-info,165
cosmopolite-a1-methode,langues parlées,,,,,noun,,personal-info,165
cosmopolite-a1-methode,nationalité,,,,,noun,,personal-info,165
cosmopolite-a1-methode,numéro de téléphone,,,,,noun,,personal-info,165
cosmopolite-a1-methode,prénom,,,,,noun,,personal-info,165
cosmopolite-a1-methode,ROUMANIE,,,,,noun,Camille est … . (ROUMANIE),travel,165
cosmopolite-a1-methode,RUSSIE,,,,,noun,Vladimir est … . (RUSSIE),travel,165
cosmopolite-a1-methode,VIETNAM,,,,,noun,Thu est … . (VIETNAM),travel,165
cosmopolite-a1-methode,âge,,,,,noun,,personal-info,165
cosmopolite-a1-methode,aller,,,,,verb,"Nous (aller) … bien, merci.",daily-routine,166
cosmopolite-a1-methode,avoir,,,,,verb,J'(avoir) … 30 ans.,personal-info,166
cosmopolite-a1-methode,Langue maternelle,,,,,noun,,personal-info,166
cosmopolite-a1-methode,Langues parlées,,,,,noun,,personal-info,166
cosmopolite-a1-methode,Nationalité,,,,,noun,,personal-info,166
cosmopolite-a1-methode,Nom,,,,,noun,,personal-info,166
cosmopolite-a1-methode,Numéro de téléphone,,,,,noun,,personal-info,166
cosmopolite-a1-methode,Parce que,,,,,other,J'étudie le français (pour / parce que) : …,school,166
cosmopolite-a1-methode,parler,,,,,verb,Vous (parler) … chinois ?,communication,166
cosmopolite-a1-methode,pour,,,,,preposition,J'étudie le français (pour / parce que) : …,school,166
cosmopolite-a1-methode,Profession,,,,,noun,,personal-info,166
cosmopolite-a1-methode,Prénom,,,,,noun,,personal-info,166
cosmopolite-a1-methode,russe,,,,,adjective,Nationalité : russe,personal-info,166
cosmopolite-a1-methode,s'appeler,,,,,verb,Je (s'appeler) … Lucas.,personal-info,166
cosmopolite-a1-methode,secrétaire,,,,,noun,Profession : secrétaire,profession,166
cosmopolite-a1-methode,Situation,,,,,noun,,personal-info,166
cosmopolite-a1-methode,Âge,,,,,noun,,personal-info,166
cosmopolite-a1-methode,être,,,,,verb,Elle (être) … suédoise.,personal-info,166
cosmopolite-a1-methode,"[Prénom] / [Nom], comment ça s'écrit s'il vous plaît / s'il te plaît ?",,,,,phrase,,communication,167
cosmopolite-a1-methode,Au revoir ! Bonne journée ! À demain !,,,,,phrase,,communication,167
