collection,unit,section,chapter,content_type,activity_type,topic,level,status,qa,word_count,summary,title
tricolore-2-5th-edition,page-021,grammar,1 En ville,"[exercise, dialogue, vocabulary, speaking-prompt, writing-prompt]",fill-in,shopping,mixed,verified,pass,596,Fill-in survey guesses and opinions about shopping habits,1 En ville
tricolore-2-5th-edition,page-022,reading,1 En ville,"[lesson, exercise, reading-text, vocabulary, speaking-prompt, writing-prompt]",fill-in,shopping,mixed,verified,pass,470,Fill in a shopping poem and list market products for sale,A2 (inferred)
tricolore-2-5th-edition,page-023,none,1 En ville,"[review, wordlist, vocabulary]",vocabulary,shopping,A2,verified,pass,788,"Unit 1 vocabulary summary: shops, quantities, money, and verbs",Sommaire
tricolore-2-5th-edition,page-024,reading,Rappel 1 Unité 1,"[review, exercise, dialogue]",fill-in,shopping,A2,verified,pass,473,"Revision: shop name vowels, quantities, dialogue order, and verb fill-ins",Rappel 1 Unité 1
tricolore-2-5th-edition,page-025,grammar,,"[exercise, wordlist]",fill-in,shopping,A2,verified,pass,515,Revision multiple-choice and fill-in verb practice across shopping topics,A2 (inferred)
tricolore-2-5th-edition,page-026,listening,2 On fait des projets,"[chapter-opener, exercise, vocabulary]",vocabulary,travel,mixed,verified,pass,823,"Europe map with countries, capitals, flags; match photos to countries",unité 2 On fait des projets
tricolore-2-5th-edition,page-027,reading,2 On fait des projets,"[reading-text, exercise, grammar-box, listening-sheet]",reading-comprehension,personal-info,A2,verified,pass,576,Reading profiles of five young Europeans describing their lives,2 On fait des projets
tricolore-2-5th-edition,page-028,grammar,2 On fait des projets,"[exercise, grammar-box, vocabulary]",fill-in,vacation,A2,verified,pass,590,Match families to destinations and fill in partir verb forms,2B On part en vacances
tricolore-2-5th-edition,page-029,reading,2 On fait des projets,"[exercise, reading-text, instructions]",reading-comprehension,mixed,mixed,verified,pass,617,"Survey on departure times, transport, and a reading text about Brussels",2 On fait des projets
tricolore-2-5th-edition,page-030,listening,2 On fait des projets,"[exercise, vocabulary]",fill-in,travel,A2,verified,pass,466,Fill in transport modes for a journey from home to Paris,2C En route
tricolore-2-5th-edition,page-031,reading,2 On fait des projets,"[exercise, grammar-box, explanation]",fill-in,travel,mixed,verified,pass,542,"Venir verb conjugation, true/false listening about nationalities, and transport fill-in dialogue.",2 On fait des projets
tricolore-2-5th-edition,page-032,listening,2 On fait des projets,"[chapter-opener, exercise, grammar-box]",listening-comprehension,vacation,A2,verified,pass,593,Future tense (aller + infinitive) exercises: ordering vacation activities and describing imaginary trips.,2D Qu'est-ce qu'on va faire?
tricolore-2-5th-edition,page-033,listening,2 On fait des projets,"[dialogue, exercise]",reading-comprehension,communication,A2,verified,pass,564,Phone dialogue about weekend party plans plus exercises on future expressions and error correction.,2 On fait des projets
tricolore-2-5th-edition,page-034,grammar,2 On fait des projets,"[chapter-opener, exercise, grammar-box]",matching,vacation,A2,verified,pass,459,Matching activities to Loire Valley photos and role-play about what you can do there.,2E On peut faire ça?
tricolore-2-5th-edition,page-035,listening,2 On fait des projets,"[exercise, picture-story]",fill-in,daily-routine,A2,verified,pass,668,"Practice with pouvoir (can) verb forms, matching excuses, and asking for permission.",2 On fait des projets
tricolore-2-5th-edition,page-036,reading,2 On fait des projets,"[chapter-opener, reading-text, exercise, grammar-box]",reading-comprehension,vacation,mixed,verified,pass,645,"Four postcards describing weather and activities during trips to Morocco, Switzerland, Quebec and the Loire Valley.",2F On s'amuse ... ou pas
tricolore-2-5th-edition,page-037,writing,2 On fait des projets,"[exercise, writing-prompt, vocabulary, listening-sheet, speaking-prompt]",writing-task,vacation,mixed,verified,pass,666,"Writing task describing a trip/stay, plus a cycling festival dialogue and poster-planning activity.",2 On fait des projets
tricolore-2-5th-edition,page-038,reading,2 On fait des projets,"[chapter-opener, reading-text, exercise, vocabulary]",reading-comprehension,hobby,mixed,verified,pass,693,Informational reading text about the Tour de France with comprehension and jersey-matching exercises.,2G C'est extra!
tricolore-2-5th-edition,page-039,none,2 On fait des projets,"[wordlist, review]",vocabulary,none,mixed,verified,pass,793,"End-of-unit vocabulary summary: countries, transport, future plans, permission phrases.",Sommaire — 2 On fait des projets
tricolore-2-5th-edition,page-040,none,2 On fait des projets,"[picture-story, reading-text, vocabulary]",reading-comprehension,mixed,A2,verified,pass,624,"Comic strip: detective Louis Laloupe tails Monique Maligne by bus, taxi and train.",Presse-Jeunesse (circled: 1)
tricolore-2-5th-edition,page-041,none,2 On fait des projets,"[reading-text, exercise, vocabulary]",short-answer,mixed,mixed,verified,pass,501,"Comprehension questions on the Louis Laloupe comic, country fact files, and Robert Desnos poems.",Deux pays d'Europe
tricolore-2-5th-edition,page-042,none,3A Au collège,"[chapter-opener, dialogue, exercise, explanation]",reading-comprehension,school,A2,verified,pass,531,Reading text about French school life (collège) with translation and vocabulary identification exercises.,unité 3 De jour en jour
tricolore-2-5th-edition,page-043,none,3A Au collège,"[dialogue, exercise, explanation, writing-prompt]",fill-in,school,A2,verified,pass,514,"More school-life reading plus club vocabulary, word-family patterns, and a guide-writing task.",3 De jour en jour
tricolore-2-5th-edition,page-044,none,3B En classe,"[chapter-opener, dialogue, exercise, grammar-box, conjugation-table]",fill-in,school,A2,verified,pass,489,"Verb apprendre/comprendre practice with school-subject fill-ins, comprehension, and a true/false exercise.",3B En classe
tricolore-2-5th-edition,page-045,none,3B En classe,"[exercise, grammar-box, explanation, speaking-prompt, writing-prompt]",fill-in,school,A2,verified,pass,587,"Comparative adjectives practice comparing animals and school subjects, with fill-in exercises.",3 De jour en jour
tricolore-2-5th-edition,page-046,none,3C La routine,"[lesson, exercise, listening-sheet, grammar-box]",multiple-choice,daily-routine,A2,verified,pass,689,"Multiple-choice questions about Charlotte's morning and Michel's evening routines, with reflexive verb grammar.",3C La routine
tricolore-2-5th-edition,page-047,none,3C La routine,"[exercise, listening-sheet, grammar-box, speaking-prompt, writing-prompt]",fill-in,profession,A2,verified,pass,576,"Interview with a baker about his daily routine: fill-in transcript, opposites, and comprehension questions.","(Module banner, top right, white text on dark blue background:) 3 De jour en jour"
tricolore-2-5th-edition,page-048,none,3D Comment ça se passe?,"[lesson, exercise, grammar-box]",fill-in,daily-routine,A2,verified,pass,648,"Reflexive verb practice: matching daily actions, choosing correct forms, and negative sentences.",3D Comment ça se passe?
tricolore-2-5th-edition,page-049,none,3D Comment ça se passe?,"[exercise, reading-text, speaking-prompt, listening-sheet]",true-false,mixed,mixed,verified,pass,599,"Sorting fun vs boring statements, a reading message about school interests, and a true/false quiz on Louis XIV.","(Module banner, top right, white text on dark blue background:) 3 De jour en jour"
tricolore-2-5th-edition,page-050,none,3E C'est mercredi,"[lesson, exercise, listening-sheet, grammar-box, speaking-prompt]",matching,hobby,A2,verified,pass,746,Matching wanted activities to speakers and vouloir verb conjugation practice for after-school plans.,3E C'est mercredi
tricolore-2-5th-edition,page-051,none,3E C'est mercredi,"[grammar-box, exercise, speaking-prompt]",writing-task,daily-routine,A2,verified,pass,415,"Writing sentences about wanting and not wanting to do things, plus personal dossier speaking/writing tasks.",3 De jour en jour
tricolore-2-5th-edition,page-052,none,3F À mon avis,"[lesson, dialogue, exercise, grammar-box, conjugation-table]",matching,communication,A2,verified,pass,539,Text about using the internet at school with translation exercise and dire/lire/écrire verb matching.,3F À mon avis
tricolore-2-5th-edition,page-053,none,3F À mon avis,"[reading-text, exercise, speaking-prompt, vocabulary]",reading-comprehension,daily-routine,mixed,verified,pass,641,"Forum reading text about students' homework habits, with comprehension and synonym-matching questions.",3 De jour en jour
tricolore-2-5th-edition,page-054,none,3G C'est extra!,"[lesson, reading-text, exercise, grammar-box, writing-prompt]",reading-comprehension,school,mixed,verified,pass,677,Reading text about a school trip to Versailles with comprehension questions and a personalized writing task.,3G C'est extra!
tricolore-2-5th-edition,page-055,none,3 De jour en jour,"[wordlist, review]",vocabulary,none,mixed,verified,pass,759,"End-of-unit vocabulary summary: school, daily routine, reflexive verbs, vouloir, dire/lire/écrire.",Sommaire
tricolore-2-5th-edition,page-056,none,Rappel 2 Unités 2–3,"[review, exercise]",fill-in,mixed,A2,verified,pass,628,"Unit 2-3 review: country spelling, transport matching, future-tense identification, and comparative adjectives.",Rappel 2 — Unités 2–3
tricolore-2-5th-edition,page-057,none,Rappel 2 Unités 2–3,"[review, exercise]",fill-in,mixed,A2,verified,pass,652,"Review exercises: permission responses, a radio presenter's daily routine, and matching family travel preferences.",A2 (inferred)
tricolore-2-5th-edition,page-058,vocabulary,4A Bienvenue en France,"[chapter-opener, lesson, exercise, vocabulary, listening-sheet, speaking-prompt, writing-prompt]",matching,personal-info,A2,verified,pass,604,"Matching physical descriptions of Canadian exchange students to their photos, plus self-description writing.",unité 4 En famille
tricolore-2-5th-edition,page-059,none,4A Bienvenue en France,"[lesson, exercise, dialogue, grammar-box, listening-sheet, speaking-prompt, writing-prompt]",reading-comprehension,family,A2,verified,pass,612,"Dialogue introducing an exchange student to a French host family, with translation and family-discussion prompts.","(top-right corner banner, dark blue:) 4 En famille"
tricolore-2-5th-edition,page-060,listening,4B Chez toi,"[lesson, exercise, listening-sheet, vocabulary, speaking-prompt]",matching,home,A2,verified,pass,575,Matching exercises about staying with a host family and household chores vocabulary.,4B Chez toi
tricolore-2-5th-edition,page-061,listening,4B Chez toi,"[exercise, dialogue, listening-sheet, speaking-prompt, writing-prompt, grammar-box]",fill-in,home,A2,verified,pass,705,"Fill-in reality-TV chores dialogue, texting about bedrooms, and describing your own home.","(top-right corner banner, dark blue:) 4 En famille"
tricolore-2-5th-edition,page-062,grammar,4C On s'amuse,"[chapter-opener, lesson, exercise, reading-text, grammar-box]",true-false,daily-routine,A2,verified,pass,587,Correcting false statements about Julie's day in town; matching English/French perfect-tense sentences.,4C On s'amuse
tricolore-2-5th-edition,page-063,listening,4C On s'amuse,"[exercise, listening-sheet, picture-story, speaking-prompt, writing-prompt, grammar-box]",ordering,daily-routine,A2,verified,pass,602,"Ordering daily-activity pictures, matching time expressions, and building silly past-tense sentences.","(top-right corner banner, dark blue:) 4 En famille"
tricolore-2-5th-edition,page-064,listening,4D Une fête,"[chapter-opener, lesson, exercise, listening-sheet, grammar-box, picture-story]",matching,mixed,A2,verified,pass,671,"Ordering/matching a shopping-trip story, then matching party-preparation chores to pictures.",4D Une fête
tricolore-2-5th-edition,page-065,speaking,4D Une fête,"[exercise, listening-sheet, picture-story, speaking-prompt, writing-prompt, vocabulary]",fill-in,mixed,A2,verified,pass,703,"Fill-in past participles about Thomas's birthday party, matching gift-givers, and speaking about recent activities.","(top banner, dark blue, full width; small musical-note icon before the text:) 🎵 4 En famil"
tricolore-2-5th-edition,page-066,speaking,4E J'ai choisi ...,"[chapter-opener, lesson, exercise, grammar-box, vocabulary]",fill-in,hobby,A2,verified,pass,716,"Choosing birthday gifts, past tense of -ir verbs, and choosing/listening to activity options.",4E J'ai choisi …
tricolore-2-5th-edition,page-067,grammar,4E J'ai choisi ...,"[exercise, listening-sheet, grammar-box, vocabulary, picture-story]",fill-in,mixed,A2,verified,pass,760,"Practising -re verb past tense: building sentences, a lost-and-found listening task, and choosing correct verbs.","(top-right corner banner, dark blue:) 4 En famille"
tricolore-2-5th-edition,page-068,grammar,4F J'ai acheté ...,"[chapter-opener, lesson, exercise, listening-sheet, grammar-box, vocabulary]",fill-in,shopping,A2,verified,pass,627,Shop dialogues with vocabulary fill-ins and practising ce/cet/cette/ces demonstrative adjectives.,4F J'ai acheté …
tricolore-2-5th-edition,page-069,grammar,4F J'ai acheté ...,"[exercise, listening-sheet, grammar-box, vocabulary, picture-story, reading-text, writing-prompt]",fill-in,travel,A2,verified,pass,602,"Fill-in past-tense verbs describing a Paris day trip, a farewell conversation, and a thank-you email.","(top-right corner banner, dark blue:) 4 En famille"
tricolore-2-5th-edition,page-070,grammar,4G C'est extra!,"[chapter-opener, lesson, exercise, listening-sheet, reading-text, vocabulary, picture-story]",reading-comprehension,hobby,A2,verified,pass,701,Reading a reality-TV article and a biography of Suzanne Collins in the passé composé.,4G C'est extra!
tricolore-2-5th-edition,page-071,none,4 En famille,"[review, wordlist, vocabulary, grammar-box]",vocabulary,none,A2,verified,pass,914,"Unit 4 summary: family vocabulary, past tense verbs, demonstratives, and TV/book vocabulary.",Sommaire
tricolore-2-5th-edition,page-072,none,4 En famille,"[reading-text, exercise, wordlist]",reading-comprehension,mixed,mixed,verified,pass,459,"Reading about Louis XIV, the Château de Versailles, and comparative France/UK statistics.",Presse-Jeunesse ②
tricolore-2-5th-edition,page-073,none,4 En famille,"[reading-text, exercise, vocabulary, song]",reading-comprehension,mixed,A2,verified,pass,741,A song about school subjects plus an internet-vocabulary guide with SMS-abbreviation matching.,Chantez! Les matières
tricolore-2-5th-edition,page-074,listening,5A Au café,"[chapter-opener, exercise, vocabulary, picture-story]",vocabulary,food,A2,verified,pass,473,Introducing French café culture and drink/snack vocabulary through a TV reporter's tour.,unité 5 Bon appétit!
tricolore-2-5th-edition,page-075,listening,5A Au café,"[picture-story, explanation, grammar-box, exercise, listening-sheet, speaking-prompt]",fill-in,food,A2,verified,pass,590,"Completing café-vocabulary sentences, boire conjugation practice, and ordering drinks in conversation.","(running head, top right:) 5 Bon appétit!"
tricolore-2-5th-edition,page-076,speaking,5B Vous désirez?,"[lesson, exercise, listening-sheet, speaking-prompt, vocabulary, explanation]",matching,food,A2,verified,pass,631,"Matching café orders to drinks, then role-playing ordering drinks and ice-cream flavours.",5B Vous désirez?
tricolore-2-5th-edition,page-077,speaking,5B Vous désirez?,"[grammar-box, explanation, exercise, dialogue, vocabulary]",speaking-task,food,mixed,verified,pass,455,"Role-playing café conversations (ordering, toilets/wifi) and writing a blog about a café outing.",5 Bon appétit!
tricolore-2-5th-edition,page-078,reading,5C Ça m'intéresse,"[lesson, reading-text, exercise, grammar-box, explanation, vocabulary]",true-false,food,mixed,verified,pass,690,"True/false comprehension on readers' stories about memorable meals, plus irregular past participles.",5C Ça m'intéresse
tricolore-2-5th-edition,page-079,reading,5C Ça m'intéresse,"[exercise, reading-text, vocabulary, writing-prompt]",fill-in,food,A2,verified,pass,499,"Practising irregular past participles, then reading and inventing quirky 'surprise sandwich' recipes.","(running head, top right:) 5 Bon appétit!"
tricolore-2-5th-edition,page-080,reading,5D Empoisonné?,"[lesson, exercise, listening-sheet, reading-text, vocabulary]",ordering,health,A2,verified,pass,662,Comic-strip story: ordering the tale of Mr Corot's suspected sardine food poisoning.,5D Empoisonné?
tricolore-2-5th-edition,page-081,grammar,5 Bon appétit!,"[exercise, grammar-box, listening-sheet, writing-prompt, speaking-prompt]",multiple-choice,health,mixed,verified,pass,731,Multiple-choice comprehension on the Corot story and forming questions in the perfect tense.,5 Bon appétit!
tricolore-2-5th-edition,page-082,grammar,5 Bon appétit!,"[exercise, dialogue, listening-sheet, grammar-box]",fill-in,school,mixed,verified,pass,721,Dialogue about a homework computer disaster; fill-in exercise practising the negative perfect tense.,5 Bon appétit!
tricolore-2-5th-edition,page-083,grammar,5 Bon appétit!,"[exercise, listening-sheet, explanation, picture-story, speaking-prompt, writing-prompt]",fill-in,daily-routine,mixed,verified,pass,502,"Fill-in practice with the negative perfect tense, describing a lazy first day of holidays.",5 Bon appétit!
tricolore-2-5th-edition,page-084,speaking,5F Des menus,"[lesson, vocabulary, exercise, speaking-prompt, grammar-box]",vocabulary,restaurant,mixed,verified,pass,460,"Restaurant menu vocabulary (starters, mains, veg, desserts, drinks) and expressing food likes/dislikes.",5F Des menus
tricolore-2-5th-edition,page-085,listening,5 Bon appétit!,"[lesson, exercise, listening-sheet, speaking-prompt, reading-text, explanation, grammar-box]",fill-in,restaurant,mixed,verified,pass,528,"Restaurant vocabulary translation, then listening fill-ins for ordering a three-course meal.",5 Bon appétit!
tricolore-2-5th-edition,page-086,listening,5G C'est extra!,"[lesson, exercise, listening-sheet, writing-prompt, explanation]",fill-in,restaurant,A2,verified,pass,670,"Singing and completing a café-order song, then researching real French restaurant menus.",5G C'est extra!
tricolore-2-5th-edition,page-087,none,5 Bon appétit!,"[review, wordlist, vocabulary]",vocabulary,none,A2,verified,pass,757,"Unit 5 summary: café drinks/snacks, restaurant ordering, boire, and irregular past participles.",Sommaire
tricolore-2-5th-edition,page-088,none,Rappel 3 Unités 4–5,"[review, exercise]",matching,mixed,A2,verified,pass,719,"Review: matching household chores and travel Q&A, plus fill-in past participles about a cinema outing.",Rappel 3 — Unités 4–5
tricolore-2-5th-edition,page-089,none,Rappel 3 Unités 4–5,"[review, exercise]",multiple-choice,mixed,A2,verified,pass,786,"Review: multiple-choice cloze about a lost cat, drink categories, and a peach Melba recipe.",A2 (inferred)
tricolore-2-5th-edition,page-090,grammar,6A Prêts à partir?,"[chapter-opener, dialogue, exercise, listening-sheet, explanation]",fill-in,travel,A2,verified,pass,596,"Reading travel plans, completing fill-in summaries, and practising the 24-hour clock.",unité 6 En voyage
tricolore-2-5th-edition,page-091,grammar,6A Prêts à partir?,"[lesson, dialogue, exercise, listening-sheet, grammar-box, speaking-prompt, explanation]",listening-comprehension,travel,A2,verified,pass,654,Dialogue and exercises about arriving at a station and buying train tickets.,6 En voyage
tricolore-2-5th-edition,page-092,grammar,6B On prend le train,"[chapter-opener, exercise, listening-sheet, grammar-box, vocabulary, explanation]",matching,travel,A2,verified,pass,704,Station floor-plan vocabulary matching facilities to their French names.,6B On prend le train
tricolore-2-5th-edition,page-093,listening,6B On prend le train,"[exercise, listening-sheet, dialogue, vocabulary, speaking-prompt]",matching,travel,A2,verified,pass,655,"Station sign matching, listening for train times, and ticket-office conversations.",6 En voyage
tricolore-2-5th-edition,page-094,grammar,6C Il est parti,"[chapter-opener, picture-story, exercise, grammar-box, conjugation-table, vocabulary, writing-prompt]",reading-comprehension,travel,A2,verified,pass,714,Picture story and exercises on perfect-tense verbs conjugated with être.,6C Il est parti
tricolore-2-5th-edition,page-095,grammar,6C Il est parti,"[lesson, strategy-box, exercise, listening-sheet, picture-story, grammar-box]",fill-in,mixed,A2,verified,pass,740,"Fill-in story about a household robot, plus perfect-tense verb practice for a football trip.",6 En voyage
tricolore-2-5th-edition,page-096,grammar,6D Ils sont arrivés,"[lesson, exercise, listening-sheet, grammar-box, reading-text, writing-prompt, speaking-prompt]",multiple-choice,travel,A2,verified,pass,726,Listening and fill-in exercises describing Martin's and Émilie's day out.,6D Ils sont arrivés
tricolore-2-5th-edition,page-097,grammar,6D Ils sont arrivés,"[lesson, exercise, grammar-box, picture-story, dialogue]",matching,travel,A2,verified,pass,565,"Airport travel picture story matching, plus past participle agreement practice.",6 En voyage
tricolore-2-5th-edition,page-098,grammar,6E Vacances en Angleterre,"[lesson, exercise, listening-sheet, speaking-prompt, writing-prompt, grammar-box, vocabulary]",fill-in,travel,A2,verified,pass,670,Fill-in exercises describing a school trip to England via ferry.,6E Vacances en Angleterre
tricolore-2-5th-edition,page-099,grammar,6E Vacances en Angleterre,"[lesson, exercise, listening-sheet, speaking-prompt, writing-prompt, dialogue, picture-story]",fill-in,travel,A2,verified,pass,643,Fill-in and listening exercises about a school day trip to London.,6 En voyage
tricolore-2-5th-edition,page-100,reading,6F C'était bien?,"[chapter-opener, exercise, reading-text, comprehension-questions, vocabulary]",reading-comprehension,vacation,A2,verified,pass,639,Reading and multiple-choice exercise about a school visit to Hastings and Battle.,6F C'était bien?
tricolore-2-5th-edition,page-101,reading,6F C'était bien?,"[exercise, writing-prompt, grammar-box, phonetics, reading-text, listening-sheet, comprehension-questions]",short-answer,mixed,mixed,verified,pass,485,Postcard-writing task plus reading comprehension on William the Conqueror.,6 En voyage
tricolore-2-5th-edition,page-102,speaking,6G C'est extra!,"[exercise, speaking-prompt, writing-prompt, strategy-box]",speaking-task,travel,A2,verified,pass,524,Speaking and writing prompts to describe a real or imaginary journey.,6G C'est extra!
tricolore-2-5th-edition,page-103,none,6 En voyage,"[review, wordlist, vocabulary, grammar-box]",vocabulary,none,A2,verified,pass,825,"Vocabulary summary for Unit 6: train travel, journeys, and the perfect tense with être.",Sommaire
tricolore-2-5th-edition,page-104,none,6 En voyage,"[picture-story, reading-text, exercise, comprehension-questions]",reading-comprehension,none,A2,verified,pass,823,Comic-strip detective story with comprehension questions and antonyms.,Presse-Jeunesse ③
tricolore-2-5th-edition,page-105,reading,6 En voyage,"[reading-text, table, exercise, comprehension-questions, vocabulary]",matching,travel,A2,verified,pass,652,"Reading about the Eurostar service with matching, comprehension, and a song.",Le service Eurostar
tricolore-2-5th-edition,page-106,vocabulary,7A Qu'est-ce qu'on met?,"[chapter-opener, dialogue, exercise, vocabulary, listening-sheet, explanation]",fill-in,shopping,A2,verified,pass,598,Comic-strip fill-in exercise introducing clothing vocabulary with mettre.,unité 7 Ça va?
tricolore-2-5th-edition,page-107,reading,7A Qu'est-ce qu'on met?,"[reading-text, exercise, listening-sheet, speaking-prompt, writing-prompt, vocabulary, explanation]",reading-comprehension,shopping,A2,verified,pass,651,"Forum posts matching favourite outfits to images, plus clothing vocabulary.","(header, top right) 7 Ça va?"
tricolore-2-5th-edition,page-108,vocabulary,7B Comment sont-ils?,"[chapter-opener, exercise, strategy-box, grammar-box, vocabulary]",vocabulary,personal-info,A2,verified,pass,653,"Correcting and completing descriptions of appearance, plus adjective agreement.",7B Comment sont-ils?
tricolore-2-5th-edition,page-109,reading,7B Comment sont-ils?,"[reading-text, exercise, listening-sheet, speaking-prompt, writing-prompt, phonetics, vocabulary]",multiple-choice,personal-info,A2,verified,pass,684,Reading a robbery report and completing physical descriptions of the suspects.,"(header, top right) 7 Ça va?"
tricolore-2-5th-edition,page-110,grammar,7C Tu le sais?,"[chapter-opener, exercise, grammar-box, strategy-box, vocabulary]",matching,shopping,A2,verified,pass,697,"Matching riddles to packed items, practising direct object pronouns le/la/les.",7C Tu le sais?
tricolore-2-5th-edition,page-111,vocabulary,7C Tu le sais?,"[exercise, listening-sheet, vocabulary, grammar-box, speaking-prompt]",speaking-task,mixed,A2,verified,pass,486,Matching suitcases to travellers and locating lost belongings using pronouns.,"(header, top right) 7 Ça va?"
tricolore-2-5th-edition,page-112,vocabulary,7D Le corps,"[chapter-opener, exercise, listening-sheet, vocabulary, reading-text, writing-prompt]",fill-in,health,A2,verified,pass,612,Body-parts vocabulary labelling plus fill-in descriptions of fantasy zoo animals.,7D Le corps
tricolore-2-5th-edition,page-113,reading,7D Le corps,"[reading-text, exercise, comprehension-questions, vocabulary, phonetics, speaking-prompt, writing-prompt]",reading-comprehension,none,mixed,verified,pass,552,"Reading texts explaining giraffes' necks and zebras' stripes, with comprehension.","(header, top right) 7 Ça va?"
tricolore-2-5th-edition,page-114,grammar,7E Ça fait mal!,"[chapter-opener, reading-text, exercise, grammar-box, speaking-prompt]",fill-in,health,A2,verified,pass,614,"Newspaper story about injured rugby players, practising avoir mal expressions.",7E Ça fait mal!
tricolore-2-5th-edition,page-115,grammar,7E Ça fait mal!,"[exercise, grammar-box, listening-sheet, speaking-prompt, writing-prompt]",listening-comprehension,health,A2,verified,pass,720,"Matching and listening exercises using avoir expressions like faim, soif, froid.","(header, top right) 7 Ça va?"
tricolore-2-5th-edition,page-116,grammar,7F Qu'est-ce qu'il y a?,"[lesson, dialogue, exercise, listening-sheet, grammar-box, vocabulary]",listening-comprehension,health,A2,verified,pass,626,"Dialogue about feeling ill, a listening ordering task, and imperative verb practice.",7F Qu'est-ce qu'il y a?
tricolore-2-5th-edition,page-117,vocabulary,7F Qu'est-ce qu'il y a?,"[exercise, dialogue, listening-sheet, speaking-prompt, vocabulary, strategy-box, reading-text, picture-story]",fill-in,health,A2,verified,pass,793,"Doctor's-office dialogue, true/false reading, and an imperative health-advice poster.","(header, top right) 7 Ça va?"
tricolore-2-5th-edition,page-118,reading,7G C'est extra!,"[lesson, reading-text, exercise, vocabulary, song, speaking-prompt]",reading-comprehension,none,A2,verified,pass,512,Traditional song Alouette with body-part vocabulary and its history.,7G C'est extra!
tricolore-2-5th-edition,page-119,none,7 Ça va?,"[review, wordlist, vocabulary]",vocabulary,none,A2,verified,pass,788,"Vocabulary summary for Unit 7: clothes, appearance, illness, and imperative commands.",Sommaire
