collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goethe-a1-sd1-exam-training-1,listening,3,12,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo genau treffen sich die Männer?,Am Zug.,Am Bahnhof.,An der Information.,c,A1,travel,012
goethe-a1-sd1-exam-training-1,listening,3,13,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wie lange will der Mann noch warten?,20 Minuten.,2 Minuten.,10 Minuten.,c,A1,communication,012
goethe-a1-sd1-exam-training-1,listening,3,14,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",An welchem Tag will die Frau kommen?,Am Montag.,Am Sonntag.,Am Samstag.,b,A1,time-dates,013
goethe-a1-sd1-exam-training-1,listening,3,15,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was ist kaputt?,Der Fernseher.,Der Computer.,Das Handy.,b,A1,communication,013
goethe-a1-sd1-exam-training-1,reading,1,1,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Lis Zug kommt nach halb eins an.,Richtig,Falsch,,Richtig,A1,travel,016
goethe-a1-sd1-exam-training-1,reading,1,2,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Karin wartet den ganzen Vormittag vor der Auskunft.,Richtig,Falsch,,Falsch,A1,travel,016
goethe-a1-sd1-exam-training-1,reading,1,3,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Ralf hatte am letzten Wochenende Geburtstag.,Richtig,Falsch,,Falsch,A1,hobby,017
goethe-a1-sd1-exam-training-1,reading,1,4,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Ralf hat nur zwei oder drei Leute eingeladen.,Richtig,Falsch,,Falsch,A1,hobby,017
goethe-a1-sd1-exam-training-1,reading,1,5,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Die Party findet draußen statt.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-1,reading,2,6,multiple-choice,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten mit dem Schiff auf dem Rhein fahren.,www.schiff-ruedesheim.de,www.bingen-ruedesheimer.de,,b,A1,travel,018
goethe-a1-sd1-exam-training-1,reading,2,7,multiple-choice,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten Deutsch in Deutschland lernen.,www.sprachenfuchs.de,www.eviva.com,,a,A1,school,019
goethe-a1-sd1-exam-training-1,reading,2,8,multiple-choice,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten ein Zugticket im Internet kaufen.,www.DER.com,www.RED.com,,a,A1,travel,019
goethe-a1-sd1-exam-training-1,reading,2,9,multiple-choice,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten Informationen über den Bodensee.,www.bodensee.de,www.rottenmeier.de,,a,A1,travel,020
goethe-a1-sd1-exam-training-1,reading,2,10,multiple-choice,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie sind in Wiesbaden und möchten mit dem Zug am Mittag in Hamburg sein.,"www.reiseauskunft.bahn.de — ab Hamburg 17.02. 12.18, an Wiesbaden 17.02. 16.52 (Dauer 4:34, 1x Umsteigen, ICE, S)","www.reiseauskunft.bahn.de — ab Wiesbaden 17.02. 08.09, an Hamburg 17.02. 12.40 (Dauer 4:31, 1x Umsteigen, S, ICE)",,b,A1,travel,020
goethe-a1-sd1-exam-training-1,reading,3,11,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,In der Sprachschule können Sie etwas zu essen kaufen.,Richtig,Falsch,,Richtig,A1,food,021
goethe-a1-sd1-exam-training-1,reading,3,12,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Es ist Samstagnachmittag. Sie können auf der Post Briefmarken kaufen.,Richtig,Falsch,,Falsch,A1,city-places,022
goethe-a1-sd1-exam-training-1,reading,3,13,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Sie können hier Zigaretten rauchen.,Richtig,Falsch,,Falsch,A1,city-places,022
goethe-a1-sd1-exam-training-1,reading,3,14,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Heute Abend können Sie in diesem Restaurant tanzen.,Richtig,Falsch,,Richtig,A1,restaurant,023
goethe-a1-sd1-exam-training-1,reading,3,15,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Von 23 Uhr bis 1 Uhr fährt kein Bus.,Richtig,Falsch,,Richtig,A1,travel,023
goethe-a1-sd1-exam-training-1,writing,1,1,fill-in,"Ihre Freundin, Eva Kadavy, macht mit ihrem Mann und ihren beiden Söhnen (8 und 11 Jahre alt) Urlaub in Seeheim. Im Reisebüro bucht sie für den nächsten Sonntag eine Busfahrt um den Bodensee. Frau Kadavy hat keine Kreditkarte. In dem Formular fehlen fünf Informationen. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Anzahl der Personen: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen),,,,4,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,2,fill-in,"Ihre Freundin, Eva Kadavy, macht mit ihrem Mann und ihren beiden Söhnen (8 und 11 Jahre alt) Urlaub in Seeheim. Im Reisebüro bucht sie für den nächsten Sonntag eine Busfahrt um den Bodensee. Frau Kadavy hat keine Kreditkarte. In dem Formular fehlen fünf Informationen. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Davon Kinder: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen),,,,2,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,3,fill-in,"Ihre Freundin, Eva Kadavy, macht mit ihrem Mann und ihren beiden Söhnen (8 und 11 Jahre alt) Urlaub in Seeheim. Im Reisebüro bucht sie für den nächsten Sonntag eine Busfahrt um den Bodensee. Frau Kadavy hat keine Kreditkarte. In dem Formular fehlen fünf Informationen. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.","PLZ, Urlaubsort: 78014 ______ (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen)",,,,Seeheim,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,4,fill-in,"Ihre Freundin, Eva Kadavy, macht mit ihrem Mann und ihren beiden Söhnen (8 und 11 Jahre alt) Urlaub in Seeheim. Im Reisebüro bucht sie für den nächsten Sonntag eine Busfahrt um den Bodensee. Frau Kadavy hat keine Kreditkarte. In dem Formular fehlen fünf Informationen. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Zahlungsweise: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ankreuzen: Bar oder Kreditkarte),,,,bar,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,5,fill-in,"Ihre Freundin, Eva Kadavy, macht mit ihrem Mann und ihren beiden Söhnen (8 und 11 Jahre alt) Urlaub in Seeheim. Im Reisebüro bucht sie für den nächsten Sonntag eine Busfahrt um den Bodensee. Frau Kadavy hat keine Kreditkarte. In dem Formular fehlen fünf Informationen. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Reisetermin: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen),,,,Datum (vom nächsten Sonntag) / Sonntag / nächsten Sonntag,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,2,1,open-ended,Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.,"Sie möchten im August Dresden besuchen. Schreiben Sie an die Touristeninformation: Warum schreiben Sie? Bitten Sie: Informationen über Filme, Museen usw. (Kulturprogramm). Fragen Sie: Hoteladressen? Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.",,,,(open-ended),A1,travel,025
goethe-a1-sd1-exam-training-1,speaking,1,1,open-ended,Sich vorstellen.,Sich vorstellen. Name? Alter? Land? Wohnort? Sprachen? Beruf? Hobby?,,,,(open-ended),A1,personal-info,028
goethe-a1-sd1-exam-training-1,speaking,2,Frühstück,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Frühstück,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Lieblings-essen,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Lieblings-essen,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Sonntag,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Sonntag,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Bier,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Bier,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Fleisch,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Fleisch,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Brot,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Brot,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Zeitung,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Zeitung,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Kasse,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Kasse,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Obst,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Obst,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Schuhe,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Schuhe,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Buch,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Buch,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Stadtplan,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Stadtplan,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,3,1,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Buch/Heft mit einer CD (CD-ROM),,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,2,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Buch mit Etikett/Aufkleber,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,3,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Anzug/Jackett mit Krawatte und Flasche,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,4,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Bleistift auf Papier,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,5,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Tisch (Beistelltisch),,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,6,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Taschenuhr mit Kette,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,7,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: ein Apfel,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,8,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Messer und Gabel auf einer Serviette,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,9,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: ein Glas (halb gefüllt),,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,10,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Rauchverbot (durchgestrichene Zigarette),,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,11,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: eine Aktentasche / Tasche,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,12,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: ein Radio mit Musiknoten,,,,(open-ended),A1,mixed,032
