collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goethe-a1-sd1-exam-training-2,listening,3,11,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wann soll Frau Krause anrufen?,Vor 13 Uhr.,Zwischen 13 und 18 Uhr.,Zwischen 18 und 19 Uhr.,b,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,12,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was möchte Nina heute Abend machen?,Einen Film sehen.,Lernen.,Zu Hause bleiben.,a,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,13,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was soll Sarah mitbringen?,Ein Deutschbuch.,Ein Wörterbuch.,Eine CD.,b,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,14,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo wollen sich die Frauen mit Sabine treffen?,Beim Konzert.,Im Café.,In der Disco.,c,A1,communication,013
goethe-a1-sd1-exam-training-2,listening,3,15,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wann will Herr Heinze Frau Solms treffen?,Um 12 Uhr.,Um 13 Uhr.,Um 18 Uhr.,b,A1,communication,013
goethe-a1-sd1-exam-training-2,reading,1,1,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Renate macht in Weimar Urlaub.,Richtig,Falsch,,Falsch,A1,travel,016
goethe-a1-sd1-exam-training-2,reading,1,2,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Sie möchte am Abend mit Nora zusammen essen.,Richtig,Falsch,,Richtig,A1,communication,016
goethe-a1-sd1-exam-training-2,reading,1,3,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Die Sportsfreunde machen jeden Sommer einen Ausflug.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,1,4,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Der Bus wartet vor dem Vereinshaus.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,1,5,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Für die Fahrt und das Essen bezahlt jeder 10 Euro.,Richtig,Falsch,,Falsch,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,2,6,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie studieren in Frankfurt und möchten eine Wohnung mieten. Wo finden Sie Informationen?,www.goetheuni-frankfurt.de,www.agentur-spiess.com,,a,A1,home,018
goethe-a1-sd1-exam-training-2,reading,2,7,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten wissen: Wie kommt man vom Hamburger Bahnhof zum Hamburger Flughafen?,www.flughafen-service.de,www.hh-flughafen.de,,b,A1,travel,019
goethe-a1-sd1-exam-training-2,reading,2,8,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie suchen ein Angebot für Ihre Urlaubsreise.,www.travel-münchen.de,www.lastminute.de,,b,A1,vacation,019
goethe-a1-sd1-exam-training-2,reading,2,9,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie suchen eine Wohnung für Ihren Urlaub.,www.st.peter.ording.de/mietwohnungen,www.ferienandernordsee.de,,b,A1,vacation,020
goethe-a1-sd1-exam-training-2,reading,2,10,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie arbeiten in Deutschland. In Ihrer Freizeit möchten Sie Fußball spielen.,www.goal.de,www.vereinssport.de,,b,A1,hobby,020
goethe-a1-sd1-exam-training-2,reading,3,11,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Am Fahrkartenautomaten: Am Samstag können Sie und Ihre Freunde mit dem Ticket für 29 Euro fahren.,Richtig,Falsch,,Richtig,A1,travel,021
goethe-a1-sd1-exam-training-2,reading,3,12,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Im Hotelzimmer: Nach 22 Uhr kommen Sie nicht mehr ins Hotel.,Richtig,Falsch,,Falsch,A1,city-places,022
goethe-a1-sd1-exam-training-2,reading,3,13,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Eingang Restaurant: Am Sonntagmittag können Sie in diesem Restaurant essen.,Richtig,Falsch,,Richtig,A1,restaurant,022
goethe-a1-sd1-exam-training-2,reading,3,14,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Im Kultur-Verein: Man kann diesen Samstagabend einen Film sehen.,Richtig,Falsch,,Richtig,A1,hobby,023
goethe-a1-sd1-exam-training-2,reading,3,15,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Im Bahnhof: Fahrkarten können Sie an allen Schaltern bekommen.,Richtig,Falsch,,Falsch,A1,travel,023
goethe-a1-sd1-exam-training-2,writing,1,1,fill-in,"Ihre Freundin Yvonne Legrand aus Frankreich, geboren am 17.4.1993 in Lyon, möchte vom 1. bis zum 28. August einen Deutschkurs in Deutschland besuchen. Sie hat schon sechs Monate Deutsch gelernt. Sie hat am Vormittag Zeit. In der Schule hat sie Englisch gelernt. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Formular Sprachenschule LIGA / Anmeldung: Geburtsort:,,,,"Lyon / Lyon, Frankreich",A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,2,fill-in,"Ihre Freundin Yvonne Legrand aus Frankreich, geboren am 17.4.1993 in Lyon, möchte vom 1. bis zum 28. August einen Deutschkurs in Deutschland besuchen. Sie hat schon sechs Monate Deutsch gelernt. Sie hat am Vormittag Zeit. In der Schule hat sie Englisch gelernt. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Formular Sprachenschule LIGA / Anmeldung: Andere Sprachen:,,,,Englisch,A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,3,fill-in,"Ihre Freundin Yvonne Legrand aus Frankreich, geboren am 17.4.1993 in Lyon, möchte vom 1. bis zum 28. August einen Deutschkurs in Deutschland besuchen. Sie hat schon sechs Monate Deutsch gelernt. Sie hat am Vormittag Zeit. In der Schule hat sie Englisch gelernt. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Formular Sprachenschule LIGA / Anmeldung: Wie lange? (Schon Deutsch gelernt?),,,,6 Monate / sechs Monate,A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,4,fill-in,"Ihre Freundin Yvonne Legrand aus Frankreich, geboren am 17.4.1993 in Lyon, möchte vom 1. bis zum 28. August einen Deutschkurs in Deutschland besuchen. Sie hat schon sechs Monate Deutsch gelernt. Sie hat am Vormittag Zeit. In der Schule hat sie Englisch gelernt. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Formular Sprachenschule LIGA / Anmeldung: Kurstermin:,,,,1. bis 28. August o.Ä.,A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,5,fill-in,"Ihre Freundin Yvonne Legrand aus Frankreich, geboren am 17.4.1993 in Lyon, möchte vom 1. bis zum 28. August einen Deutschkurs in Deutschland besuchen. Sie hat schon sechs Monate Deutsch gelernt. Sie hat am Vormittag Zeit. In der Schule hat sie Englisch gelernt. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Formular Sprachenschule LIGA / Anmeldung: Kurszeit: (von 9 – 12 Uhr / von 13 – 16 Uhr / von 17 – 20 Uhr),,,,9 - 12 Uhr,A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,2,1,open-ended,Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.,Sie möchten Ihren Geburtstag feiern und Ihre Freundin Anna einladen. Schreiben Sie Anna eine E-Mail: - Warum schreiben Sie? - Sagen Sie: Wann und wo feiern Sie? - Fragen Sie: kommen? Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.,,,,(open-ended),A1,communication,025
goethe-a1-sd1-exam-training-2,speaking,1,1,open-ended,Sich vorstellen.,Teil 1 Sich vorstellen. Name? Alter? Land? Wohnort? Sprachen? Beruf? Hobby?,,,,(open-ended),A1,personal-info,028
goethe-a1-sd1-exam-training-2,speaking,2,1,open-ended,Um Informationen bitten und Informationen geben.,"Teil 2 Um Informationen bitten und Informationen geben. Thema: Wochenende. Stichwörter auf den sechs Aufgabenkarten: 1 Sonntag, 2 Frühstück, 3 Sport, 4 Familie, 5 Ausflug, 6 Bücher.",,,,(open-ended),A1,mixed,029
goethe-a1-sd1-exam-training-2,speaking,2,2,open-ended,Um Informationen bitten und Informationen geben.,"Teil 2 Um Informationen bitten und Informationen geben. Thema: Schule. Wörter auf den sechs Wortkarten: 1 Freunde, 2 Lehrer, 3 Computer, 4 Sprachen, 5 Essen, 6 Hausaufgaben.",,,,(open-ended),A1,school,030
goethe-a1-sd1-exam-training-2,speaking,3,1,open-ended,Bitten formulieren und darauf reagieren.,"Teil 3 Bitten formulieren und darauf reagieren. Sechs Bildkarten: 1 Computer (Monitor mit Tastatur), 2 Hand, die mit einem Stift auf ein Blatt Papier schreibt (Unterschrift), 3 Kochtopf mit Kochlöffel auf einem Herd, 4 Ein Glas (Weizenbier / Bierglas), 5 Blumenstrauß, 6 Kalender/Wecker mit den Tagen M D M D F S S und „8.00 Uhr"".",,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-2,speaking,3,2,open-ended,Bitten formulieren und darauf reagieren.,"Teil 3 Bitten formulieren und darauf reagieren. Sechs Bildkarten: oben links ein Apfel, oben rechts ein Buch mit der Aufschrift „Deutsch"" (mit Deutschland-Flagge), Mitte links ein Glas (Wasserglas), Mitte rechts ein Rauchverbotsschild (durchgestrichene Zigarette), unten links eine Aktentasche / Tasche, unten rechts ein Radio (mit Musiknoten).",,,,(open-ended),A1,mixed,032
