collection,section,part,item,item_type,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
tricolore-1-5th-edition,reading,2a Des instructions,1,matching,Trouve les paires.,,,,Find the pairs.,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,10,matching,Fermez le cahier.,,,,,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,2,matching,Regardez.,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,2,fill-in,Comptez les ___.,,,,,A1,school,014
tricolore-1-5th-edition,reading,2a Des instructions,2,matching,Regarde les images.,,,,Look at the pictures.,A1,school,014
tricolore-1-5th-edition,writing,2b,2b,writing-task,Dessine un poster pour la classe.,,,,(open-ended),A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,3,matching,Prenez un stylo.,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,3,fill-in,Ouvrez le ___.,,,,,A1,school,014
tricolore-1-5th-edition,reading,2a Des instructions,3,matching,Écoute et répète.,,,,Listen and repeat.,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,4,matching,Levez-vous.,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,4,fill-in,Fermez la ___.,,,,,A1,school,014
tricolore-1-5th-edition,reading,2a Des instructions,4,matching,Écoute et écris …,,,,Listen and write …,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,5,matching,Écrivez.,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,5,fill-in,Regardez le ___.,,,,,A1,school,014
tricolore-1-5th-edition,reading,2a Des instructions,5,matching,Copie et complète …,,,,Copy and fill in …,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,6,matching,Rangez vos affaires,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,6,fill-in,Trouvez un ___.,,,,,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,7,matching,Répétez.,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,7,fill-in,Regardez le ___.,,,,,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,8,matching,Ouvrez le livre à page 10.,,,,,A1,school,014
tricolore-1-5th-edition,writing,1c Complète les phrases,8,fill-in,Fermez le ___.,,,,,A1,school,014
tricolore-1-5th-edition,reading,1 Donner un ordre,9,matching,Asseyez-vous.,,,,,A1,school,014
tricolore-1-5th-edition,reading,2 C'est où?,1,short-answer,in Paris,,,,à Paris,A1,personal-info,017
tricolore-1-5th-edition,reading,3a Vrai ou faux?,1,true-false,Paris est en France.,,,,Vrai,A1,personal-info,017
tricolore-1-5th-edition,reading,3a Vrai ou faux?,10,true-false,Maxime habite dans les Alpes.,,,,Vrai,A1,personal-info,017
tricolore-1-5th-edition,reading,2 C'est où?,2,short-answer,in a flat,,,,dans un appartement,A1,personal-info,017
tricolore-1-5th-edition,reading,3a Vrai ou faux?,2,true-false,La Rochelle est un port en France.,,,,Vrai,A1,personal-info,017
tricolore-1-5th-edition,reading,2 C'est où?,3,short-answer,in town,,,,en ville,A1,personal-info,017
tricolore-1-5th-edition,reading,3a Vrai ou faux?,3,true-false,Camille habite dans une maison en Angleterre.,,,,Faux,A1,personal-info,017
tricolore-1-5th-edition,writing,3b,3b,writing-task,Corrige les cinq phrases qui sont fausses.,,,,"3 Camille habite dans un appartement en France (à Lille). 4 M. Lebrun habite dans une ferme. 5 M. Lebrun habite dans une ferme près de Trouville. 7 Lucas habite à Paris. 9 Julie habite à l'Île de Ré, près de La Rochelle.",A1,personal-info,017
tricolore-1-5th-edition,reading,2 C'est où?,4,short-answer,on a farm,,,,dans une ferme,A1,personal-info,017
tricolore-1-5th-edition,reading,3a Vrai ou faux?,4,true-false,M. Lebrun habite dans un appartement.,,,,Faux,A1,personal-info,017
tricolore-1-5th-edition,reading,2 C'est où?,5,short-answer,in a house,,,,dans une maison,A1,personal-info,017
tricolore-1-5th-edition,reading,3a Vrai ou faux?,5,true-false,Mme Dumas habite dans une ferme près de Trouville.,,,,Faux,A1,personal-info,017
tricolore-1-5th-edition,reading,2 C'est où?,6,short-answer,a port in France,,,,un port en France,A1,personal-info,017
tricolore-1-5th-edition,reading,3a Vrai ou faux?,6,true-false,Maxime habite près de Grenoble.,,,,Vrai,A1,personal-info,017
tricolore-1-5th-edition,reading,2 C'est où?,7,short-answer,in the mountains,,,,à la montagne,A1,personal-info,017
tricolore-1-5th-edition,reading,3a Vrai ou faux?,7,true-false,Lucas habite dans un port.,,,,Faux,A1,personal-info,017
tricolore-1-5th-edition,reading,2 C'est où?,8,short-answer,in the Alps,,,,dans les Alpes,A1,personal-info,017
tricolore-1-5th-edition,reading,3a Vrai ou faux?,8,true-false,Nice est une ville au bord de la mer.,,,,Vrai,A1,personal-info,017
tricolore-1-5th-edition,reading,2 C'est où?,9,short-answer,near La Rochelle,,,,près de La Rochelle,A1,personal-info,017
tricolore-1-5th-edition,reading,3a Vrai ou faux?,9,true-false,Julie habite à La Rochelle.,,,,Faux,A1,personal-info,017
tricolore-1-5th-edition,writing,1 J'habite ici,1,fill-in,J'habite ___ (panneau CHERBOURG),,,,à Cherbourg.,A1,personal-info,018
tricolore-1-5th-edition,writing,1 J'habite ici,2,fill-in,J'habite dans ___ (maison jaune),,,,une maison.,A1,personal-info,018
tricolore-1-5th-edition,speaking,2 Et toi? Où habites-tu?,2,speaking-task,Où habites-tu?,,,,(open-ended),A1,personal-info,018
tricolore-1-5th-edition,writing,1 J'habite ici,3,fill-in,J'habite dans ___ (immeuble avec balcon),,,,un appartement.,A1,personal-info,018
tricolore-1-5th-edition,writing,1 J'habite ici,4,fill-in,J'habite dans ___ (ferme),,,,une ferme.,A1,personal-info,018
tricolore-1-5th-edition,writing,1 J'habite ici,5,fill-in,J'habite ___ (panneau TOULOUSE 5km),,,,près de Toulouse.,A1,personal-info,018
tricolore-1-5th-edition,writing,1 J'habite ici,6,fill-in,J'habite dans ___ (silhouette de ville),,,,une ville.,A1,personal-info,018
tricolore-1-5th-edition,writing,1 J'habite ici,7,fill-in,J'habite dans ___ (village),,,,un village.,A1,personal-info,018
tricolore-1-5th-edition,writing,1 J'habite ici,8,fill-in,J'habite ___ (carte de France),,,,en France.,A1,personal-info,018
tricolore-1-5th-edition,listening,3 Qui habite où?,1,matching,Olivier,,,,7,A1,personal-info,019
tricolore-1-5th-edition,reading,4a C'est moi!,1,matching,Je m'appelle,,,,Sonia Charbonnier.,A1,personal-info,019
tricolore-1-5th-edition,listening,3 Qui habite où?,2,matching,Coralie,,,,,A1,personal-info,019
tricolore-1-5th-edition,reading,4a C'est moi!,2,matching,J'ai,,,,douze ans.,A1,personal-info,019
tricolore-1-5th-edition,listening,3 Qui habite où?,3,matching,Magali,,,,,A1,personal-info,019
tricolore-1-5th-edition,reading,4a C'est moi!,3,matching,J'habite,,,,dans une maison.,A1,personal-info,019
tricolore-1-5th-edition,listening,3 Qui habite où?,4,matching,Loïc,,,,,A1,personal-info,019
tricolore-1-5th-edition,reading,4a C'est moi!,4,matching,Ma maison est dans,,,,un petit village.,A1,personal-info,019
tricolore-1-5th-edition,writing,4b,4b,writing-task,Écris des phrases complètes.,,,,Je m'appelle Sonia Charbonnier. J'ai douze ans. J'habite dans une maison. Ma maison est dans un petit village. Le village est près de La Rochelle. La Rochelle est une ville en France.,A1,personal-info,019
tricolore-1-5th-edition,listening,3 Qui habite où?,5,matching,Sébastien,,,,,A1,personal-info,019
tricolore-1-5th-edition,reading,4a C'est moi!,5,matching,Le village est près,,,,de La Rochelle.,A1,personal-info,019
tricolore-1-5th-edition,speaking,5b,5b,speaking-task,"À deux, changez les mots surlignés.",,,,(open-ended),A1,personal-info,019
tricolore-1-5th-edition,speaking,5c,5c,speaking-task,"À deux, inventez une autre conversation. Ajoutez encore deux détails.",,,,(open-ended),A1,personal-info,019
tricolore-1-5th-edition,listening,3 Qui habite où?,6,matching,Monsieur Garnier,,,,,A1,personal-info,019
tricolore-1-5th-edition,reading,4a C'est moi!,6,matching,La Rochelle est,,,,une ville en France.,A1,personal-info,019
tricolore-1-5th-edition,listening,3 Qui habite où?,7,matching,Jean-Marc,,,,,A1,personal-info,019
tricolore-1-5th-edition,listening,3 Qui habite où?,8,matching,Isabelle,,,,,A1,personal-info,019
tricolore-1-5th-edition,reading,1b Trouve les cinq phrases qui sont vraies,1,true-false,"Lundi, Lou est dans un village.",,,,Vrai,A1,time-dates,020
tricolore-1-5th-edition,reading,2 Quel jour sommes-nous?,1,matching,lu.,,,,"lundi, Monday",A1,time-dates,020
tricolore-1-5th-edition,reading,1b Trouve les cinq phrases qui sont vraies,2,true-false,"Mercredi, Lou est en France.",,,,Faux,A1,time-dates,020
tricolore-1-5th-edition,reading,2 Quel jour sommes-nous?,2,matching,ma.,,,,"mardi, Tuesday",A1,time-dates,020
tricolore-1-5th-edition,reading,1b Trouve les cinq phrases qui sont vraies,3,true-false,"Samedi, Lou est dans une ville en France.",,,,Vrai,A1,time-dates,020
tricolore-1-5th-edition,reading,2 Quel jour sommes-nous?,3,matching,me.,,,,"mercredi, Wednesday",A1,time-dates,020
tricolore-1-5th-edition,reading,1b Trouve les cinq phrases qui sont vraies,4,true-false,"Vendredi, Lou est dans une ferme, au pays de Galles.",,,,Faux,A1,time-dates,020
tricolore-1-5th-edition,reading,2 Quel jour sommes-nous?,4,matching,je.,,,,"jeudi, Thursday",A1,time-dates,020
tricolore-1-5th-edition,reading,1b Trouve les cinq phrases qui sont vraies,5,true-false,"Mardi, Lou est en Angleterre.",,,,Vrai,A1,time-dates,020
tricolore-1-5th-edition,reading,2 Quel jour sommes-nous?,5,matching,ve.,,,,"vendredi, Friday",A1,time-dates,020
tricolore-1-5th-edition,reading,1b Trouve les cinq phrases qui sont vraies,6,true-false,"Jeudi, Lou est en Irlande.",,,,Vrai,A1,time-dates,020
tricolore-1-5th-edition,reading,2 Quel jour sommes-nous?,6,matching,sa.,,,,"samedi, Saturday",A1,time-dates,020
tricolore-1-5th-edition,reading,1b Trouve les cinq phrases qui sont vraies,7,true-false,"Samedi, Lou est près de la tour de Londres.",,,,Faux,A1,time-dates,020
tricolore-1-5th-edition,reading,2 Quel jour sommes-nous?,7,matching,di.,,,,"dimanche, Sunday",A1,time-dates,020
tricolore-1-5th-edition,reading,1b Trouve les cinq phrases qui sont vraies,8,true-false,Lou adore le dimanche.,,,,Vrai,A1,time-dates,020
tricolore-1-5th-edition,speaking,4 Comment ça s'écrit?,4,speaking-task,"À deux, inventez des conversations.",,,,(open-ended),A1,mixed,021
tricolore-1-5th-edition,reading,1b Qui est-ce?,1,short-answer,J'ai douze ans.,,,,Thomas,A1,family,022
tricolore-1-5th-edition,writing,2a La famille Laurent,1,fill-in,M. Laurent est le ___.,,,,père,A1,family,022
tricolore-1-5th-edition,reading,1b Qui est-ce?,2,short-answer,J'ai quatorze ans et j'ai deux frères.,,,,Louise,A1,family,022
tricolore-1-5th-edition,writing,2a La famille Laurent,2,fill-in,Mme Laurent est la ___.,,,,mère,A1,family,022
tricolore-1-5th-edition,writing,2b,2b,writing-task,Invente une famille. Fais des dessins et écris une présentation.,,,,(open-ended),A1,family,022
tricolore-1-5th-edition,reading,1b Qui est-ce?,3,short-answer,J'ai une sœur et un frère et j'ai dix ans.,,,,Daniel,A1,family,022
tricolore-1-5th-edition,writing,2a La famille Laurent,3,fill-in,Il y a trois enfants dans la ___ Laurent.,,,,famille,A1,family,022
tricolore-1-5th-edition,reading,1b Qui est-ce?,4,short-answer,Je suis le père et j'ai trois enfants.,,,,M. Jean-Pierre Laurent,A1,family,022
tricolore-1-5th-edition,writing,2a La famille Laurent,4,fill-in,Il y a deux garçons et une ___.,,,,fille,A1,family,022
tricolore-1-5th-edition,reading,1b Qui est-ce?,5,short-answer,Je suis la fille de M. et Mme Laurent.,,,,Louise,A1,family,022
tricolore-1-5th-edition,writing,2a La famille Laurent,5,fill-in,Thomas et Daniel sont les ___ de M. et Mme Laurent.,,,,fils,A1,family,022
tricolore-1-5th-edition,reading,1b Qui est-ce?,6,short-answer,Je suis la mère. J'ai deux fils et une fille.,,,,Mme Claire Laurent,A1,family,022
tricolore-1-5th-edition,writing,2a La famille Laurent,6,fill-in,Thomas et Daniel sont les ___ de Louise.,,,,frères,A1,family,022
tricolore-1-5th-edition,reading,1b Qui est-ce?,7,short-answer,C'est le père de famille.,,,,M. Jean-Pierre Laurent,A1,family,022
tricolore-1-5th-edition,writing,2a La famille Laurent,7,fill-in,Louise est la ___ de Daniel et Thomas.,,,,sœur,A1,family,022
tricolore-1-5th-edition,reading,1b Qui est-ce?,8,short-answer,C'est la sœur de Daniel.,,,,Louise,A1,family,022
tricolore-1-5th-edition,reading,4b Vrai ou faux?,1,true-false,Talia a un frère.,,,,Faux,A1,family,023
tricolore-1-5th-edition,grammar,5a Avoir,1,fill-in,___ I have,,,,j'ai,A1,family,023
tricolore-1-5th-edition,reading,4b Vrai ou faux?,10,true-false,Talia a une cousine.,,,,Vrai,A1,family,023
tricolore-1-5th-edition,reading,4b Vrai ou faux?,2,true-false,Simon a deux sœurs et une belle-mère.,,,,Faux,A1,family,023
tricolore-1-5th-edition,grammar,5a Avoir,2,fill-in,___ you have,,,,tu as,A1,family,023
tricolore-1-5th-edition,reading,4b Vrai ou faux?,3,true-false,"Alice a un demi-frère, David.",,,,Vrai,A1,family,023
tricolore-1-5th-edition,grammar,5a Avoir,3,fill-in,___ he has,,,,il a,A1,family,023
tricolore-1-5th-edition,reading,4b Vrai ou faux?,4,true-false,Talia est fille unique.,,,,Vrai,A1,family,023
tricolore-1-5th-edition,grammar,5a Avoir,4,fill-in,___ she has,,,,elle a,A1,family,023
tricolore-1-5th-edition,reading,4b Vrai ou faux?,5,true-false,Simon a un demi-frère.,,,,Faux,A1,family,023
tricolore-1-5th-edition,grammar,5a Avoir,5,fill-in,J'___ douze ans.,,,,ai,A1,family,023
tricolore-1-5th-edition,writing,5b,5b,writing-task,Tu es Martin Martien. Décris ta famille. Imagine les détails.,,,,(open-ended),A1,family,023
tricolore-1-5th-edition,reading,4b Vrai ou faux?,6,true-false,Alice est fille unique.,,,,Faux,A1,family,023
tricolore-1-5th-edition,grammar,5a Avoir,6,fill-in,"Et toi, tu ___ quel âge?",,,,as,A1,family,023
tricolore-1-5th-edition,reading,4b Vrai ou faux?,7,true-false,Simon a des grands-parents.,,,,Vrai,A1,family,023
tricolore-1-5th-edition,grammar,5a Avoir,7,fill-in,Mon frère ___ dix ans,,,,a,A1,family,023
tricolore-1-5th-edition,reading,4b Vrai ou faux?,8,true-false,Simon est fils unique.,,,,Vrai,A1,family,023
tricolore-1-5th-edition,grammar,5a Avoir,8,fill-in,Elle ___ treize ans.,,,,a,A1,family,023
tricolore-1-5th-edition,reading,4b Vrai ou faux?,9,true-false,"David a une sœur, Érika, et une demi-sœur, Alice.",,,,Vrai,A1,family,023
tricolore-1-5th-edition,writing,1 La famille Corpuscule,1,fill-in,___ sœur s'appelle Enferina. « Voici ___ chat. Il s'appelle Drak. »,,,,Ma; mon,A1,personal-info,024
tricolore-1-5th-edition,writing,2 Tu as tes affaires?,1,fill-in,"Tu as ___ trousse? — Oui, voici ___ trousse.",,,,ta; ma,A1,personal-info,024
tricolore-1-5th-edition,listening,3a Mon numéro un,1,short-answer,Personne 1: écris la chose la plus importante.,,,,ma guitare,A1,personal-info,024
tricolore-1-5th-edition,writing,1 La famille Corpuscule,2,fill-in,Voici ___ parents.,,,,mes,A1,personal-info,024
tricolore-1-5th-edition,writing,2 Tu as tes affaires?,2,fill-in,"Tu as ___ règle? — Oui, voici ___ règle.",,,,ta; ma,A1,personal-info,024
tricolore-1-5th-edition,listening,3a Mon numéro un,2,short-answer,Personne 2: écris la chose la plus importante.,,,,ma peluche,A1,personal-info,024
tricolore-1-5th-edition,writing,1 La famille Corpuscule,3,fill-in,___ père s'appelle Tombô. « Voici ___ ordinateur. »,,,,Mon; mon,A1,personal-info,024
tricolore-1-5th-edition,writing,2 Tu as tes affaires?,3,fill-in,"Tu as ___ cahiers? — Oui, voici ___ cahiers.",,,,tes; mes,A1,personal-info,024
tricolore-1-5th-edition,listening,3a Mon numéro un,3,short-answer,Personne 3: écris la chose la plus importante.,,,,mon smartphone,A1,personal-info,024
tricolore-1-5th-edition,writing,3b,3b,writing-task,Écris ta liste personnelle.,,,,(open-ended),A1,personal-info,024
tricolore-1-5th-edition,speaking,3c,3c,speaking-task,Quel est ton numéro un?,,,,(open-ended),A1,personal-info,024
tricolore-1-5th-edition,writing,1 La famille Corpuscule,4,fill-in,___ mère s'appelle Draculine. « Voici ___ souris. Elle s'appelle Fantôme. »,,,,Ma; ma,A1,personal-info,024
tricolore-1-5th-edition,writing,2 Tu as tes affaires?,4,fill-in,"Tu as ___ lecteur MP3? — Oui, voici ___ lecteur MP3.",,,,ton; mon,A1,personal-info,024
tricolore-1-5th-edition,listening,3a Mon numéro un,4,short-answer,Personne 4: écris la chose la plus importante.,,,,,A1,personal-info,024
tricolore-1-5th-edition,writing,1 La famille Corpuscule,5,fill-in,J'habite avec ___ parents et ___ sœur dans le château Corpuscule.,,,,mes; ma,A1,personal-info,024
tricolore-1-5th-edition,writing,2 Tu as tes affaires?,5,fill-in,Et tu as ___ sac? — Oh non! Zut! Où est ___ sac?,,,,ton; mon,A1,personal-info,024
tricolore-1-5th-edition,reading,4b Choisis la bonne phrase,1,multiple-choice,Item 1 (image),C'est le lecteur MP3 de Dani.,C'est le lecteur MP3 de son frère.,,C'est le lecteur MP3 de son frère.,A1,family,025
tricolore-1-5th-edition,reading,4b Choisis la bonne phrase,2,multiple-choice,Item 2 (image),C'est le sac à dos de Dani.,C'est le sac à dos de son frère.,,C'est le sac à dos de son frère.,A1,family,025
tricolore-1-5th-edition,reading,4b Choisis la bonne phrase,3,multiple-choice,Item 3 (image),C'est la liseuse de Dani.,C'est la liseuse de Théo.,,C'est la liseuse de Théo.,A1,family,025
tricolore-1-5th-edition,reading,4b Choisis la bonne phrase,4,multiple-choice,Item 4 (image),C'est le vélo de Théo.,C'est le vélo de Dani.,,C'est le vélo de Théo.,A1,family,025
tricolore-1-5th-edition,reading,4b Choisis la bonne phrase,5,multiple-choice,Item 5 (image),C'est le t-shirt de Dani.,C'est le t-shirt de son frère.,,,A1,family,025
tricolore-1-5th-edition,reading,4b Choisis la bonne phrase,6,multiple-choice,Item 6 (image),C'est la copine de Dani.,C'est la copine de son frère.,,C'est la copine de son frère.,A1,family,025
tricolore-1-5th-edition,reading,1b Vrai ou faux?,1,true-false,Yvan a un frère.,,,,Faux,A1,family,026
tricolore-1-5th-edition,writing,2 Un message de Karine,1,fill-in,Je ___ ta correspondante française.,,,,suis,A1,family,026
tricolore-1-5th-edition,reading,1b Vrai ou faux?,2,true-false,Yvan est sportif.,,,,Vrai,A1,family,026
tricolore-1-5th-edition,writing,2 Un message de Karine,2,fill-in,Il ___ amusant.,,,,est,A1,family,026
tricolore-1-5th-edition,reading,1b Vrai ou faux?,3,true-false,Lou est un ami d'Yvan.,,,,Vrai,A1,family,026
tricolore-1-5th-edition,writing,2 Un message de Karine,3,fill-in,Elle ___ fantastique!,,,,est,A1,family,026
tricolore-1-5th-edition,writing,3a,3a,writing-task,Réponds à Yvan ou à Karine. Écris un paragraphe.,,,,(open-ended),A1,family,026
tricolore-1-5th-edition,writing,3b,3b,writing-task,Écris deux paragraphes – donne plus de détails.,,,,(open-ended),A1,family,026
tricolore-1-5th-edition,reading,1b Vrai ou faux?,4,true-false,L'amie d'Yvan s'appelle Lou.,,,,Faux,A1,family,026
tricolore-1-5th-edition,writing,2 Un message de Karine,4,fill-in,___-tu sportive comme moi?,,,,Es,A1,family,026
tricolore-1-5th-edition,reading,1b Vrai ou faux?,5,true-false,Lou est très sportif.,,,,Faux,A1,family,026
tricolore-1-5th-edition,reading,1b Vrai ou faux?,6,true-false,La copine d'Yvan aime la musique.,,,,Vrai,A1,family,026
tricolore-1-5th-edition,reading,1b Vrai ou faux?,7,true-false,Delphine a un lecteur MP3.,,,,Vrai,A1,family,026
tricolore-1-5th-edition,reading,1b Vrai ou faux?,8,true-false,La sœur d'Yvan s'appelle Delphine.,,,,Faux,A1,family,026
tricolore-1-5th-edition,reading,4b C'est où?,1,matching,le salon,,,,J,A1,home,027
tricolore-1-5th-edition,reading,5 Les pièces,1,matching,"Dans la maison, …",,,,il y a huit pièces.,A1,home,027
tricolore-1-5th-edition,reading,4b C'est où?,10,matching,le garage,,,,F,A1,home,027
tricolore-1-5th-edition,reading,5 Les pièces,10,matching,"Dans la chambre de Thomas et Daniel, …",,,,"il y a deux lits, une console de jeux et une télé.",A1,home,027
tricolore-1-5th-edition,reading,4b C'est où?,2,matching,la salle à manger,,,,,A1,home,027
tricolore-1-5th-edition,reading,5 Les pièces,2,matching,Il y a un téléphone …,,,,dans la chambre de M. et Mme Laurent et dans la cuisine.,A1,home,027
tricolore-1-5th-edition,reading,4b C'est où?,3,matching,la cuisine,,,,,A1,home,027
tricolore-1-5th-edition,reading,5 Les pièces,3,matching,Le chat est …,,,,dans la chambre de Louise.,A1,home,027
tricolore-1-5th-edition,reading,4b C'est où?,4,matching,les toilettes,,,,I,A1,home,027
tricolore-1-5th-edition,reading,5 Les pièces,4,matching,"Dans la salle à manger, …",,,,il y a cinq chaises et une table.,A1,home,027
tricolore-1-5th-edition,reading,4b C'est où?,5,matching,la chambre de M. et Mme Laurent,,,,A,A1,home,027
tricolore-1-5th-edition,reading,5 Les pièces,5,matching,"Dans la chambre de Louise, …",,,,il y a une station d'accueil MP3 et un portable.,A1,home,027
tricolore-1-5th-edition,reading,4b C'est où?,6,matching,la chambre de Thomas et Daniel,,,,B,A1,home,027
tricolore-1-5th-edition,reading,5 Les pièces,6,matching,Les jeux vidéo sont …,,,,dans la chambre de Thomas et Daniel.,A1,home,027
tricolore-1-5th-edition,reading,4b C'est où?,7,matching,la chambre de Louise,,,,C,A1,home,027
tricolore-1-5th-edition,reading,5 Les pièces,7,matching,"Dans le salon, …",,,,il y a une télé.,A1,home,027
tricolore-1-5th-edition,reading,4b C'est où?,8,matching,la salle de bains,,,,D,A1,home,027
tricolore-1-5th-edition,reading,5 Les pièces,8,matching,"Dans la chambre de M. et Mme Laurent, …",,,,il y a un lecteur CD et un téléphone.,A1,home,027
tricolore-1-5th-edition,reading,4b C'est où?,9,matching,le jardin,,,,E,A1,home,027
tricolore-1-5th-edition,reading,5 Les pièces,9,matching,"Dans la cuisine, …",,,,il y a une radio et un téléphone.,A1,home,027
tricolore-1-5th-edition,writing,2 Dans la chambre,1,fill-in,La télé est ___ la chambre.,,,,dans,A1,home,028
tricolore-1-5th-edition,writing,2 Dans la chambre,2,fill-in,Où est le sac? Il est ___ le lit de Daniel.,,,,sur,A1,home,028
tricolore-1-5th-edition,writing,2 Dans la chambre,3,fill-in,Et où est la gomme de Daniel? Elle est ___ la trousse.,,,,dans,A1,home,028
tricolore-1-5th-edition,writing,2 Dans la chambre,4,fill-in,Et la trousse est ___ la chaise.,,,,sur,A1,home,028
tricolore-1-5th-edition,writing,2 Dans la chambre,5,fill-in,Les crayons de Thomas sont ___ la boîte et la boîte est ___ la table.,,,,dans (les crayons); (position de la boîte non précisée dans le texte),A1,home,028
tricolore-1-5th-edition,writing,2 Dans la chambre,6,fill-in,La règle de Daniel est ___ le sac.,,,,dans,A1,home,028
tricolore-1-5th-edition,writing,2 Dans la chambre,7,fill-in,Où est le smartphone de Daniel? Il est ___ le lit.,,,,sous,A1,home,028
tricolore-1-5th-edition,writing,2 Dans la chambre,8,fill-in,Et où est le lecteur MP3 de Thomas? Il est ___ la chaise.,,,,,A1,home,028
tricolore-1-5th-edition,grammar,Dossier-langue table,1,fill-in,Copy and complete: a/an (masculine un / feminine ___ / vowel un-une); the (masc ___ / fem la / vowel l'-l'); my (mon / ___ / mon-mon); your (ton / ta / ___).,,,,a/an feminine = une; the masculine = le; my feminine = ma; your before a vowel = ton/ton,A1,home,029
