collection,word,translation,article,plural,word_class,example,topic,source_page
tricolore-2-5th-edition,fils (unique) (m),(only) son,,,noun,,family,155
tricolore-2-5th-edition,flûte (f),flute,,,noun,,hobby,155
tricolore-2-5th-edition,flûte à bec (f),recorder,,,noun,,none,155
tricolore-2-5th-edition,football (m),football,,,noun,,hobby,155
tricolore-2-5th-edition,fromage (m),cheese,,,noun,,food,155
tricolore-2-5th-edition,frère (m),brother,,,noun,,family,155
tricolore-2-5th-edition,fête (f),"party, festival",,,noun,,hobby,155
tricolore-2-5th-edition,fête foraine (f),funfair,,,noun,,none,155
tricolore-2-5th-edition,garage (m),garage,,,noun,,home,155
tricolore-2-5th-edition,gare (f),station,,,noun,,travel,155
tricolore-2-5th-edition,golf (m),golf,,,noun,,hobby,155
tricolore-2-5th-edition,grand-mère (f),grandmother,,,noun,,family,155
tricolore-2-5th-edition,grand-père (m),grandfather,,,noun,,family,155
tricolore-2-5th-edition,guitare (f),guitar,,,noun,,hobby,155
tricolore-2-5th-edition,gymnastique (f),gymnastics,,,noun,,hobby,155
tricolore-2-5th-edition,hamster (m),hamster,,,noun,,none,155
tricolore-2-5th-edition,hôpital (m),hospital,,,noun,,health,155
tricolore-2-5th-edition,hôtel (m),hotel,,,noun,,none,155
tricolore-2-5th-edition,hôtel de ville (m),town hall,,,noun,,city-places,155
tricolore-2-5th-edition,il fait beau,it's fine,,,phrase,,weather,155
tricolore-2-5th-edition,il fait chaud,it's hot,,,phrase,,weather,155
tricolore-2-5th-edition,il fait froid,it's cold,,,phrase,,weather,155
tricolore-2-5th-edition,il fait mauvais,it's bad weather,,,phrase,,weather,155
tricolore-2-5th-edition,il neige,it's snowing,,,phrase,,weather,155
tricolore-2-5th-edition,il pleut,it's raining,,,phrase,,weather,155
tricolore-2-5th-edition,il y a du brouillard,it's foggy,,,phrase,,weather,155
tricolore-2-5th-edition,il y a du soleil,it's sunny,,,phrase,,weather,155
tricolore-2-5th-edition,il y a du vent,it's windy,,,phrase,,weather,155
tricolore-2-5th-edition,jambon (m),ham,,,noun,,food,155
tricolore-2-5th-edition,jardin (m),garden,,,noun,,home,155
tricolore-2-5th-edition,je ne suis pas d'accord,I disagree,,,phrase,,none,155
tricolore-2-5th-edition,je suis d'accord,I agree,,,phrase,,none,155
tricolore-2-5th-edition,je suis pour/contre,I'm for/against,,,phrase,,none,155
tricolore-2-5th-edition,jouer aux cartes,to play cards,,,verb,,hobby,155
tricolore-2-5th-edition,jouer aux jeux vidéo,to play computer games,,,verb,,hobby,155
tricolore-2-5th-edition,jouer aux échecs,to play chess,,,verb,,hobby,155
tricolore-2-5th-edition,jouer à l'ordinateur,to play on the computer,,,verb,,communication,155
tricolore-2-5th-edition,lapin (m),rabbit,,,noun,,none,155
tricolore-2-5th-edition,lit (m),bed,,,noun,,home,155
tricolore-2-5th-edition,loin de,far from,,,phrase,,none,155
tricolore-2-5th-edition,marché (m),market,,,noun,,shopping,155
tricolore-2-5th-edition,mosquée (f),mosque,,,noun,,city-places,155
tricolore-2-5th-edition,musique,music,la,,noun,,none,155
tricolore-2-5th-edition,musée (m),museum,,,noun,,city-places,155
tricolore-2-5th-edition,mère (f),mother,,,noun,,family,155
tricolore-2-5th-edition,nord,north,le,,noun,,travel,155
tricolore-2-5th-edition,nourriture,food,la,,noun,,food,155
tricolore-2-5th-edition,office de tourisme (m),tourist office,,,noun,,travel,155
tricolore-2-5th-edition,oiseau (m),bird,,,noun,,none,155
tricolore-2-5th-edition,omelette (f),omelette,,,noun,,food,155
tricolore-2-5th-edition,oncle (m),uncle,,,noun,,family,155
tricolore-2-5th-edition,ouest,west,l',,noun,,travel,155
tricolore-2-5th-edition,parc (m),park,,,noun,,city-places,155
tricolore-2-5th-edition,parking (m),car park,,,noun,,city-places,155
tricolore-2-5th-edition,patinoire (f),skating rink,,,noun,,city-places,155
tricolore-2-5th-edition,perroquet (m),parrot,,,noun,,none,155
tricolore-2-5th-edition,perruche (f),budgerigar,,,noun,,none,155
tricolore-2-5th-edition,peu,a bit,un,,noun,,none,155
tricolore-2-5th-edition,piano (m),piano,,,noun,,hobby,155
tricolore-2-5th-edition,piscine (f),swimming pool,,,noun,,city-places,155
tricolore-2-5th-edition,pizza (f),pizza,,,noun,,food,155
tricolore-2-5th-edition,place (f),square,,,noun,,city-places,155
tricolore-2-5th-edition,planche à voile (f),windsurfing,,,noun,,hobby,155
tricolore-2-5th-edition,points cardinaux,points of the compass,les,,noun,,none,155
tricolore-2-5th-edition,poisson (m),fish,,,noun,,food,155
tricolore-2-5th-edition,poisson rouge (m),goldfish,,,noun,,none,155
tricolore-2-5th-edition,portable (m),laptop,,,noun,,none,155
tricolore-2-5th-edition,porte (f),door,,,noun,,home,155
tricolore-2-5th-edition,poste (f),post office,,,noun,,city-places,155
tricolore-2-5th-edition,potage (m),soup,,,noun,,food,155
tricolore-2-5th-edition,poulet (m),chicken,,,noun,,food,155
tricolore-2-5th-edition,printemps (m),in spring,au,,phrase,,time-dates,155
tricolore-2-5th-edition,près d'ici,near here,,,phrase,,none,155
tricolore-2-5th-edition,près de,near,,,phrase,,none,155
tricolore-2-5th-edition,pâté (m),pâté,,,noun,,food,155
tricolore-2-5th-edition,père (m),father,,,noun,,family,155
tricolore-2-5th-edition,Quelle direction?,Which direction?,,,phrase,,travel,155
tricolore-2-5th-edition,restaurant (m),restaurant,,,noun,,restaurant,155
tricolore-2-5th-edition,roller (m),rollerblading / skating,,,noun,,hobby,155
tricolore-2-5th-edition,rue (principale) (f),"(high, main) street",,,noun,,city-places,155
tricolore-2-5th-edition,rugby (m),rugby,,,noun,,hobby,155
tricolore-2-5th-edition,réfrigérateur (m),fridge,,,noun,,home,155
tricolore-2-5th-edition,saisons (f pl),seasons,les,,noun,,time-dates,155
tricolore-2-5th-edition,salle de bains (f),bathroom,,,noun,,home,155
tricolore-2-5th-edition,salle à manger (f),dining room,,,noun,,home,155
tricolore-2-5th-edition,salon (m),lounge,,,noun,,home,155
tricolore-2-5th-edition,sauvegarder,to save,,,verb,,none,155
tricolore-2-5th-edition,serpent (m),snake,,,noun,,none,155
tricolore-2-5th-edition,site web (m),website,,,noun,,communication,155
tricolore-2-5th-edition,skate (m),skateboarding,,,noun,,none,155
tricolore-2-5th-edition,ski (m),skiing,,,noun,,hobby,155
tricolore-2-5th-edition,soirée (f),"party, celebration",,,noun,,hobby,155
tricolore-2-5th-edition,souris (f),mouse,,,noun,,communication,155
tricolore-2-5th-edition,sports (m pl),sport,les,,noun,,hobby,155
tricolore-2-5th-edition,stade (m),stadium,,,noun,,city-places,155
tricolore-2-5th-edition,sud,south,le,,noun,,travel,155
tricolore-2-5th-edition,surfer sur Internet,to surf the net,,,verb,,communication,155
tricolore-2-5th-edition,surligner,to highlight,,,verb,,none,155
tricolore-2-5th-edition,synagogue (f),synagogue,,,noun,,city-places,155
tricolore-2-5th-edition,sœur (f),sister,,,noun,,family,155
tricolore-2-5th-edition,tablette (f),tablet,,,noun,,none,155
tricolore-2-5th-edition,tante (f),aunt,,,noun,,family,155
tricolore-2-5th-edition,taper,to type,,,verb,,none,155
tricolore-2-5th-edition,tarentule (f),tarantula,,,noun,,none,155
tricolore-2-5th-edition,temple (m),temple,,,noun,,city-places,155
tricolore-2-5th-edition,temps,weather,le,,noun,,weather,155
tricolore-2-5th-edition,tennis (m),tennis,,,noun,,hobby,155
tricolore-2-5th-edition,touche (f),key,,,noun,,none,155
tricolore-2-5th-edition,tout droit,straight ahead,,,phrase,,none,155
tricolore-2-5th-edition,tout près,very close,,,phrase,,none,155
tricolore-2-5th-edition,très,very,,,adverb,,none,155
tricolore-2-5th-edition,viande (f),meat,,,noun,,food,155
tricolore-2-5th-edition,violon (m),violin,,,noun,,hobby,155
tricolore-2-5th-edition,visualiser,to display,,,verb,,none,155
tricolore-2-5th-edition,voile (f),sailing,,,noun,,hobby,155
tricolore-2-5th-edition,VTT (vélo tout terrain) (m),mountain biking,,,noun,,vacation,155
tricolore-2-5th-edition,à droite,(on the) right,,,phrase,,none,155
tricolore-2-5th-edition,à gauche,(on the) left,,,phrase,,none,155
tricolore-2-5th-edition,à la maison,at home,,,phrase,,none,155
tricolore-2-5th-edition,à mon avis,in my opinion,,,phrase,,none,155
tricolore-2-5th-edition,À quelle distance?,How far?,,,phrase,,none,155
tricolore-2-5th-edition,à … kilomètres de,… kilometres from,,,phrase,,travel,155
tricolore-2-5th-edition,à … milles de,… miles from,,,phrase,,travel,155
tricolore-2-5th-edition,école (f),school (in general),,,noun,,school,155
tricolore-2-5th-edition,église (f),church,,,noun,,city-places,155
tricolore-2-5th-edition,équitation (f),horse riding,,,noun,,none,155
tricolore-2-5th-edition,(bleu) clair (inv),light (blue),,,adjective,,none,156
tricolore-2-5th-edition,(vert) foncé (inv),dark (green),,,adjective,,none,156
tricolore-2-5th-edition,août,August,,,noun,,time-dates,156
tricolore-2-5th-edition,aujourd'hui,today,,,adverb,,time-dates,156
tricolore-2-5th-edition,aussi,also,,,adverb,,none,156
tricolore-2-5th-edition,avenir,future,l',,noun,,time-dates,156
tricolore-2-5th-edition,avril,April,,,noun,,time-dates,156
tricolore-2-5th-edition,banane (f),banana,,,noun,,food,156
tricolore-2-5th-edition,beurre (m),butter,,,noun,,food,156
tricolore-2-5th-edition,bientôt,soon,,,adverb,,time-dates,156
tricolore-2-5th-edition,blanc (blanche),white,,,adjective,,none,156
tricolore-2-5th-edition,bleu,blue,,,adjective,,none,156
tricolore-2-5th-edition,blond,blond,,,adjective,,none,156
tricolore-2-5th-edition,boissons chaudes (f pl),hot drinks,des,,noun,,food,156
tricolore-2-5th-edition,boissons froides (f pl),cold drinks,des,,noun,,food,156
tricolore-2-5th-edition,Bon anniversaire,Happy birthday,,,phrase,,none,156
tricolore-2-5th-edition,Bonne année,Happy New Year,,,phrase,,time-dates,156
tricolore-2-5th-edition,Bonne fête,Best wishes on your Saint's Day,,,phrase,,time-dates,156
tricolore-2-5th-edition,brun,brown,,,adjective,,none,156
tricolore-2-5th-edition,café (m),coffee,,,noun,,restaurant,156
tricolore-2-5th-edition,carottes (f pl),carrots,,,noun,,food,156
tricolore-2-5th-edition,ce matin,this morning,,,phrase,,time-dates,156
tricolore-2-5th-edition,ce soir,this evening,,,phrase,,time-dates,156
tricolore-2-5th-edition,cent,100,,,other,,none,156
tricolore-2-5th-edition,cet après-midi,this afternoon,,,phrase,,time-dates,156
tricolore-2-5th-edition,champignon (m),mushroom,,,noun,,food,156
tricolore-2-5th-edition,chocolat chaud (m),hot chocolate,,,noun,,food,156
tricolore-2-5th-edition,chou (m),cabbage,,,noun,,food,156
tricolore-2-5th-edition,chou-fleur (m),cauliflower,,,noun,,food,156
tricolore-2-5th-edition,châtain,(chestnut) brown,,,adjective,,none,156
tricolore-2-5th-edition,cinq,5,,,other,,none,156
tricolore-2-5th-edition,cinquante,50,,,other,,none,156
tricolore-2-5th-edition,cinquante-et-un,51,,,other,,none,156
tricolore-2-5th-edition,cinquième,fifth,,,other,,none,156
tricolore-2-5th-edition,citron (m),lemon,,,noun,,food,156
tricolore-2-5th-edition,coca (m),coke,,,noun,,food,156
tricolore-2-5th-edition,confiture (f),jam,,,noun,,food,156
tricolore-2-5th-edition,confiture d'oranges (f),marmalade,,,noun,,food,156
tricolore-2-5th-edition,conjonctions,connectives,des,,noun,,none,156
tricolore-2-5th-edition,couleurs (f pl),colours,les,,noun,,none,156
tricolore-2-5th-edition,croissants (m pl),croissants,,,noun,,food,156
tricolore-2-5th-edition,céréales (f pl),cereal,,,noun,,food,156
tricolore-2-5th-edition,d'abord,first of all,,,adverb,,none,156
tricolore-2-5th-edition,dans l'ordre,in order,,,phrase,,none,156
tricolore-2-5th-edition,demain,tomorrow,,,adverb,,time-dates,156
tricolore-2-5th-edition,desserts (m pl),desserts,des,,noun,,food,156
tricolore-2-5th-edition,deux,2,,,other,,none,156
tricolore-2-5th-edition,deux-cent-cinquante,250,,,other,,none,156
tricolore-2-5th-edition,deux-cents,200,,,other,,none,156
tricolore-2-5th-edition,deuxième,second,,,other,,none,156
tricolore-2-5th-edition,dimanche,Sunday,,,noun,,time-dates,156
tricolore-2-5th-edition,dimanche dernier,last Sunday,,,phrase,,time-dates,156
tricolore-2-5th-edition,dix,10,,,other,,none,156
tricolore-2-5th-edition,dix-huit,18,,,other,,none,156
tricolore-2-5th-edition,dix-neuf,19,,,other,,none,156
tricolore-2-5th-edition,dix-sept,17,,,other,,none,156
tricolore-2-5th-edition,donc,"then, so",,,other,,none,156
tricolore-2-5th-edition,douze,12,,,other,,none,156
tricolore-2-5th-edition,décembre,December,,,noun,,time-dates,156
tricolore-2-5th-edition,eau (f),water,,,noun,,food,156
tricolore-2-5th-edition,eau minérale (f),mineral water,,,noun,,food,156
tricolore-2-5th-edition,en ce moment,at the moment,,,phrase,,none,156
tricolore-2-5th-edition,ensuite,next,,,adverb,,time-dates,156
tricolore-2-5th-edition,et,and,,,other,,none,156
tricolore-2-5th-edition,et demie,,,,phrase,,time-dates,156
tricolore-2-5th-edition,et quart,,,,phrase,,time-dates,156
tricolore-2-5th-edition,fraise (f),strawberry,,,noun,,food,156
tricolore-2-5th-edition,frites (f pl),chips,,,noun,,food,156
tricolore-2-5th-edition,fruits (m pl),fruit,des,,noun,,food,156
tricolore-2-5th-edition,février,February,,,noun,,time-dates,156
tricolore-2-5th-edition,fête du 14 juillet / la fête nationale,Bastille Day (14th July),la,,noun,,time-dates,156
tricolore-2-5th-edition,fêtes et les vœux,festivals and greetings,les,,noun,,none,156
tricolore-2-5th-edition,gris,grey,,,adjective,,none,156
tricolore-2-5th-edition,gâteau (m),cake,,,noun,,food,156
tricolore-2-5th-edition,haricots verts (m pl),French beans,,,noun,,none,156
tricolore-2-5th-edition,heure (f),time,l',,noun,Il est une heure/deux heures/trois heures …,time-dates,156
tricolore-2-5th-edition,hier,yesterday,,,adverb,,time-dates,156
tricolore-2-5th-edition,hier matin/après-midi,yesterday morning/afternoon,,,phrase,,time-dates,156
tricolore-2-5th-edition,hier soir,last night,,,phrase,,none,156
tricolore-2-5th-edition,huit,8,,,other,,none,156
tricolore-2-5th-edition,Il est midi et demi.,,,,phrase,,time-dates,156
tricolore-2-5th-edition,Il est minuit et demi.,,,,phrase,,time-dates,156
tricolore-2-5th-edition,janvier,January,,,noun,,time-dates,156
tricolore-2-5th-edition,jaune,yellow,,,adjective,,none,156
tricolore-2-5th-edition,jeudi,Thursday,,,noun,,time-dates,156
tricolore-2-5th-edition,jour de l'An,New Year's Day,le,,noun,,time-dates,156
tricolore-2-5th-edition,jours de la semaine,days of the week,les,,noun,,time-dates,156
tricolore-2-5th-edition,Joyeuses Pâques,Happy Easter,,,phrase,,none,156
tricolore-2-5th-edition,Joyeux Noël,Happy Christmas,,,phrase,,none,156
tricolore-2-5th-edition,juillet,July,,,noun,,time-dates,156
tricolore-2-5th-edition,juin,June,,,noun,,time-dates,156
tricolore-2-5th-edition,jus de fruit (m),fruit juice,,,noun,,food,156
tricolore-2-5th-edition,kiwi (m),kiwi fruit,,,noun,,food,156
tricolore-2-5th-edition,lait (m),milk,,,noun,,food,156
tricolore-2-5th-edition,limonade (f),lemonade,,,noun,,food,156
tricolore-2-5th-edition,lundi,Monday,,,noun,,time-dates,156
tricolore-2-5th-edition,lundi prochain,next Monday,,,phrase,,time-dates,156
tricolore-2-5th-edition,légumes (m pl),vegetables,des,,noun,,food,156
tricolore-2-5th-edition,mai,May,,,noun,,time-dates,156
tricolore-2-5th-edition,maintenant,now,,,adverb,,time-dates,156
tricolore-2-5th-edition,mais,but,,,other,,none,156
tricolore-2-5th-edition,mardi,Tuesday,,,noun,,time-dates,156
tricolore-2-5th-edition,Mardi gras,Shrove Tuesday,,,phrase,,time-dates,156
tricolore-2-5th-edition,marron (inv),brown,,,adjective,,none,156
tricolore-2-5th-edition,mars,March,,,noun,,time-dates,156
tricolore-2-5th-edition,melon (m),melon,,,noun,,food,156
tricolore-2-5th-edition,mercredi,Wednesday,,,noun,,time-dates,156
tricolore-2-5th-edition,mille,1000,,,other,,none,156
tricolore-2-5th-edition,moins cinq,,,,phrase,,time-dates,156
tricolore-2-5th-edition,moins dix,,,,phrase,,time-dates,156
tricolore-2-5th-edition,moins le quart,,,,phrase,,time-dates,156
tricolore-2-5th-edition,moins vingt,,,,phrase,,time-dates,156
tricolore-2-5th-edition,moins vingt-cinq,,,,phrase,,time-dates,156
tricolore-2-5th-edition,mois de l'année,months of the year,les,,noun,,time-dates,156
tricolore-2-5th-edition,neuf,9,,,other,,none,156
tricolore-2-5th-edition,noir,black,,,adjective,,none,156
tricolore-2-5th-edition,nombres (m pl),numbers,les,,noun,,none,156
