collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goethe-a1-sd1-exam-training-1,listening,3,12,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo genau treffen sich die Männer?,Am Zug.,Am Bahnhof.,An der Information.,c,A1,travel,012
goethe-a1-sd1-exam-training-1,listening,3,13,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wie lange will der Mann noch warten?,20 Minuten.,2 Minuten.,10 Minuten.,c,A1,communication,012
goethe-a1-sd1-exam-training-1,listening,3,14,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",An welchem Tag will die Frau kommen?,Am Montag.,Am Sonntag.,Am Samstag.,b,A1,time-dates,013
goethe-a1-sd1-exam-training-1,listening,3,15,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was ist kaputt?,Der Fernseher.,Der Computer.,Das Handy.,b,A1,communication,013
goethe-a1-sd1-exam-training-1,reading,1,1,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Lis Zug kommt nach halb eins an.,Richtig,Falsch,,Richtig,A1,travel,016
goethe-a1-sd1-exam-training-1,reading,1,2,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Karin wartet den ganzen Vormittag vor der Auskunft.,Richtig,Falsch,,Falsch,A1,travel,016
goethe-a1-sd1-exam-training-1,reading,1,3,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Ralf hatte am letzten Wochenende Geburtstag.,Richtig,Falsch,,Falsch,A1,hobby,017
goethe-a1-sd1-exam-training-1,reading,1,4,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Ralf hat nur zwei oder drei Leute eingeladen.,Richtig,Falsch,,Falsch,A1,hobby,017
goethe-a1-sd1-exam-training-1,reading,1,5,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Die Party findet draußen statt.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-1,reading,2,6,multiple-choice,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten mit dem Schiff auf dem Rhein fahren.,www.schiff-ruedesheim.de,www.bingen-ruedesheimer.de,,b,A1,travel,018
goethe-a1-sd1-exam-training-1,reading,2,7,multiple-choice,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten Deutsch in Deutschland lernen.,www.sprachenfuchs.de,www.eviva.com,,a,A1,school,019
goethe-a1-sd1-exam-training-1,reading,2,8,multiple-choice,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten ein Zugticket im Internet kaufen.,www.DER.com,www.RED.com,,a,A1,travel,019
goethe-a1-sd1-exam-training-1,reading,2,9,multiple-choice,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten Informationen über den Bodensee.,www.bodensee.de,www.rottenmeier.de,,a,A1,travel,020
goethe-a1-sd1-exam-training-1,reading,2,10,multiple-choice,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie sind in Wiesbaden und möchten mit dem Zug am Mittag in Hamburg sein.,"www.reiseauskunft.bahn.de — ab Hamburg 17.02. 12.18, an Wiesbaden 17.02. 16.52 (Dauer 4:34, 1x Umsteigen, ICE, S)","www.reiseauskunft.bahn.de — ab Wiesbaden 17.02. 08.09, an Hamburg 17.02. 12.40 (Dauer 4:31, 1x Umsteigen, S, ICE)",,b,A1,travel,020
goethe-a1-sd1-exam-training-1,reading,3,11,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,In der Sprachschule können Sie etwas zu essen kaufen.,Richtig,Falsch,,Richtig,A1,food,021
goethe-a1-sd1-exam-training-1,reading,3,12,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Es ist Samstagnachmittag. Sie können auf der Post Briefmarken kaufen.,Richtig,Falsch,,Falsch,A1,city-places,022
goethe-a1-sd1-exam-training-1,reading,3,13,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Sie können hier Zigaretten rauchen.,Richtig,Falsch,,Falsch,A1,city-places,022
goethe-a1-sd1-exam-training-1,reading,3,14,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Heute Abend können Sie in diesem Restaurant tanzen.,Richtig,Falsch,,Richtig,A1,restaurant,023
goethe-a1-sd1-exam-training-1,reading,3,15,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Von 23 Uhr bis 1 Uhr fährt kein Bus.,Richtig,Falsch,,Richtig,A1,travel,023
goethe-a1-sd1-exam-training-1,writing,1,1,fill-in,"Ihre Freundin, Eva Kadavy, macht mit ihrem Mann und ihren beiden Söhnen (8 und 11 Jahre alt) Urlaub in Seeheim. Im Reisebüro bucht sie für den nächsten Sonntag eine Busfahrt um den Bodensee. Frau Kadavy hat keine Kreditkarte. In dem Formular fehlen fünf Informationen. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Anzahl der Personen: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen),,,,4,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,2,fill-in,"Ihre Freundin, Eva Kadavy, macht mit ihrem Mann und ihren beiden Söhnen (8 und 11 Jahre alt) Urlaub in Seeheim. Im Reisebüro bucht sie für den nächsten Sonntag eine Busfahrt um den Bodensee. Frau Kadavy hat keine Kreditkarte. In dem Formular fehlen fünf Informationen. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Davon Kinder: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen),,,,2,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,3,fill-in,"Ihre Freundin, Eva Kadavy, macht mit ihrem Mann und ihren beiden Söhnen (8 und 11 Jahre alt) Urlaub in Seeheim. Im Reisebüro bucht sie für den nächsten Sonntag eine Busfahrt um den Bodensee. Frau Kadavy hat keine Kreditkarte. In dem Formular fehlen fünf Informationen. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.","PLZ, Urlaubsort: 78014 ______ (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen)",,,,Seeheim,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,4,fill-in,"Ihre Freundin, Eva Kadavy, macht mit ihrem Mann und ihren beiden Söhnen (8 und 11 Jahre alt) Urlaub in Seeheim. Im Reisebüro bucht sie für den nächsten Sonntag eine Busfahrt um den Bodensee. Frau Kadavy hat keine Kreditkarte. In dem Formular fehlen fünf Informationen. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Zahlungsweise: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ankreuzen: Bar oder Kreditkarte),,,,bar,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,1,5,fill-in,"Ihre Freundin, Eva Kadavy, macht mit ihrem Mann und ihren beiden Söhnen (8 und 11 Jahre alt) Urlaub in Seeheim. Im Reisebüro bucht sie für den nächsten Sonntag eine Busfahrt um den Bodensee. Frau Kadavy hat keine Kreditkarte. In dem Formular fehlen fünf Informationen. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Reisetermin: (im Formular BODENSEE-RUNDFAHRT / Anmeldung ergänzen),,,,Datum (vom nächsten Sonntag) / Sonntag / nächsten Sonntag,A1,travel,024
goethe-a1-sd1-exam-training-1,writing,2,1,open-ended,Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.,"Sie möchten im August Dresden besuchen. Schreiben Sie an die Touristeninformation: Warum schreiben Sie? Bitten Sie: Informationen über Filme, Museen usw. (Kulturprogramm). Fragen Sie: Hoteladressen? Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.",,,,(open-ended),A1,travel,025
goethe-a1-sd1-exam-training-1,speaking,1,1,open-ended,Sich vorstellen.,Sich vorstellen. Name? Alter? Land? Wohnort? Sprachen? Beruf? Hobby?,,,,(open-ended),A1,personal-info,028
goethe-a1-sd1-exam-training-1,speaking,2,Frühstück,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Frühstück,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Lieblings-essen,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Lieblings-essen,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Sonntag,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Sonntag,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Bier,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Bier,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Fleisch,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Fleisch,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Brot,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Brot,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Zeitung,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Zeitung,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Kasse,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Kasse,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Obst,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Obst,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Schuhe,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Schuhe,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Buch,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Buch,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Stadtplan,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Stadtplan,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,3,1,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Buch/Heft mit einer CD (CD-ROM),,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,2,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Buch mit Etikett/Aufkleber,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,3,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Anzug/Jackett mit Krawatte und Flasche,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,4,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Bleistift auf Papier,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,5,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Tisch (Beistelltisch),,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,6,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Taschenuhr mit Kette,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,7,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: ein Apfel,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,8,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Messer und Gabel auf einer Serviette,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,9,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: ein Glas (halb gefüllt),,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,10,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Rauchverbot (durchgestrichene Zigarette),,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,11,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: eine Aktentasche / Tasche,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,12,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: ein Radio mit Musiknoten,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-2,listening,1,1,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo gibt es Kleidung für Kinder?,Im 1. Stock.,Im 2. Stock.,Im 4. Stock.,b,A1,shopping,009
goethe-a1-sd1-exam-training-2,listening,1,2,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was bestellt die Dame?,Hähnchen.,Fisch.,Salat.,c,A1,restaurant,009
goethe-a1-sd1-exam-training-2,listening,1,3,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wie lange hat das Museum am Mittwoch geöffnet?,Bis 15 Uhr.,Bis 18 Uhr.,Bis 22 Uhr.,a,A1,city-places,009
goethe-a1-sd1-exam-training-2,listening,1,4,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Welchen Sport empfiehlt der Arzt?,Fahrrad fahren.,Fußball.,Laufen.,a,A1,health,010
goethe-a1-sd1-exam-training-2,listening,1,5,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo macht Familie Bauer Urlaub?,Am Meer.,Bei Verwandten.,Zu Hause.,b,A1,vacation,010
goethe-a1-sd1-exam-training-2,listening,1,6,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wie lange dauert der Flug nach München?,30 Minuten.,45 Minuten.,50 Minuten.,c,A1,travel,010
goethe-a1-sd1-exam-training-2,listening,2,7,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Die Fahrgäste sollen im Zug bleiben.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-2,listening,2,8,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Fluggäste nach Rom sollen zu Ausgang A7 kommen.,Richtig,Falsch,,Falsch,A1,travel,011
goethe-a1-sd1-exam-training-2,listening,2,9,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Die Urlauber sollen um vier Uhr am Bus sein.,Richtig,Falsch,,Falsch,A1,vacation,011
goethe-a1-sd1-exam-training-2,listening,2,10,true-false,Kreuzen Sie an: Richtig oder Falsch. Sie hören jeden Text einmal.,Der Vater von Mario soll sofort zur Information gehen.,Richtig,Falsch,,Richtig,A1,city-places,011
goethe-a1-sd1-exam-training-2,listening,3,11,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wann soll Frau Krause anrufen?,Vor 13 Uhr.,Zwischen 13 und 18 Uhr.,Zwischen 18 und 19 Uhr.,b,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,12,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was möchte Nina heute Abend machen?,Einen Film sehen.,Lernen.,Zu Hause bleiben.,a,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,13,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was soll Sarah mitbringen?,Ein Deutschbuch.,Ein Wörterbuch.,Eine CD.,b,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,14,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo wollen sich die Frauen mit Sabine treffen?,Beim Konzert.,Im Café.,In der Disco.,c,A1,communication,013
goethe-a1-sd1-exam-training-2,listening,3,15,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wann will Herr Heinze Frau Solms treffen?,Um 12 Uhr.,Um 13 Uhr.,Um 18 Uhr.,b,A1,communication,013
goethe-a1-sd1-exam-training-2,reading,1,1,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Renate macht in Weimar Urlaub.,Richtig,Falsch,,Falsch,A1,travel,016
goethe-a1-sd1-exam-training-2,reading,1,2,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Sie möchte am Abend mit Nora zusammen essen.,Richtig,Falsch,,Richtig,A1,communication,016
goethe-a1-sd1-exam-training-2,reading,1,3,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Die Sportsfreunde machen jeden Sommer einen Ausflug.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,1,4,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Der Bus wartet vor dem Vereinshaus.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,1,5,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Für die Fahrt und das Essen bezahlt jeder 10 Euro.,Richtig,Falsch,,Falsch,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,2,6,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie studieren in Frankfurt und möchten eine Wohnung mieten. Wo finden Sie Informationen?,www.goetheuni-frankfurt.de,www.agentur-spiess.com,,a,A1,home,018
goethe-a1-sd1-exam-training-2,reading,2,7,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten wissen: Wie kommt man vom Hamburger Bahnhof zum Hamburger Flughafen?,www.flughafen-service.de,www.hh-flughafen.de,,b,A1,travel,019
goethe-a1-sd1-exam-training-2,reading,2,8,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie suchen ein Angebot für Ihre Urlaubsreise.,www.travel-münchen.de,www.lastminute.de,,b,A1,vacation,019
goethe-a1-sd1-exam-training-2,reading,2,9,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie suchen eine Wohnung für Ihren Urlaub.,www.st.peter.ording.de/mietwohnungen,www.ferienandernordsee.de,,b,A1,vacation,020
goethe-a1-sd1-exam-training-2,reading,2,10,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie arbeiten in Deutschland. In Ihrer Freizeit möchten Sie Fußball spielen.,www.goal.de,www.vereinssport.de,,b,A1,hobby,020
goethe-a1-sd1-exam-training-2,reading,3,11,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Am Fahrkartenautomaten: Am Samstag können Sie und Ihre Freunde mit dem Ticket für 29 Euro fahren.,Richtig,Falsch,,Richtig,A1,travel,021
goethe-a1-sd1-exam-training-2,reading,3,12,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Im Hotelzimmer: Nach 22 Uhr kommen Sie nicht mehr ins Hotel.,Richtig,Falsch,,Falsch,A1,city-places,022
goethe-a1-sd1-exam-training-2,reading,3,13,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Eingang Restaurant: Am Sonntagmittag können Sie in diesem Restaurant essen.,Richtig,Falsch,,Richtig,A1,restaurant,022
goethe-a1-sd1-exam-training-2,reading,3,14,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Im Kultur-Verein: Man kann diesen Samstagabend einen Film sehen.,Richtig,Falsch,,Richtig,A1,hobby,023
goethe-a1-sd1-exam-training-2,reading,3,15,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Im Bahnhof: Fahrkarten können Sie an allen Schaltern bekommen.,Richtig,Falsch,,Falsch,A1,travel,023
goethe-a1-sd1-exam-training-2,writing,1,1,fill-in,"Ihre Freundin Yvonne Legrand aus Frankreich, geboren am 17.4.1993 in Lyon, möchte vom 1. bis zum 28. August einen Deutschkurs in Deutschland besuchen. Sie hat schon sechs Monate Deutsch gelernt. Sie hat am Vormittag Zeit. In der Schule hat sie Englisch gelernt. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Formular Sprachenschule LIGA / Anmeldung: Geburtsort:,,,,"Lyon / Lyon, Frankreich",A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,2,fill-in,"Ihre Freundin Yvonne Legrand aus Frankreich, geboren am 17.4.1993 in Lyon, möchte vom 1. bis zum 28. August einen Deutschkurs in Deutschland besuchen. Sie hat schon sechs Monate Deutsch gelernt. Sie hat am Vormittag Zeit. In der Schule hat sie Englisch gelernt. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Formular Sprachenschule LIGA / Anmeldung: Andere Sprachen:,,,,Englisch,A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,3,fill-in,"Ihre Freundin Yvonne Legrand aus Frankreich, geboren am 17.4.1993 in Lyon, möchte vom 1. bis zum 28. August einen Deutschkurs in Deutschland besuchen. Sie hat schon sechs Monate Deutsch gelernt. Sie hat am Vormittag Zeit. In der Schule hat sie Englisch gelernt. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Formular Sprachenschule LIGA / Anmeldung: Wie lange? (Schon Deutsch gelernt?),,,,6 Monate / sechs Monate,A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,4,fill-in,"Ihre Freundin Yvonne Legrand aus Frankreich, geboren am 17.4.1993 in Lyon, möchte vom 1. bis zum 28. August einen Deutschkurs in Deutschland besuchen. Sie hat schon sechs Monate Deutsch gelernt. Sie hat am Vormittag Zeit. In der Schule hat sie Englisch gelernt. Helfen Sie Ihrer Freundin und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Formular Sprachenschule LIGA / Anmeldung: Kurstermin:,,,,1. bis 28. August o.Ä.,A1,personal-info,024
