slug	url	status	qa	content_hash	updated_at
testdaf--digital	https://deutsch-pruefung.de/testdaf/digital	verified	pass	9829ce7c90aaf9ff	2026-07-21T08:28:13.560Z
testdaf--digital--lesen	https://deutsch-pruefung.de/testdaf/digital/lesen	verified	pass	37fefbdbd7769b6a	2026-07-21T08:28:15.138Z
blog--german-language-levels-explained-ace-a1-b2-exams	https://deutsch-pruefung.de/blog/german-language-levels-explained-ace-a1-b2-exams	verified	pass	fe882ec3e20b60d5	2026-07-21T08:28:16.646Z
blog--cefr-levels-german-exams-guide-students	https://deutsch-pruefung.de/blog/cefr-levels-german-exams-guide-students	verified	pass	199d6ef4a4df57b9	2026-07-21T08:28:18.100Z
blog--what-is-b2-level-german-skills-uses-exam-insights	https://deutsch-pruefung.de/blog/what-is-b2-level-german-skills-uses-exam-insights	verified	pass	781ff8c988395039	2026-07-21T08:28:19.608Z
blog--goethe-exam-explained-skills-levels-success-strategies	https://deutsch-pruefung.de/blog/goethe-exam-explained-skills-levels-success-strategies	verified	pass	5e7c8242532bc137	2026-07-21T08:28:21.188Z
blog--a1-exam-study-guide-ace-german-test-step-by-step	https://deutsch-pruefung.de/blog/a1-exam-study-guide-ace-german-test-step-by-step	verified	pass	f8ed7765b7df0c7f	2026-07-21T08:28:22.618Z
blog--german-grammar-tests-key-differences-prep-tips	https://deutsch-pruefung.de/blog/german-grammar-tests-key-differences-prep-tips	verified	pass	1120b4c26f538abf	2026-07-21T08:28:24.160Z
blog--german-integration-course-guide-for-newcomers	https://deutsch-pruefung.de/blog/german-integration-course-guide-for-newcomers	verified	pass	95742abed93b4925	2026-07-21T08:28:25.671Z
blog--german-tests-immigration-levels-requirements-prep	https://deutsch-pruefung.de/blog/german-tests-immigration-levels-requirements-prep	verified	pass	bcb2cb0903756b5a	2026-07-21T08:28:27.136Z
blog--certifying-german-language-skills-study-work-immigration	https://deutsch-pruefung.de/blog/certifying-german-language-skills-study-work-immigration	verified	pass	348a12148855cb86	2026-07-21T08:28:28.623Z
blog--improve-german-speaking-exam-success-guide	https://deutsch-pruefung.de/blog/improve-german-speaking-exam-success-guide	verified	pass	4e680f2abbca3b8f	2026-07-21T08:28:30.170Z
blog--german-mock-tests-goethe-telc-exam-preparation	https://deutsch-pruefung.de/blog/german-mock-tests-goethe-telc-exam-preparation	verified	pass	7c2acf634c9198c2	2026-07-21T08:28:31.659Z
blog--academic-german-certificates-guide-language-credentials	https://deutsch-pruefung.de/blog/academic-german-certificates-guide-language-credentials	verified	pass	cd386e344edeff76	2026-07-21T08:28:33.189Z
blog--how-to-pass-telc-german-test-proven-strategies	https://deutsch-pruefung.de/blog/how-to-pass-telc-german-test-proven-strategies	verified	pass	8935603daa88a262	2026-07-21T08:28:34.698Z
blog--how-to-pass-dtz-exam-proven-strategies-guide	https://deutsch-pruefung.de/blog/how-to-pass-dtz-exam-proven-strategies-guide	verified	pass	c2ef934d95685c65	2026-07-21T08:28:36.163Z
blog--master-german-language-questions-with-practical-examples	https://deutsch-pruefung.de/blog/master-german-language-questions-with-practical-examples	verified	pass	4c675a3179a471a1	2026-07-21T08:28:37.851Z
blog--build-german-vocabulary-exam-success	https://deutsch-pruefung.de/blog/build-german-vocabulary-exam-success	verified	pass	b7573f04499589b3	2026-07-21T08:28:39.359Z
blog--what-is-language-certificate-german-exams-a1-b2	https://deutsch-pruefung.de/blog/what-is-language-certificate-german-exams-a1-b2	verified	pass	229bd9ad40955763	2026-07-21T08:28:40.722Z
blog--telc-b1-writing-guide	https://deutsch-pruefung.de/blog/telc-b1-writing-guide	verified	pass	4129d293a639dfbf	2026-07-21T08:28:42.450Z
blog--telc-b1-reading-guide	https://deutsch-pruefung.de/blog/telc-b1-reading-guide	verified	pass	3fbb8e143fea9040	2026-07-21T08:28:43.946Z
blog--telc-b1-ultimate-guide	https://deutsch-pruefung.de/blog/telc-b1-ultimate-guide	verified	pass	7626fca2361e11bf	2026-07-21T08:28:45.384Z
blog--telc-b2-writing-guide	https://deutsch-pruefung.de/blog/telc-b2-writing-guide	verified	pass	8f8603cc86593091	2026-07-21T08:28:46.797Z
blog--telc-b2-listening-guide	https://deutsch-pruefung.de/blog/telc-b2-listening-guide	verified	pass	bfb9358a07843e6c	2026-07-21T08:28:48.264Z
blog--telc-b1-speaking-guide	https://deutsch-pruefung.de/blog/telc-b1-speaking-guide	verified	pass	accb52ba8f14fad7	2026-07-21T08:28:49.787Z
blog--telc-b2-speaking-guide	https://deutsch-pruefung.de/blog/telc-b2-speaking-guide	verified	pass	6bce3c6297012417	2026-07-21T08:28:51.418Z
blog--telc-b2-reading-guide	https://deutsch-pruefung.de/blog/telc-b2-reading-guide	verified	pass	d9c864f9e0cfc61d	2026-07-21T08:28:52.811Z
blog--telc-b2-ultimate-guide	https://deutsch-pruefung.de/blog/telc-b2-ultimate-guide	verified	pass	ff3b1081e67b7231	2026-07-21T08:28:54.408Z
blog--goethe-telc-a1-listening-guide	https://deutsch-pruefung.de/blog/goethe-telc-a1-listening-guide	verified	pass	66d1355050c4cfc3	2026-07-21T08:28:55.881Z
blog--goethe-telc-a1-reading-guide	https://deutsch-pruefung.de/blog/goethe-telc-a1-reading-guide	verified	pass	dd568b52a0d4d452	2026-07-21T08:28:57.404Z
blog--telc-vs-goethe-exam-guide	https://deutsch-pruefung.de/blog/telc-vs-goethe-exam-guide	verified	pass	64baadc310e26629	2026-07-21T08:28:58.812Z
blog--goethe-telc-a1-speaking-guide	https://deutsch-pruefung.de/blog/goethe-telc-a1-speaking-guide	verified	pass	2be8606ffa077bf8	2026-07-21T08:29:00.385Z
blog--goethe-telc-a1-writing-guide	https://deutsch-pruefung.de/blog/goethe-telc-a1-writing-guide	verified	pass	1144f1ff543545bc	2026-07-21T08:29:01.890Z
blog--goethe-a1-ultimate-guide	https://deutsch-pruefung.de/blog/goethe-a1-ultimate-guide	verified	pass	aecd20c6a275ddf1	2026-07-21T08:29:03.344Z
telc	https://deutsch-pruefung.de/telc	verified	pass	8eb637278e1aac35	2026-07-21T08:29:04.848Z
telc--a1	https://deutsch-pruefung.de/telc/a1	verified	pass	f7cbc6da872648c0	2026-07-21T08:29:06.337Z
telc--a1--hoeren	https://deutsch-pruefung.de/telc/a1/hoeren	verified	pass	4c03ac205c138344	2026-07-21T08:29:07.836Z
telc--a1--lesen	https://deutsch-pruefung.de/telc/a1/lesen	verified	pass	abb69d011db38c35	2026-07-21T08:29:09.378Z
telc--a1--schreiben	https://deutsch-pruefung.de/telc/a1/schreiben	verified	pass	e506a711cbc80749	2026-07-21T08:29:10.880Z
telc--a1--sprechen	https://deutsch-pruefung.de/telc/a1/sprechen	verified	pass	b33be82860faefff	2026-07-21T08:29:12.343Z
telc--a2	https://deutsch-pruefung.de/telc/a2	verified	pass	e53e7bbce0eca0ab	2026-07-21T08:29:14.004Z
telc--a2--hoeren	https://deutsch-pruefung.de/telc/a2/hoeren	verified	pass	9a7c09b13822c272	2026-07-21T08:29:15.380Z
telc--a2--lesen	https://deutsch-pruefung.de/telc/a2/lesen	verified	pass	2a7b7f14d12c58bf	2026-07-21T08:29:16.919Z
telc--a2--schreiben	https://deutsch-pruefung.de/telc/a2/schreiben	verified	pass	681f7e6a99635836	2026-07-21T08:29:18.412Z
telc--a2--sprechen	https://deutsch-pruefung.de/telc/a2/sprechen	verified	pass	11e9d55bf79c7ef8	2026-07-21T08:29:20.338Z
telc--b1	https://deutsch-pruefung.de/telc/b1	verified	pass	abe1d50044a71f90	2026-07-21T08:29:21.446Z
telc--b1--hoeren	https://deutsch-pruefung.de/telc/b1/hoeren	verified	pass	66470fe01bade2f3	2026-07-21T08:29:22.996Z
telc--b1--lesen	https://deutsch-pruefung.de/telc/b1/lesen	verified	pass	896f3eef06d5c4df	2026-07-21T08:29:24.456Z
telc--b1--schreiben	https://deutsch-pruefung.de/telc/b1/schreiben	verified	pass	65b0b55e938c0b51	2026-07-21T08:29:25.989Z
telc--b1--sprechen	https://deutsch-pruefung.de/telc/b1/sprechen	verified	pass	b394541081f52104	2026-07-21T08:29:27.476Z
telc--b2	https://deutsch-pruefung.de/telc/b2	verified	pass	da33706e7c7db39a	2026-07-21T08:29:29.022Z
telc--b2--hoeren	https://deutsch-pruefung.de/telc/b2/hoeren	verified	pass	5342001c369f3505	2026-07-21T08:29:30.492Z
telc--b2--lesen	https://deutsch-pruefung.de/telc/b2/lesen	verified	pass	1b5dba027317c7d1	2026-07-21T08:29:32.013Z
telc--b2--schreiben	https://deutsch-pruefung.de/telc/b2/schreiben	verified	pass	28123b47a09fb170	2026-07-21T08:29:33.509Z
telc--b2--sprechen	https://deutsch-pruefung.de/telc/b2/sprechen	verified	pass	3e63d745f4bd24df	2026-07-21T08:29:35.025Z
telc--c1	https://deutsch-pruefung.de/telc/c1	verified	pass	909fd6192b07a26e	2026-07-21T08:29:36.657Z
telc--c1--hoeren	https://deutsch-pruefung.de/telc/c1/hoeren	verified	pass	04403db4bbd12fd9	2026-07-21T08:29:38.055Z
telc--c1--lesen	https://deutsch-pruefung.de/telc/c1/lesen	verified	pass	dcde4505534e4c9a	2026-07-21T08:29:39.603Z
telc--c1--schreiben	https://deutsch-pruefung.de/telc/c1/schreiben	verified	pass	554cf5bf54d1c9a1	2026-07-21T08:29:41.084Z
telc--c1--sprechen	https://deutsch-pruefung.de/telc/c1/sprechen	verified	pass	2b2a712404ac1f35	2026-07-21T08:29:42.573Z
goethe	https://deutsch-pruefung.de/goethe	verified	pass	ad57472010cf4afc	2026-07-21T08:29:44.108Z
goethe--a1	https://deutsch-pruefung.de/goethe/a1	verified	pass	da785bf6d53c8012	2026-07-21T08:29:45.755Z
goethe--a1--hoeren	https://deutsch-pruefung.de/goethe/a1/hoeren	verified	pass	4c03ac205c138344	2026-07-21T08:29:47.222Z
goethe--a1--lesen	https://deutsch-pruefung.de/goethe/a1/lesen	verified	pass	abb69d011db38c35	2026-07-21T08:29:48.624Z
goethe--a1--schreiben	https://deutsch-pruefung.de/goethe/a1/schreiben	verified	pass	e506a711cbc80749	2026-07-21T08:29:50.139Z
goethe--a1--sprechen	https://deutsch-pruefung.de/goethe/a1/sprechen	verified	pass	b33be82860faefff	2026-07-21T08:29:51.657Z
goethe--a2	https://deutsch-pruefung.de/goethe/a2	verified	pass	e35e3879c9a60c6e	2026-07-21T08:29:53.165Z
goethe--a2--hoeren	https://deutsch-pruefung.de/goethe/a2/hoeren	verified	pass	0d3f07c9bd255338	2026-07-21T08:29:54.681Z
goethe--a2--lesen	https://deutsch-pruefung.de/goethe/a2/lesen	verified	pass	06d554a665b41b29	2026-07-21T08:29:56.189Z
goethe--a2--schreiben	https://deutsch-pruefung.de/goethe/a2/schreiben	verified	pass	bc8cf6b68f78c961	2026-07-21T08:29:58.059Z
goethe--a2--sprechen	https://deutsch-pruefung.de/goethe/a2/sprechen	verified	pass	d8c9dfb772b215b1	2026-07-21T08:29:59.222Z
goethe--b1	https://deutsch-pruefung.de/goethe/b1	verified	pass	d3359609f077ec84	2026-07-21T08:30:00.871Z
goethe--b1--hoeren	https://deutsch-pruefung.de/goethe/b1/hoeren	verified	pass	071cc40f60263545	2026-07-21T08:30:02.241Z
goethe--b1--lesen	https://deutsch-pruefung.de/goethe/b1/lesen	verified	pass	edb4223646571deb	2026-07-21T08:30:04.025Z
goethe--b1--schreiben	https://deutsch-pruefung.de/goethe/b1/schreiben	verified	pass	e0cc19bc63b60da3	2026-07-21T08:30:05.249Z
goethe--b1--sprechen	https://deutsch-pruefung.de/goethe/b1/sprechen	verified	pass	95add607596b821c	2026-07-21T08:30:06.728Z
goethe--b2	https://deutsch-pruefung.de/goethe/b2	verified	pass	a5633b44d11aa9a7	2026-07-21T08:30:08.335Z
goethe--b2--hoeren	https://deutsch-pruefung.de/goethe/b2/hoeren	verified	pass	91bd598be39b2d4e	2026-07-21T08:30:09.766Z
goethe--b2--lesen	https://deutsch-pruefung.de/goethe/b2/lesen	verified	pass	226214ccde78ca73	2026-07-21T08:30:11.322Z
goethe--b2--schreiben	https://deutsch-pruefung.de/goethe/b2/schreiben	verified	pass	4ed50facd796549c	2026-07-21T08:30:12.791Z
goethe--b2--sprechen	https://deutsch-pruefung.de/goethe/b2/sprechen	verified	pass	6dec66182dbd2916	2026-07-21T08:30:14.333Z
