collection,section,part,item,item_type,question,option_a,option_b,option_c,correct_answer,level,topic,source_page
goethe-a1-sd1-exam-training-1,speaking,2,Bier,open-ended,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Bier,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Fleisch,open-ended,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Fleisch,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Brot,open-ended,Um Informationen bitten und Informationen geben. Thema: Essen & Trinken — Brot,,,,(open-ended),A1,food,029
goethe-a1-sd1-exam-training-1,speaking,2,Zeitung,open-ended,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Zeitung,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Kasse,open-ended,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Kasse,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Obst,open-ended,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Obst,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Schuhe,open-ended,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Schuhe,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Buch,open-ended,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Buch,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,2,Stadtplan,open-ended,Um Informationen bitten und Informationen geben. Thema: Einkaufen — Stadtplan,,,,(open-ended),A1,shopping,030
goethe-a1-sd1-exam-training-1,speaking,3,1,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: Buch/Heft mit einer CD (CD-ROM),,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,2,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: Buch mit Etikett/Aufkleber,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,3,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: Anzug/Jackett mit Krawatte und Flasche,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,4,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: Bleistift auf Papier,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,5,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: Tisch (Beistelltisch),,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,6,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: Taschenuhr mit Kette,,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-1,speaking,3,7,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: ein Apfel,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,8,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: Messer und Gabel auf einer Serviette,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,9,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: ein Glas (halb gefüllt),,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,10,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: Rauchverbot (durchgestrichene Zigarette),,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,11,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: eine Aktentasche / Tasche,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-1,speaking,3,12,open-ended,Bitten formulieren und darauf reagieren. Bildkarte: ein Radio mit Musiknoten,,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-2,listening,1,1,multiple-choice,Wo gibt es Kleidung für Kinder?,Im 1. Stock.,Im 2. Stock.,Im 4. Stock.,b,A1,shopping,009
goethe-a1-sd1-exam-training-2,listening,1,2,multiple-choice,Was bestellt die Dame?,Hähnchen.,Fisch.,Salat.,c,A1,restaurant,009
goethe-a1-sd1-exam-training-2,listening,1,3,multiple-choice,Wie lange hat das Museum am Mittwoch geöffnet?,Bis 15 Uhr.,Bis 18 Uhr.,Bis 22 Uhr.,a,A1,city-places,009
goethe-a1-sd1-exam-training-2,listening,1,4,multiple-choice,Welchen Sport empfiehlt der Arzt?,Fahrrad fahren.,Fußball.,Laufen.,a,A1,health,010
goethe-a1-sd1-exam-training-2,listening,1,5,multiple-choice,Wo macht Familie Bauer Urlaub?,Am Meer.,Bei Verwandten.,Zu Hause.,b,A1,vacation,010
goethe-a1-sd1-exam-training-2,listening,1,6,multiple-choice,Wie lange dauert der Flug nach München?,30 Minuten.,45 Minuten.,50 Minuten.,c,A1,travel,010
goethe-a1-sd1-exam-training-2,listening,2,7,true-false,Die Fahrgäste sollen im Zug bleiben.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-2,listening,2,8,true-false,Fluggäste nach Rom sollen zu Ausgang A7 kommen.,Richtig,Falsch,,Falsch,A1,travel,011
goethe-a1-sd1-exam-training-2,listening,2,9,true-false,Die Urlauber sollen um vier Uhr am Bus sein.,Richtig,Falsch,,Falsch,A1,vacation,011
goethe-a1-sd1-exam-training-2,listening,2,10,true-false,Der Vater von Mario soll sofort zur Information gehen.,Richtig,Falsch,,Richtig,A1,city-places,011
goethe-a1-sd1-exam-training-2,listening,3,11,multiple-choice,Wann soll Frau Krause anrufen?,Vor 13 Uhr.,Zwischen 13 und 18 Uhr.,Zwischen 18 und 19 Uhr.,b,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,12,multiple-choice,Was möchte Nina heute Abend machen?,Einen Film sehen.,Lernen.,Zu Hause bleiben.,a,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,13,multiple-choice,Was soll Sarah mitbringen?,Ein Deutschbuch.,Ein Wörterbuch.,Eine CD.,b,A1,communication,012
goethe-a1-sd1-exam-training-2,listening,3,14,multiple-choice,Wo wollen sich die Frauen mit Sabine treffen?,Beim Konzert.,Im Café.,In der Disco.,c,A1,communication,013
goethe-a1-sd1-exam-training-2,listening,3,15,multiple-choice,Wann will Herr Heinze Frau Solms treffen?,Um 12 Uhr.,Um 13 Uhr.,Um 18 Uhr.,b,A1,communication,013
goethe-a1-sd1-exam-training-2,reading,1,1,true-false,Renate macht in Weimar Urlaub.,Richtig,Falsch,,Falsch,A1,travel,016
goethe-a1-sd1-exam-training-2,reading,1,2,true-false,Sie möchte am Abend mit Nora zusammen essen.,Richtig,Falsch,,Richtig,A1,communication,016
goethe-a1-sd1-exam-training-2,reading,1,3,true-false,Die Sportsfreunde machen jeden Sommer einen Ausflug.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,1,4,true-false,Der Bus wartet vor dem Vereinshaus.,Richtig,Falsch,,Richtig,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,1,5,true-false,Für die Fahrt und das Essen bezahlt jeder 10 Euro.,Richtig,Falsch,,Falsch,A1,hobby,017
goethe-a1-sd1-exam-training-2,reading,2,6,matching,Sie studieren in Frankfurt und möchten eine Wohnung mieten. Wo finden Sie Informationen?,www.goetheuni-frankfurt.de,www.agentur-spiess.com,,a,A1,home,018
goethe-a1-sd1-exam-training-2,reading,2,7,matching,Sie möchten wissen: Wie kommt man vom Hamburger Bahnhof zum Hamburger Flughafen?,www.flughafen-service.de,www.hh-flughafen.de,,b,A1,travel,019
goethe-a1-sd1-exam-training-2,reading,2,8,matching,Sie suchen ein Angebot für Ihre Urlaubsreise.,www.travel-münchen.de,www.lastminute.de,,b,A1,vacation,019
goethe-a1-sd1-exam-training-2,reading,2,9,matching,Sie suchen eine Wohnung für Ihren Urlaub.,www.st.peter.ording.de/mietwohnungen,www.ferienandernordsee.de,,b,A1,vacation,020
goethe-a1-sd1-exam-training-2,reading,2,10,matching,Sie arbeiten in Deutschland. In Ihrer Freizeit möchten Sie Fußball spielen.,www.goal.de,www.vereinssport.de,,b,A1,hobby,020
goethe-a1-sd1-exam-training-2,reading,3,11,true-false,Am Fahrkartenautomaten: Am Samstag können Sie und Ihre Freunde mit dem Ticket für 29 Euro fahren.,Richtig,Falsch,,Richtig,A1,travel,021
goethe-a1-sd1-exam-training-2,reading,3,12,true-false,Im Hotelzimmer: Nach 22 Uhr kommen Sie nicht mehr ins Hotel.,Richtig,Falsch,,Falsch,A1,city-places,022
goethe-a1-sd1-exam-training-2,reading,3,13,true-false,Eingang Restaurant: Am Sonntagmittag können Sie in diesem Restaurant essen.,Richtig,Falsch,,Richtig,A1,restaurant,022
goethe-a1-sd1-exam-training-2,reading,3,14,true-false,Im Kultur-Verein: Man kann diesen Samstagabend einen Film sehen.,Richtig,Falsch,,Richtig,A1,hobby,023
goethe-a1-sd1-exam-training-2,reading,3,15,true-false,Im Bahnhof: Fahrkarten können Sie an allen Schaltern bekommen.,Richtig,Falsch,,Falsch,A1,travel,023
goethe-a1-sd1-exam-training-2,writing,1,1,fill-in,Formular Sprachenschule LIGA / Anmeldung: Geburtsort:,,,,"Lyon / Lyon, Frankreich",A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,2,fill-in,Formular Sprachenschule LIGA / Anmeldung: Andere Sprachen:,,,,Englisch,A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,3,fill-in,Formular Sprachenschule LIGA / Anmeldung: Wie lange? (Schon Deutsch gelernt?),,,,6 Monate / sechs Monate,A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,4,fill-in,Formular Sprachenschule LIGA / Anmeldung: Kurstermin:,,,,1. bis 28. August o.Ä.,A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,1,5,fill-in,Formular Sprachenschule LIGA / Anmeldung: Kurszeit: (von 9 – 12 Uhr / von 13 – 16 Uhr / von 17 – 20 Uhr),,,,9 - 12 Uhr,A1,personal-info,024
goethe-a1-sd1-exam-training-2,writing,2,1,open-ended,Sie möchten Ihren Geburtstag feiern und Ihre Freundin Anna einladen. Schreiben Sie Anna eine E-Mail: - Warum schreiben Sie? - Sagen Sie: Wann und wo feiern Sie? - Fragen Sie: kommen? Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.,,,,(open-ended),A1,communication,025
goethe-a1-sd1-exam-training-2,speaking,1,1,open-ended,Teil 1 Sich vorstellen. Name? Alter? Land? Wohnort? Sprachen? Beruf? Hobby?,,,,(open-ended),A1,personal-info,028
goethe-a1-sd1-exam-training-2,speaking,2,1,open-ended,"Teil 2 Um Informationen bitten und Informationen geben. Thema: Wochenende. Stichwörter auf den sechs Aufgabenkarten: 1 Sonntag, 2 Frühstück, 3 Sport, 4 Familie, 5 Ausflug, 6 Bücher.",,,,(open-ended),A1,mixed,029
goethe-a1-sd1-exam-training-2,speaking,2,2,open-ended,"Teil 2 Um Informationen bitten und Informationen geben. Thema: Schule. Wörter auf den sechs Wortkarten: 1 Freunde, 2 Lehrer, 3 Computer, 4 Sprachen, 5 Essen, 6 Hausaufgaben.",,,,(open-ended),A1,school,030
goethe-a1-sd1-exam-training-2,speaking,3,1,open-ended,"Teil 3 Bitten formulieren und darauf reagieren. Sechs Bildkarten: 1 Computer (Monitor mit Tastatur), 2 Hand, die mit einem Stift auf ein Blatt Papier schreibt (Unterschrift), 3 Kochtopf mit Kochlöffel auf einem Herd, 4 Ein Glas (Weizenbier / Bierglas), 5 Blumenstrauß, 6 Kalender/Wecker mit den Tagen M D M D F S S und „8.00 Uhr"".",,,,(open-ended),A1,mixed,031
goethe-a1-sd1-exam-training-2,speaking,3,2,open-ended,"Teil 3 Bitten formulieren und darauf reagieren. Sechs Bildkarten: oben links ein Apfel, oben rechts ein Buch mit der Aufschrift „Deutsch"" (mit Deutschland-Flagge), Mitte links ein Glas (Wasserglas), Mitte rechts ein Rauchverbotsschild (durchgestrichene Zigarette), unten links eine Aktentasche / Tasche, unten rechts ein Radio (mit Musiknoten).",,,,(open-ended),A1,mixed,032
goethe-a1-sd1-exam-training-3,listening,1,0,multiple-choice,Welche Zimmernummer hat Herr Schneider?,Zimmer 2.,Zimmer 245.,Zimmer 254.,c,A1,home,008
goethe-a1-sd1-exam-training-3,listening,1,1,multiple-choice,Wo wollen die Freundinnen die Party machen?,Im Garten.,Im Haus.,Am See.,a,A1,hobby,009
goethe-a1-sd1-exam-training-3,listening,1,2,multiple-choice,Wann wollen sie sich treffen?,Um 19.30 Uhr.,Um 20.30 Uhr.,Um 21.00 Uhr.,b,A1,time-dates,009
goethe-a1-sd1-exam-training-3,listening,1,3,multiple-choice,Wo stehen Taxis?,An der Ecke rechts.,Die Straße geradeaus.,Geradeaus und links.,c,A1,city-places,009
goethe-a1-sd1-exam-training-3,listening,1,4,multiple-choice,Wie lange dauern die Sommerkurse?,Zwei Wochen.,Drei Wochen.,Vier Wochen.,a,A1,school,010
goethe-a1-sd1-exam-training-3,listening,1,5,multiple-choice,Was soll Johanna mitbringen?,Salat.,Saft.,Karten.,c,A1,hobby,010
goethe-a1-sd1-exam-training-3,listening,1,6,multiple-choice,Wann ist Frau Horn aus dem Urlaub zurück?,Am Mittwoch.,Am Freitag.,Am Montag.,c,A1,vacation,010
goethe-a1-sd1-exam-training-3,listening,2,0,true-false,Frau Gundlach soll zur Information in Halle C kommen.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-3,listening,2,7,true-false,Die Fahrgäste sollen den Bus nehmen.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-3,listening,2,8,true-false,Die Kunden sollen in den zweiten Stock kommen.,Richtig,Falsch,,Falsch,A1,shopping,011
goethe-a1-sd1-exam-training-3,listening,2,9,true-false,Die Leute sollen zu Hause bleiben.,Richtig,Falsch,,Richtig,A1,home,011
goethe-a1-sd1-exam-training-3,listening,2,10,true-false,Fahrgäste nach Innsbruck sollen mit dem ICE 346 fahren.,Richtig,Falsch,,Richtig,A1,travel,011
goethe-a1-sd1-exam-training-3,listening,3,11,multiple-choice,Wann will Greta das Formular holen?,Heute Abend.,Morgen.,Montagmorgen.,c,A1,communication,012
goethe-a1-sd1-exam-training-3,listening,3,12,multiple-choice,Wo möchte Heinz Siggi treffen?,Am Bahnhof.,Im italienischen Restaurant.,"Im Restaurant „Zwiebel"".",a,A1,restaurant,012
goethe-a1-sd1-exam-training-3,listening,3,13,multiple-choice,Wann möchte Eva Schmitz am Mittwoch kommen?,Um 10.00 Uhr.,Um 11.00 Uhr.,Um 12.00 Uhr.,a,A1,time-dates,012
goethe-a1-sd1-exam-training-3,listening,3,14,multiple-choice,Was soll man sagen?,Die Adresse.,Die E-Mail-Adresse.,Die Telefonnummer.,c,A1,communication,013
goethe-a1-sd1-exam-training-3,listening,3,15,multiple-choice,Wie kommt Herr Müller ins Büro?,Mit dem Fahrrad.,Mit der Straßenbahn.,Mit dem Auto.,a,A1,travel,013
goethe-a1-sd1-exam-training-3,reading,1,0,true-false,Herr Beck freut sich auf das Konzert.,Richtig,Falsch,,Richtig,A1,hobby,016
goethe-a1-sd1-exam-training-3,reading,1,1,true-false,Herr Beck übernachtet im Hotel.,Richtig,Falsch,,Falsch,A1,travel,016
goethe-a1-sd1-exam-training-3,reading,1,2,true-false,Herr Beck bietet Frau Dehner seine Hilfe an.,Richtig,Falsch,,Richtig,A1,communication,016
goethe-a1-sd1-exam-training-3,reading,1,3,true-false,Frau Stein ist in Berlin.,Richtig,Falsch,,Richtig,A1,profession,017
goethe-a1-sd1-exam-training-3,reading,1,4,true-false,Am Mittwoch hat Frau Stein frei.,Richtig,Falsch,,Falsch,A1,profession,017
goethe-a1-sd1-exam-training-3,reading,1,5,true-false,Frau Stein will am Freitag Dr. Falk treffen.,Richtig,Falsch,,Richtig,A1,profession,017
goethe-a1-sd1-exam-training-3,reading,2,0,matching,Sie wollen wissen: Regnet es in Deutschland? — Wo finden Sie Informationen? (Anzeige a oder b),www.openair.de,www.dwd.de,,b,A1,weather,018
goethe-a1-sd1-exam-training-3,reading,2,6,matching,Sie wollen viele Freunde zu Ihrem Geburtstag einladen. Sie suchen einen Ort. — Wo finden Sie Informationen? (Anzeige a oder b),www.raum-in-koeln.de,www.wohnen-in-koeln.de,,a,A1,hobby,018
goethe-a1-sd1-exam-training-3,reading,2,7,matching,Der Computer ist kaputt. Sie können ihn nicht allein reparieren. — Wo finden Sie Informationen? (Anzeige a oder b),www.computer-loesungen.de,www.technohaus.de,,a,A1,shopping,019
goethe-a1-sd1-exam-training-3,reading,2,8,matching,Sie möchten am Samstagabend mit Freunden tanzen gehen. — Wo finden Sie Informationen? (Anzeige a oder b),www.tanzen-macht-spass.de,www.wohin-am-wochenende.de,,b,A1,hobby,019
goethe-a1-sd1-exam-training-3,reading,2,9,matching,Sie möchten am Wochenende Fußball spielen. — Wo finden Sie Informationen? (Anzeige a oder b),www.freizeitsport-freiburg.de,www.fc-1897.de/training,,b,A1,hobby,020
goethe-a1-sd1-exam-training-3,reading,2,10,matching,Sie studieren und möchten ein bisschen arbeiten. — Wo finden Sie Informationen? (Anzeige a oder b),0176 – 55 44 321,0160 – 683 456 20,,a,A1,profession,020
goethe-a1-sd1-exam-training-3,reading,3,0,true-false,An der Tür der Sprachschule: Zum Deutschlernen gehen Sie in die Beethovenstraße 23.,Richtig,Falsch,,Richtig,A1,school,021
goethe-a1-sd1-exam-training-3,reading,3,11,true-false,Vor einem Blumenladen: Am Sonntagvormittag bekommen Sie hier Blumen.,Richtig,Falsch,,Richtig,A1,shopping,021
goethe-a1-sd1-exam-training-3,reading,3,12,true-false,Im Restaurant: Jeden Montag bietet das Restaurant indisches Essen an.,Richtig,Falsch,,Falsch,A1,restaurant,022
goethe-a1-sd1-exam-training-3,reading,3,13,true-false,"Bei der Straßenbahn: Es ist der 2. Mai, 21 Uhr. Sie können jetzt nicht zum Hauptbahnhof fahren.",Richtig,Falsch,,Falsch,A1,travel,022
goethe-a1-sd1-exam-training-3,reading,3,14,true-false,An einer Haustür: Sie können die Wohnung nicht besichtigen.,Richtig,Falsch,,Richtig,A1,home,023
goethe-a1-sd1-exam-training-3,reading,3,15,true-false,Im Bahnhof: Ab 22 Uhr können Sie keine Fahrkarten mehr kaufen.,Richtig,Falsch,,Falsch,A1,travel,023
goethe-a1-sd1-exam-training-3,writing,1,1,fill-in,"Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular (Patienteninformation). Postleitzahl, Wohnort: 20969 ___________",,,,Hamburg,A1,personal-info,024
goethe-a1-sd1-exam-training-3,writing,1,2,fill-in,Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular (Patienteninformation). Alter: ___________,,,,30 (Jahre) / dreißig (Jahre),A1,personal-info,024
goethe-a1-sd1-exam-training-3,writing,1,3,fill-in,Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular (Patienteninformation). Beruf: ___________,,,,Reiseleiter,A1,profession,024
goethe-a1-sd1-exam-training-3,writing,1,4,fill-in,Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular (Patienteninformation). Seit wann sind Sie krank? ___________,,,,gestern / seit gestern / 15.06. / 15. Juni,A1,health,024
goethe-a1-sd1-exam-training-3,writing,1,5,fill-in,Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular (Patienteninformation). Was fehlt Ihnen? ___________,,,,Ich habe (39 Grad/°) Fieber./ (39 Grad/°) Fieber,A1,health,024
goethe-a1-sd1-exam-training-3,writing,2,1,open-ended,"Ihr neuer Kollege, Herr Jensch, lädt Sie am Dienstag um 15 Uhr zu seiner Geburtstagsfeier im Büro ein. Schreiben Sie Herrn Jensch eine E-Mail: - Warum schreiben Sie? - Sagen Sie: später kommen. - Fragen Sie: helfen? Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.",,,,(open-ended),A1,communication,025
goethe-a1-sd1-exam-training-3,speaking,1,1,open-ended,Sich vorstellen. Name? Alter? Land? Wohnort? Sprachen? Beruf? Hobby?,,,,(open-ended),A1,personal-info,028
