collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,option_d,option_e,correct_answer,level,topic,source_page
cosmopolite-a1-methode,speaking,,4,speaking-task,Nous présentons l'alphabet. En petits groupes.,Nous présentons l'alphabet. En petits groupes. Imaginez une présentation originale de l'alphabet. Présentez votre alphabet à la classe.,,,,,,(open-ended),A1,communication,014
cosmopolite-a1-methode,reading,,5,short-answer,Lisez le forum. Répondez à la question de Viviana Jones.,Lisez le forum. Répondez à la question de Viviana Jones.,,,,,,,A1,communication,014
cosmopolite-a1-methode,listening,,6a,short-answer,Écoutez et répondez.,Comment elle s'appelle ?,,,,,,,A1,communication,014
cosmopolite-a1-methode,listening,,6b,short-answer,Écoutez et répondez.,Comment ça s'écrit ?,,,,,,,A1,communication,014
cosmopolite-a1-methode,listening,,7,fill-in,Écoutez. Écrivez les prénoms.,Écoutez. Écrivez les prénoms.,,,,,,,A1,communication,014
cosmopolite-a1-methode,speaking,À NOUS !,8,speaking-task,Nous faisons notre première photo de classe. En petits groupes.,Nous faisons notre première photo de classe. En petits groupes. Levez-vous. Demandez le prénom de votre voisin(e) de gauche et de votre voisin(e) de droite. Placez-vous par ordre alphabétique. Prenez une photo.,,,,,,(open-ended),A1,communication,014
cosmopolite-a1-methode,reading,,1,matching,Observez le classement. Associez.,Observez le classement. Associez. numéro un — l'Allemagne ; numéro deux — la Russie ; numéro trois — la Grande-Bretagne ; numéro quatre — les États-Unis ; numéro cinq — la Chine.,,,,,,numéro un = les États-Unis ; numéro deux = la Grande-Bretagne ; numéro trois = la Chine ; numéro quatre = la Russie ; numéro cinq = l'Allemagne (d'après le tableau de classement affiché sur la page),A1,travel,015
cosmopolite-a1-methode,grammar,,2,fill-in,"Par deux. Écoutez. Complétez avec le, la, l', les.","Par deux. Écoutez. Complétez avec le, la, l', les. 1. … États-Unis 2. … Grande-Bretagne 3. … Chine 4. … Russie 5. … Allemagne 6. … Japon 7. … France 8. … Corée du Sud 9. … Italie 10. … Australie 11. … Pays-Bas 12. … Hongrie 13. … Brésil 14. … Espagne 15. … Kenya 16. … Jamaïque 17. … Croatie 18. Ø Cuba 19. … Nouvelle-Zélande 20. … Canada",,,,,,1. les États-Unis 2. la Grande-Bretagne 3. la Chine 4. la Russie 5. l'Allemagne 6. le Japon 7. la France 8. la Corée du Sud 9. l'Italie 10. l'Australie 11. les Pays-Bas 12. la Hongrie 13. le Brésil 14. l'Espagne 15. le Kenya 16. la Jamaïque 17. la Croatie 18. Ø Cuba 19. la Nouvelle-Zélande 20. le Canada,A1,travel,015
cosmopolite-a1-methode,listening,,3,speaking-task,Réécoutez. Répétez le classement des pays de 1 à 10.,Réécoutez. Répétez le classement des pays de 1 à 10.,,,,,,(open-ended),A1,travel,015
cosmopolite-a1-methode,grammar,FOCUS LANGUE,genre-des-pays,fill-in,Observez. Complétez la règle.,Observez. Complétez la règle. a. le Japon • le Brésil • le Liban • l'Iran. b. la Chine • la Hongrie • la Russie • l'Australie. c. les États-Unis • les Pays-Bas. Les noms de pays qui terminent par la lettre … sont féminins. Les noms de pays qui terminent par la lettre … sont pluriels.,,,,,,Les noms de pays qui terminent par la lettre e sont féminins ; les noms de pays qui terminent par la lettre s sont pluriels.,A1,travel,015
cosmopolite-a1-methode,grammar,,4,fill-in,Par deux. Observez les nombres en vert et en bleu. Complétez le tableau. Écoutez pour vérifier.,Par deux. Observez les nombres en vert et en bleu. Complétez le tableau. Écoutez pour vérifier.,,,,,,21 vingt et un ; 32 trente-deux ; 37 trente-sept ; 41 quarante et un ; 44 quarante-quatre ; 49 quarante-neuf ; 53 cinquante-trois ; 56 cinquante-six ; 58 cinquante-huit ; 61 soixante et un ; 66 soixante-six,A1,travel,016
cosmopolite-a1-methode,listening,,5,short-answer,Par deux. Écoutez. Repérez dans le tableau le nombre entendu.,Par deux. Écoutez. Repérez dans le tableau le nombre entendu.,,,,,,,A1,travel,016
cosmopolite-a1-methode,speaking,À NOUS !,6,speaking-task,Nous comptons. En groupe.,Nous comptons. En groupe. Chaque étudiant écrit un chiffre de 1 à 20 sur trois papiers différents. Le professeur écrit ou dit un nombre. Exemple : 26. Les étudiants forment un groupe pour totaliser 26. Ils disent « vingt-six ». Un(e) étudiant(e) écrit ou dit un nombre. L'activité continue.,,,,,,(open-ended),A1,travel,016
cosmopolite-a1-methode,grammar,FOCUS LANGUE,article-defini,fill-in,"Observez. Complétez avec le, la, l', les.","Observez. Complétez avec le, la, l', les. Masculin singulier : … Brésil, … Liban. Féminin singulier : … Chine, … France. Pluriel : … États-Unis, … Pays-Bas. Devant une voyelle : … Iran, … Espagne.",,,,,,"le Brésil, le Liban ; la Chine, la France ; les États-Unis, les Pays-Bas ; l'Iran, l'Espagne",A1,travel,016
cosmopolite-a1-methode,reading,,1a,short-answer,En petits groupes. Observez le calendrier des cours.,En petits groupes. Observez le calendrier des cours. Repérez : 1. les quatre sessions de cours ; 2. les mois pour chaque session.,,,,,,"Automne (septembre, octobre, novembre) ; Hiver (décembre, janvier, février) ; Printemps (mars, avril, mai) ; Été (juin, juillet, août)",A1,time-dates,017
cosmopolite-a1-methode,grammar,,1b,fill-in,En petits groupes. Observez le calendrier des cours.,"Complétez avec les mois de l'année. 1. Le printemps : mars, … 2. L'été : juin, … 3. L'automne : septembre, … 4. L'hiver : décembre, …",,,,,,"Printemps : mars, avril, mai ; Été : juin, juillet, août ; Automne : septembre, octobre, novembre ; Hiver : décembre, janvier, février",A1,time-dates,017
cosmopolite-a1-methode,speaking,,1c,open-ended,En petits groupes. Observez le calendrier des cours.,Comparez avec les saisons de votre pays.,,,,,,,A1,time-dates,017
cosmopolite-a1-methode,listening,,2a,fill-in,Écoutez la chanson.,Écoutez la chanson. Complétez les jours de la semaine. lun… • mar… • mer… • jeu… • ven… • same… • dim…,,,,,,"lundi, mardi, mercredi, jeudi, vendredi, samedi, dimanche",A1,time-dates,018
cosmopolite-a1-methode,writing,,2b,short-answer,Écoutez la chanson.,"Écrivez la date : Aujourd'hui, c'est le…",,,,,,(open-ended),A1,time-dates,018
cosmopolite-a1-methode,speaking,,2c,open-ended,Écoutez la chanson.,Comparez les jours de la semaine en français et dans votre langue.,,,,,,,A1,time-dates,018
cosmopolite-a1-methode,speaking,,3,open-ended,Par deux. Observez l'affiche. Qui parle : le professeur ou l'étudiante ? Faites des hypothèses.,Par deux. Observez l'affiche. Qui parle : le professeur ou l'étudiante ? Faites des hypothèses.,,,,,,,A1,time-dates,018
cosmopolite-a1-methode,listening,,4,short-answer,Écoutez pour vérifier vos réponses.,Écoutez pour vérifier vos réponses.,,,,,,,A1,time-dates,018
cosmopolite-a1-methode,speaking,À NOUS !,5,speaking-task,Nous communiquons en classe. En petits groupes.,"Nous communiquons en classe. En petits groupes. Choisissez deux phrases de l'affiche. Illustrez avec une photo, un dessin ou un mime. Présentez vos phrases à la classe. La classe trouve quelles phrases vous présentez.",,,,,,(open-ended),A1,time-dates,018
cosmopolite-a1-methode,grammar,FOCUS LANGUE,jours-mois-saisons-a,fill-in,Complétez.,"Complétez. Les jours de la semaine : lundi, … Les mois de l'année : janvier, février, mars, … Les saisons : l'été, …",,,,,,"lundi, mardi, mercredi, jeudi, vendredi, samedi, dimanche ; janvier, février, mars, avril, mai, juin, juillet, août, septembre, octobre, novembre, décembre ; l'été, l'automne, l'hiver, le printemps",A1,time-dates,018
cosmopolite-a1-methode,speaking,FOCUS LANGUE,jours-mois-saisons-b,open-ended,En petits groupes. Trouvez un moyen de mémoriser les jours de la semaine et les mois de l'année. Partagez vos idées avec la classe.,En petits groupes. Trouvez un moyen de mémoriser les jours de la semaine et les mois de l'année. Partagez vos idées avec la classe.,,,,,,,A1,time-dates,018
cosmopolite-a1-methode,speaking,,①,open-ended,En petits groupes. Répondez. À votre avis…,En petits groupes. Répondez. À votre avis… Les Français se saluent comment ? Et les habitants de votre pays ?,,,,,,,A1,communication,019
cosmopolite-a1-methode,speaking,,②,open-ended,En petits groupes. Répondez. À votre avis…,Les Français utilisent tu ou vous ? Et les habitants de votre pays ?,,,,,,,A1,communication,019
cosmopolite-a1-methode,speaking,,comparaison,open-ended,En groupe. Comparez vos réponses.,En groupe. Comparez vos réponses.,,,,,,,A1,communication,020
cosmopolite-a1-methode,speaking,PROJETS,projet-classe,speaking-task,,Un projet de classe : Réaliser un diaporama de présentation des étudiants de la classe pour faire connaissance.,,,,,,(open-ended),A1,communication,020
cosmopolite-a1-methode,speaking,PROJETS,projet-monde,speaking-task,,Et un projet ouvert sur le monde : Réaliser une présentation audio ou vidéo de la classe.,,,,,,(open-ended),A1,communication,020
cosmopolite-a1-methode,speaking,,③,open-ended,En petits groupes. Répondez. À votre avis…,"On parle français en : Europe, Asie, Afrique, Amérique, Océanie. Et la langue de votre pays ?",,,,,,,A1,communication,020
cosmopolite-a1-methode,speaking,,④,open-ended,En petits groupes. Répondez. À votre avis…,Parler français est utile pour : a. communiquer. b. travailler. c. voyager. Et la langue de votre pays ?,,,,,,,A1,communication,020
cosmopolite-a1-methode,speaking,,1a,short-answer,Observez les photos.,Observez les photos. Identifiez chaque situation : formelle ou informelle ?,,,,,,,A1,communication,021
cosmopolite-a1-methode,listening,,1b,short-answer,Observez les photos.,Écoutez les dialogues (doc. 1). Vérifiez vos réponses.,,,,,,,A1,communication,021
cosmopolite-a1-methode,speaking,,2,matching,Par deux. Associez les phrases aux photos.,"Par deux. Associez les phrases aux photos. a. Salut Ivana ! Ça va ? b. Je vais bien, merci. Et vous ? c. Bonjour madame ! d. Le cours commence ! À plus tard ! e. Au revoir. Bonne journée ! f. Salut Juan ! Oui, ça va, et toi ? Tu vas bien ? g. Excusez-moi ! Je suis en retard ! Au revoir ! h. Bonjour monsieur ! i. Salut ! j. Bien, merci. k. Comment allez-vous ? l. Je vais très bien. m. À demain !",,,,,,a. → Dialogue 1 (seule association donnée en exemple dans le texte ; les autres ne sont pas résolues sans audio),A1,communication,021
cosmopolite-a1-methode,speaking,,3,ordering,Par deux. Reconstituez les dialogues. Réécoutez (doc. 1) pour vérifier.,Par deux. Reconstituez les dialogues. Réécoutez (doc. 1) pour vérifier.,,,,,,,A1,communication,021
cosmopolite-a1-methode,listening,Sons du français,4a,short-answer,"Fermez les yeux. Écoutez les phrases. Vous entendez [y] dans la première syllabe, montrez 1 ; dans la deuxième syllabe, montrez 2 ; dans la troisième syllabe, montrez 3.","Fermez les yeux. Écoutez les phrases. Vous entendez [y] dans la première syllabe, montrez 1 ; dans la deuxième syllabe, montrez 2 ; dans la troisième syllabe, montrez 3. Exemple : Salut Anne ! → 2",,,,,,,A1,communication,021
cosmopolite-a1-methode,listening,Sons du français,4b,speaking-task,"Écoutez. Vous entendez [y], saluez de manière informelle. Vous entendez [u], saluez de manière formelle.","Écoutez. Vous entendez [y], saluez de manière informelle. Vous entendez [u], saluez de manière formelle.",,,,,,(open-ended),A1,communication,021
cosmopolite-a1-methode,grammar,FOCUS LANGUE,formules-saluer,fill-in,Complétez avec les phrases de l'activité 2.,Les formules pour se saluer. Complétez avec les phrases de l'activité 2 : Saluer / Prendre congé / Demander comment ça va / Dire comment ça va (situation formelle / situation informelle).,,,,,,,A1,communication,021
cosmopolite-a1-methode,grammar,FOCUS LANGUE,tu-vous,fill-in,Complétez avec tu ou vous.,Tu ou vous pour s'adresser à une ou des personnes. Complétez avec tu ou vous. Comment allez-…? / …vas bien ? / Comment allez-vous ? Vous allez bien ?,,,,,,Comment allez-vous ? (situation formelle) ; Tu vas bien ? (situation informelle),A1,communication,021
cosmopolite-a1-methode,speaking,,5,speaking-task,En groupe.,En groupe. Choisissez une situation : formelle ou informelle. Levez-vous et marchez dans la classe. Au signal du professeur : vous saluez ; vous demandez et dites comment ça va ; vous prenez congé.,,,,,,(open-ended),A1,personal-info,022
cosmopolite-a1-methode,reading,,6a,true-false,Lisez le document 2. Vrai ou faux ? Pourquoi ?,C'est une invitation pour la Journée internationale des droits de l'enfant.,,,,,,Vrai,A1,personal-info,022
cosmopolite-a1-methode,reading,,6b,true-false,Lisez le document 2. Vrai ou faux ? Pourquoi ?,La Journée internationale des droits de l'enfant est le 20 novembre.,,,,,,Vrai,A1,personal-info,022
cosmopolite-a1-methode,reading,,6c,true-false,Lisez le document 2. Vrai ou faux ? Pourquoi ?,Le cocktail est à Paris.,,,,,,Faux (l'invitation indique l'Ambassade de France à Stockholm),A1,personal-info,022
cosmopolite-a1-methode,reading,,6d,true-false,Lisez le document 2. Vrai ou faux ? Pourquoi ?,"L'identité, c'est : un nom, un prénom, une adresse.",,,,,,"Faux (l'invitation dit : un nom, un prénom et une nationalité)",A1,personal-info,022
cosmopolite-a1-methode,listening,,7a,short-answer,Écoutez la conversation (doc. 3).,Écoutez la conversation (doc. 3). Identifiez la situation : formelle ou informelle ?,,,,,,,A1,personal-info,022
cosmopolite-a1-methode,listening,,7b,short-answer,Écoutez la conversation (doc. 3).,Qui parle ? À qui ? Où ?,,,,,,,A1,personal-info,022
cosmopolite-a1-methode,listening,,8,short-answer,Par deux. Réécoutez (doc. 3). Relevez les phrases pour :,"Par deux. Réécoutez (doc. 3). Relevez les phrases pour : a. se saluer ; b. se présenter (nom, prénom) ; c. demander et dire comment ça va.",,,,,,,A1,personal-info,022
cosmopolite-a1-methode,speaking,À NOUS !,9,speaking-task,Nous nous présentons.,"Nous nous présentons. Par deux. Vous vous saluez, vous demandez comment ça va, vous vous présentez (nom, prénom) et vous prenez congé. La classe vote pour le meilleur dialogue.",,,,,,(open-ended),A1,personal-info,022
cosmopolite-a1-methode,grammar,FOCUS LANGUE,articles-indefinis,fill-in,"Complétez avec un, une, des.","Les articles indéfinis pour nommer des choses ou des personnes non identifiées. Complétez avec un, une, des. Singulier masculin : … nom, … prénom, … cocktail. Singulier féminin : … nationalité, une invitation, … identité. Pluriel masculin : … droits, … professionnels. Pluriel féminin : des personnes, … rencontres.",,,,,,"un nom, un prénom, un cocktail ; une nationalité, une invitation, une identité ; des droits, des professionnels ; des personnes, des rencontres",A1,personal-info,022
cosmopolite-a1-methode,listening,,1,matching,Écoutez. Associez les sons aux photos.,Écoutez. Associez les sons aux photos.,,,,,,,A1,travel,023
cosmopolite-a1-methode,reading,,2a,matching,Observez les photos. Identifiez les situations.,Observez les photos. Identifiez les situations. Où ? 1. une gare 2. une route 3. un aéroport 4. une gare routière,,,,,,1. une gare → Photo a (exemple donné dans le texte),A1,travel,023
cosmopolite-a1-methode,reading,,2b,matching,Observez les photos. Identifiez les situations.,Qui ? 1. une dame 2. un jeune homme et une jeune femme 3. des hommes et des femmes 4. une femme et un homme,,,,,,,A1,travel,023
cosmopolite-a1-methode,reading,,2c,matching,Observez les photos. Identifiez les situations.,Quelle saison ? 1. l'automne 2. le printemps 3. l'hiver 4. l'été,,,,,,,A1,travel,023
cosmopolite-a1-methode,reading,,2d,matching,Observez les photos. Identifiez les situations.,Quand ? 1. le matin 2. à midi 3. l'après-midi 4. le soir,,,,,,,A1,travel,023
cosmopolite-a1-methode,listening,,3,matching,Par deux. Écoutez les dialogues (doc. 1). Associez les dialogues aux photos de l'activité 1.,Par deux. Écoutez les dialogues (doc. 1). Associez les dialogues aux photos de l'activité 1.,,,,,,,A1,travel,023
cosmopolite-a1-methode,listening,,4,matching,Par deux. Réécoutez (doc. 1). Ils parlent de quoi ? Associez.,Par deux. Réécoutez (doc. 1). Ils parlent de quoi ? Associez. dialogue 1 / a. un train ; dialogue 2 / b. une voiture ; dialogue 3 / c. un billet d'avion ; dialogue 4 / d. un bus,,,,,,,A1,travel,023
cosmopolite-a1-methode,grammar,FOCUS LANGUE,mots-interrogatifs,fill-in,Complétez avec d'autres exemples.,"Les mots interrogatifs pour demander des informations. Complétez avec d'autres exemples. a. Où ? Un lieu : une gare routière, … b. Qui ? Une personne identifiée : Nicolas Pron, Véronique Lönnerblad. Une ou des personnes non identifiées : une dame, … c. Quand ? Un moment de la journée, une date, une saison : le matin, … d. Quoi ? L'objet d'une conversation : un billet d'avion, …",,,,,,,A1,travel,023
cosmopolite-a1-methode,listening,FOCUS LANGUE,politesse,short-answer,Écoutez encore (doc. 1). Retrouvez les deux autres formules de politesse.,"Les formules de politesse pour demander ou donner des informations. Écoutez encore (doc. 1). Retrouvez les deux autres formules de politesse. Exemple : Je voudrais un billet d'avion pour Nice, s'il vous plaît.",,,,,,,A1,travel,023
cosmopolite-a1-methode,writing,,5,writing-task,En petits groupes.,En petits groupes. Imaginez une situation (qui ? où ? quand ? quoi ?). Cherchez une photo pour illustrer la situation. Écrivez la légende de la photo.,,,,,,(open-ended),A1,personal-info,024
cosmopolite-a1-methode,listening,,6a,true-false,Écoutez la conversation (doc. 2). Vrai ou faux ? Pourquoi ?,Corina demande le numéro de téléphone d'Azad.,,,,,,,A1,personal-info,024
cosmopolite-a1-methode,listening,,6b,true-false,Écoutez la conversation (doc. 2). Vrai ou faux ? Pourquoi ?,Azad épelle son prénom et son nom.,,,,,,,A1,personal-info,024
cosmopolite-a1-methode,listening,,6c,true-false,Écoutez la conversation (doc. 2). Vrai ou faux ? Pourquoi ?,Le numéro de téléphone d'Azad est le 06 70 81 90 95.,,,,,,,A1,personal-info,024
cosmopolite-a1-methode,listening,,6d,true-false,Écoutez la conversation (doc. 2). Vrai ou faux ? Pourquoi ?,Il s'appelle Azad Sasi.,,,,,,,A1,personal-info,024
cosmopolite-a1-methode,listening,,7,matching,Par deux. Réécoutez le numéro de téléphone d'Azad (doc. 2). Associez.,Par deux. Réécoutez le numéro de téléphone d'Azad (doc. 2). Associez. a. 70 b. 80 c. 81 d. 95 / 1. quatre-vingt-quinze 2. quatre-vingt-un 3. quatre-vingts 4. soixante-dix,,,,,,a-4 (70 = soixante-dix) ; b-3 (80 = quatre-vingts) ; c-2 (81 = quatre-vingt-un) ; d-1 (95 = quatre-vingt-quinze),A1,personal-info,024
cosmopolite-a1-methode,listening,Sons du français,8a,true-false,Écoutez et observez.,"Écoutez et observez : soixante • soixante et un • soixante-huit • soixante-dix • soixante et onze • soixante-quatorze. Vrai ou faux ? Dans « soixante et un », on entend une pause après « soixante » et après « et ».",,,,,,,A1,personal-info,024
cosmopolite-a1-methode,listening,Sons du français,8b,speaking-task,Écoutez et répétez. Tapez sur la table avec le doigt pour chaque syllabe. Tapez plus fort pour la dernière syllabe.,Écoutez et répétez. Tapez sur la table avec le doigt pour chaque syllabe. Tapez plus fort pour la dernière syllabe.,,,,,,(open-ended),A1,personal-info,024
cosmopolite-a1-methode,speaking,À NOUS !,9,speaking-task,Nous imaginons une situation. En petits groupes.,Nous imaginons une situation. En petits groupes. Échangez votre photo et sa légende (activité 5). Imaginez un dialogue entre les personnes. Présentez la photo et la situation à la classe. Jouez le dialogue.,,,,,,(open-ended),A1,personal-info,024
cosmopolite-a1-methode,grammar,FOCUS LANGUE,nombres2-a,fill-in,Observez et complétez.,"Observez et complétez. 1. 70, c'est … + … . 2. 80, c'est … x … . 3. 90, c'est quatre-vingts + … .",,,,,,70 = soixante + dix ; 80 = quatre x vingt ; 90 = quatre-vingts + dix,A1,personal-info,024
cosmopolite-a1-methode,grammar,FOCUS LANGUE,nombres2-b,fill-in,Complétez avec et ou –.,"Complétez avec et ou –. 1. J'utilise … pour 21, 31, 41, 51, 61 et 71. 2. J'utilise … pour 81 et 91.",,,,,,1. et ; 2. – (tiret),A1,personal-info,024
cosmopolite-a1-methode,listening,FOCUS LANGUE,nombres2-c,fill-in,Écoutez. Écrivez les numéros de téléphone.,Écoutez. Écrivez les numéros de téléphone. Exemple : 07 – 62 – 88 – 93 – 70.,,,,,,,A1,personal-info,024
cosmopolite-a1-methode,reading,,1,multiple-choice,Observez l'affiche (doc. 1). Choisissez la réponse correcte.,Observez l'affiche (doc. 1). Choisissez la réponse correcte. C'est une affiche pour :,des cours de français.,un festival francophone.,la Journée européenne des langues.,,,un festival francophone.,A1,personal-info,025
cosmopolite-a1-methode,reading,,2,true-false,Par deux. Lisez le programme (doc. 3). Vrai ou faux ? Pourquoi ?,"Les cinq continents (l'Afrique, l'Amérique, l'Asie, l'Europe, l'Océanie) sont présents au festival.",,,,,,,A1,personal-info,025
cosmopolite-a1-methode,listening,,3,fill-in,Par deux. Écoutez le dialogue 1 (doc. 2). Complétez le programme (doc. 3) avec les professions et les nationalités.,Par deux. Écoutez le dialogue 1 (doc. 2). Complétez le programme (doc. 3) avec les professions et les nationalités.,,,,,,,A1,personal-info,025
cosmopolite-a1-methode,listening,,4,fill-in,Écoutez le dialogue 2 (doc. 2). Complétez les badges.,"Écoutez le dialogue 2 (doc. 2). Complétez les badges. Badge 1 : Nom : ANH, Prénom : Thu, Nationalité : ___, Profession : ___. Badge 2 : Nom : POPOV, Prénom : Vladimir, Nationalité : ___, Profession : ___.",,,,,,,A1,personal-info,026
cosmopolite-a1-methode,listening,,5,short-answer,Réécoutez les dialogues 1 et 2 (doc. 2). Quelles langues parlent Xavier et Thu ?,Réécoutez les dialogues 1 et 2 (doc. 2). Quelles langues parlent Xavier et Thu ? japonais • français • anglais • vietnamien,,,,,,,A1,personal-info,026
cosmopolite-a1-methode,writing,,6,writing-task,"Créez votre badge pour un festival francophone (nom, prénom, nationalité, langues parlées).","Créez votre badge pour un festival francophone (nom, prénom, nationalité, langues parlées).",,,,,,(open-ended),A1,personal-info,026
cosmopolite-a1-methode,listening,Sons du français,7,speaking-task,"Écoutez. La voix monte, levez le bras ↗. La voix descend, baissez le bras ↘.","L'intonation montante et descendante. Écoutez. La voix monte, levez le bras. La voix descend, baissez le bras.",,,,,,(open-ended),A1,personal-info,026
cosmopolite-a1-methode,speaking,À NOUS !,8,speaking-task,Nous échangeons des informations personnelles. Par deux.,"Nous échangeons des informations personnelles. Par deux. Situation informelle. Imaginez votre identité artistique (nom, prénom, nationalité, profession). Vous vous saluez, vous vous présentez et vous prenez congé.",,,,,,(open-ended),A1,personal-info,026
cosmopolite-a1-methode,reading,FOCUS LANGUE,etre-a,short-answer,Lisez les présentations. Qui est-ce ?,"Lisez les présentations. Qui est-ce ? [1] Je suis canadien. Je suis acteur et réalisateur. Et vous, vous êtes français ? [2] Elle est vietnamienne. Elle est musicienne. Et toi ? Tu es musicien ?",,,,,,,A1,personal-info,026
cosmopolite-a1-methode,grammar,FOCUS LANGUE,etre-b,fill-in,Complétez avec le verbe être.,Complétez avec le verbe être. Je … canadien. Tu … musicien ? Il est russe. Elle … vietnamienne. Nous sommes francophones. Vous … français ? Ils sont musiciens. Elles sont musiciennes.,,,,,,suis ; es ; est ; êtes,A1,personal-info,026
cosmopolite-a1-methode,grammar,FOCUS LANGUE,nationalite-a,short-answer,En petits groupes. Observez les nationalités dans le programme (doc. 3) et dans les cercles. Que remarquez-vous ?,En petits groupes. Observez les nationalités dans le programme (doc. 3) et dans les cercles. Que remarquez-vous ?,,,,,,,A1,personal-info,026
cosmopolite-a1-methode,grammar,FOCUS LANGUE,nationalite-b,fill-in,Complétez.,Complétez. Il est chinois. Elle est chinois… . Il est français. Elle est français… . Il est américain. Elle est américain… . Il est brésilien. Elle est brésilien… .,,,,,,chinoise ; française ; américaine ; brésilienne,A1,personal-info,026
cosmopolite-a1-methode,reading,FOCUS LANGUE,profession-b,short-answer,Trouvez un exemple de profession pour chaque catégorie dans le programme du festival (doc. 3).,Trouvez un exemple de profession pour chaque catégorie dans le programme du festival (doc. 3). Exemple : -teur → réalisateur. Xavier Dolan est réalisateur.,,,,,,,A1,personal-info,026
cosmopolite-a1-methode,reading,,1a,short-answer,Observez l'affiche du film (doc. 1). Lisez la présentation. Répondez.,Observez l'affiche du film (doc. 1). Lisez la présentation. Répondez. Comment s'appelle la réalisatrice ?,,,,,,Anne Fontaine,A1,personal-info,027
cosmopolite-a1-methode,reading,,1b,short-answer,Observez l'affiche du film (doc. 1). Lisez la présentation. Répondez.,Qui sont les acteurs ?,,,,,,Gemma Arterton et Fabrice Luchini,A1,personal-info,027
cosmopolite-a1-methode,reading,,1c,short-answer,Observez l'affiche du film (doc. 1). Lisez la présentation. Répondez.,Où se passe le film ?,,,,,,Dans un petit village en Normandie,A1,personal-info,027
cosmopolite-a1-methode,reading,,1d,short-answer,Observez l'affiche du film (doc. 1). Lisez la présentation. Répondez.,Comment s'appellent les personnages du film ?,,,,,,"Martin, Gemma et Charles Bovery",A1,personal-info,027
cosmopolite-a1-methode,listening,,2a-1,true-false,Par deux. Écoutez l'interview de Gemma Arterton (doc. 2). Quelles phrases sont correctes ?,Elle est anglaise.,,,,,,Vrai,A1,personal-info,027
cosmopolite-a1-methode,listening,,2a-2,true-false,Par deux. Écoutez l'interview de Gemma Arterton (doc. 2). Quelles phrases sont correctes ?,Elle est réalisatrice.,,,,,,Faux (elle est actrice ; la réalisatrice est Anne Fontaine),A1,personal-info,027
cosmopolite-a1-methode,listening,,2a-3,true-false,Par deux. Écoutez l'interview de Gemma Arterton (doc. 2). Quelles phrases sont correctes ?,Elle est actrice.,,,,,,Vrai,A1,personal-info,027
cosmopolite-a1-methode,listening,,2a-4,true-false,Par deux. Écoutez l'interview de Gemma Arterton (doc. 2). Quelles phrases sont correctes ?,Elle est belge.,,,,,,Faux (elle est anglaise),A1,personal-info,027
cosmopolite-a1-methode,listening,,2a-5,true-false,Par deux. Écoutez l'interview de Gemma Arterton (doc. 2). Quelles phrases sont correctes ?,Elle parle anglais et français.,,,,,,,A1,personal-info,027
