collection,section,part,item,item_type,instruction,question,option_a,option_b,option_c,option_d,option_e,correct_answer,level,topic,source_page
goethe-a1-sd1-exam-training-3,listening,3,11,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wann will Greta das Formular holen?,Heute Abend.,Morgen.,Montagmorgen.,,,c,A1,communication,012
goethe-a1-sd1-exam-training-3,listening,3,12,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wo möchte Heinz Siggi treffen?,Am Bahnhof.,Im italienischen Restaurant.,"Im Restaurant „Zwiebel"".",,,a,A1,restaurant,012
goethe-a1-sd1-exam-training-3,listening,3,13,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wann möchte Eva Schmitz am Mittwoch kommen?,Um 10.00 Uhr.,Um 11.00 Uhr.,Um 12.00 Uhr.,,,a,A1,time-dates,012
goethe-a1-sd1-exam-training-3,listening,3,14,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Was soll man sagen?,Die Adresse.,Die E-Mail-Adresse.,Die Telefonnummer.,,,c,A1,communication,013
goethe-a1-sd1-exam-training-3,listening,3,15,multiple-choice,"Was ist richtig? Kreuzen Sie an: a, b oder c. Sie hören jeden Text zweimal.",Wie kommt Herr Müller ins Büro?,Mit dem Fahrrad.,Mit der Straßenbahn.,Mit dem Auto.,,,a,A1,travel,013
goethe-a1-sd1-exam-training-3,reading,1,0,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Herr Beck freut sich auf das Konzert.,Richtig,Falsch,,,,Richtig,A1,hobby,016
goethe-a1-sd1-exam-training-3,reading,1,1,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Herr Beck übernachtet im Hotel.,Richtig,Falsch,,,,Falsch,A1,travel,016
goethe-a1-sd1-exam-training-3,reading,1,2,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Herr Beck bietet Frau Dehner seine Hilfe an.,Richtig,Falsch,,,,Richtig,A1,communication,016
goethe-a1-sd1-exam-training-3,reading,1,3,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Frau Stein ist in Berlin.,Richtig,Falsch,,,,Richtig,A1,profession,017
goethe-a1-sd1-exam-training-3,reading,1,4,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Am Mittwoch hat Frau Stein frei.,Richtig,Falsch,,,,Falsch,A1,profession,017
goethe-a1-sd1-exam-training-3,reading,1,5,true-false,Lesen Sie die beiden Texte und die Aufgaben 1 bis 5. Kreuzen Sie an: Richtig oder Falsch.,Frau Stein will am Freitag Dr. Falk treffen.,Richtig,Falsch,,,,Richtig,A1,profession,017
goethe-a1-sd1-exam-training-3,reading,2,0,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie wollen wissen: Regnet es in Deutschland? — Wo finden Sie Informationen? (Anzeige a oder b),www.openair.de,www.dwd.de,,,,b,A1,weather,018
goethe-a1-sd1-exam-training-3,reading,2,6,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie wollen viele Freunde zu Ihrem Geburtstag einladen. Sie suchen einen Ort. — Wo finden Sie Informationen? (Anzeige a oder b),www.raum-in-koeln.de,www.wohnen-in-koeln.de,,,,a,A1,hobby,018
goethe-a1-sd1-exam-training-3,reading,2,7,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Der Computer ist kaputt. Sie können ihn nicht allein reparieren. — Wo finden Sie Informationen? (Anzeige a oder b),www.computer-loesungen.de,www.technohaus.de,,,,a,A1,shopping,019
goethe-a1-sd1-exam-training-3,reading,2,8,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten am Samstagabend mit Freunden tanzen gehen. — Wo finden Sie Informationen? (Anzeige a oder b),www.tanzen-macht-spass.de,www.wohin-am-wochenende.de,,,,b,A1,hobby,019
goethe-a1-sd1-exam-training-3,reading,2,9,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie möchten am Wochenende Fußball spielen. — Wo finden Sie Informationen? (Anzeige a oder b),www.freizeitsport-freiburg.de,www.fc-1897.de/training,,,,b,A1,hobby,020
goethe-a1-sd1-exam-training-3,reading,2,10,matching,Lesen Sie die Texte und die Aufgaben 6 bis 10. Wo finden Sie Informationen? Kreuzen Sie an: a oder b.,Sie studieren und möchten ein bisschen arbeiten. — Wo finden Sie Informationen? (Anzeige a oder b),0176 – 55 44 321,0160 – 683 456 20,,,,a,A1,profession,020
goethe-a1-sd1-exam-training-3,reading,3,0,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,An der Tür der Sprachschule: Zum Deutschlernen gehen Sie in die Beethovenstraße 23.,Richtig,Falsch,,,,Richtig,A1,school,021
goethe-a1-sd1-exam-training-3,reading,3,11,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Vor einem Blumenladen: Am Sonntagvormittag bekommen Sie hier Blumen.,Richtig,Falsch,,,,Richtig,A1,shopping,021
goethe-a1-sd1-exam-training-3,reading,3,12,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Im Restaurant: Jeden Montag bietet das Restaurant indisches Essen an.,Richtig,Falsch,,,,Falsch,A1,restaurant,022
goethe-a1-sd1-exam-training-3,reading,3,13,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,"Bei der Straßenbahn: Es ist der 2. Mai, 21 Uhr. Sie können jetzt nicht zum Hauptbahnhof fahren.",Richtig,Falsch,,,,Falsch,A1,travel,022
goethe-a1-sd1-exam-training-3,reading,3,14,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,An einer Haustür: Sie können die Wohnung nicht besichtigen.,Richtig,Falsch,,,,Richtig,A1,home,023
goethe-a1-sd1-exam-training-3,reading,3,15,true-false,Lesen Sie die Texte und die Aufgaben 11 bis 15. Kreuzen Sie an: Richtig oder Falsch.,Im Bahnhof: Ab 22 Uhr können Sie keine Fahrkarten mehr kaufen.,Richtig,Falsch,,,,Falsch,A1,travel,023
goethe-a1-sd1-exam-training-3,writing,1,1,fill-in,"Ihr Freund, Vladimir Serjakov, 30 Jahre alt, kommt aus Sankt Petersburg in Russland und lebt seit einem Monat in Hamburg. Er hat eine neue Stelle bei TUI als Reiseleiter. Seit gestern hat er 39 Grad Fieber. Heute geht er zum Arzt. Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.","Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular (Patienteninformation). Postleitzahl, Wohnort: 20969 ___________",,,,,,Hamburg,A1,personal-info,024
goethe-a1-sd1-exam-training-3,writing,1,2,fill-in,"Ihr Freund, Vladimir Serjakov, 30 Jahre alt, kommt aus Sankt Petersburg in Russland und lebt seit einem Monat in Hamburg. Er hat eine neue Stelle bei TUI als Reiseleiter. Seit gestern hat er 39 Grad Fieber. Heute geht er zum Arzt. Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular (Patienteninformation). Alter: ___________,,,,,,30 (Jahre) / dreißig (Jahre),A1,personal-info,024
goethe-a1-sd1-exam-training-3,writing,1,3,fill-in,"Ihr Freund, Vladimir Serjakov, 30 Jahre alt, kommt aus Sankt Petersburg in Russland und lebt seit einem Monat in Hamburg. Er hat eine neue Stelle bei TUI als Reiseleiter. Seit gestern hat er 39 Grad Fieber. Heute geht er zum Arzt. Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular (Patienteninformation). Beruf: ___________,,,,,,Reiseleiter,A1,profession,024
goethe-a1-sd1-exam-training-3,writing,1,4,fill-in,"Ihr Freund, Vladimir Serjakov, 30 Jahre alt, kommt aus Sankt Petersburg in Russland und lebt seit einem Monat in Hamburg. Er hat eine neue Stelle bei TUI als Reiseleiter. Seit gestern hat er 39 Grad Fieber. Heute geht er zum Arzt. Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular (Patienteninformation). Seit wann sind Sie krank? ___________,,,,,,gestern / seit gestern / 15.06. / 15. Juni,A1,health,024
goethe-a1-sd1-exam-training-3,writing,1,5,fill-in,"Ihr Freund, Vladimir Serjakov, 30 Jahre alt, kommt aus Sankt Petersburg in Russland und lebt seit einem Monat in Hamburg. Er hat eine neue Stelle bei TUI als Reiseleiter. Seit gestern hat er 39 Grad Fieber. Heute geht er zum Arzt. Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular. Am Ende schreiben Sie Ihre Lösungen bitte auf den Antwortbogen.",Helfen Sie Ihrem Freund und schreiben Sie die fünf fehlenden Informationen in das Formular (Patienteninformation). Was fehlt Ihnen? ___________,,,,,,Ich habe (39 Grad/°) Fieber./ (39 Grad/°) Fieber,A1,health,024
goethe-a1-sd1-exam-training-3,writing,2,1,open-ended,Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.,"Ihr neuer Kollege, Herr Jensch, lädt Sie am Dienstag um 15 Uhr zu seiner Geburtstagsfeier im Büro ein. Schreiben Sie Herrn Jensch eine E-Mail: - Warum schreiben Sie? - Sagen Sie: später kommen. - Fragen Sie: helfen? Schreiben Sie zu jedem Punkt ein bis zwei Sätze auf den Antwortbogen (circa 30 Wörter). Schreiben Sie auch eine Anrede und einen Gruß.",,,,,,(open-ended),A1,communication,025
goethe-a1-sd1-exam-training-3,speaking,1,1,open-ended,Sich vorstellen.,Sich vorstellen. Name? Alter? Land? Wohnort? Sprachen? Beruf? Hobby?,,,,,,(open-ended),A1,personal-info,028
goethe-a1-sd1-exam-training-3,speaking,2,Karte 1,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Beruf — Arbeitszeit,,,,,,(open-ended),A1,profession,029
goethe-a1-sd1-exam-training-3,speaking,2,Karte 2,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Beruf — Kollegen,,,,,,(open-ended),A1,profession,029
goethe-a1-sd1-exam-training-3,speaking,2,Karte 3,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Beruf — Spaß,,,,,,(open-ended),A1,profession,029
goethe-a1-sd1-exam-training-3,speaking,2,Karte 4,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Beruf — Arbeitskleidung,,,,,,(open-ended),A1,profession,029
goethe-a1-sd1-exam-training-3,speaking,2,Karte 5,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Beruf — Arbeitsplatz,,,,,,(open-ended),A1,profession,029
goethe-a1-sd1-exam-training-3,speaking,2,Karte 6,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Beruf — Aufgaben,,,,,,(open-ended),A1,profession,029
goethe-a1-sd1-exam-training-3,speaking,2,Karte 7,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Sport — Lieblingssport,,,,,,(open-ended),A1,hobby,030
goethe-a1-sd1-exam-training-3,speaking,2,Karte 8,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Sport — schwimmen,,,,,,(open-ended),A1,hobby,030
goethe-a1-sd1-exam-training-3,speaking,2,Karte 9,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Sport — Wochenende,,,,,,(open-ended),A1,hobby,030
goethe-a1-sd1-exam-training-3,speaking,2,Karte 10,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Sport — Abend,,,,,,(open-ended),A1,hobby,030
goethe-a1-sd1-exam-training-3,speaking,2,Karte 11,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Sport — Ball,,,,,,(open-ended),A1,hobby,030
goethe-a1-sd1-exam-training-3,speaking,2,Karte 12,open-ended,Um Informationen bitten und Informationen geben.,Um Informationen bitten und Informationen geben. Thema: Sport — Fahrrad,,,,,,(open-ended),A1,hobby,030
goethe-a1-sd1-exam-training-3,speaking,3,Karte 1,open-ended,Bitten formulieren und darauf reagieren.,"Bitten formulieren und darauf reagieren. Bildkarte: ein Postamt (Gebäude mit Aufschrift „Postamt"" und Postsymbol).",,,,,,(open-ended),A1,city-places,031
goethe-a1-sd1-exam-training-3,speaking,3,Karte 2,open-ended,Bitten formulieren und darauf reagieren.,"Bitten formulieren und darauf reagieren. Bildkarte: ein Taxi vor einem Schild mit der Aufschrift „TAXI"".",,,,,,(open-ended),A1,travel,031
goethe-a1-sd1-exam-training-3,speaking,3,Karte 3,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: Verbotsschild — durchgestrichenes Symbol einer schwimmenden Person im Wasser (Schwimmen verboten).,,,,,,(open-ended),A1,hobby,031
goethe-a1-sd1-exam-training-3,speaking,3,Karte 4,open-ended,Bitten formulieren und darauf reagieren.,"Bitten formulieren und darauf reagieren. Bildkarte: eine Restaurantrechnung mit der Aufschrift „Restaurant ‚Zum goldenen Hirschen'"" und Beträgen (98,10 Euro).",,,,,,(open-ended),A1,restaurant,031
goethe-a1-sd1-exam-training-3,speaking,3,Karte 5,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: ein Schlüssel (in einer Hülle/Etui).,,,,,,(open-ended),A1,home,031
goethe-a1-sd1-exam-training-3,speaking,3,Karte 6,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: ein Paar Sportschuhe / Turnschuhe.,,,,,,(open-ended),A1,shopping,031
goethe-a1-sd1-exam-training-3,speaking,3,Karte 7,open-ended,Bitten formulieren und darauf reagieren.,"Bitten formulieren und darauf reagieren. Bildkarte: ein geöffneter Kulturbeutel / eine Waschtasche mit Seife, einem Buch/Heft und einer Zahnbürste mit Zahnpasta.",,,,,,(open-ended),A1,shopping,032
goethe-a1-sd1-exam-training-3,speaking,3,Karte 8,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: mehrere Flaschen (Flaschen mit Etiketten).,,,,,,(open-ended),A1,shopping,032
goethe-a1-sd1-exam-training-3,speaking,3,Karte 9,open-ended,Bitten formulieren und darauf reagieren.,"Bitten formulieren und darauf reagieren. Bildkarte: Münzen (Geldstücke) mit den Werten 20, 2, 1, 1, 50.",,,,,,(open-ended),A1,shopping,032
goethe-a1-sd1-exam-training-3,speaking,3,Karte 10,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: ein Kalender / Terminplan mit den Wochentagen M D M D F S S und der Uhrzeit 18.00 Uhr.,,,,,,(open-ended),A1,time-dates,032
goethe-a1-sd1-exam-training-3,speaking,3,Karte 11,open-ended,Bitten formulieren und darauf reagieren.,Bitten formulieren und darauf reagieren. Bildkarte: ein Verbotsschild (durchgestrichener Kreis) mit einer Flasche und einem Hamburger — kein Essen/Trinken.,,,,,,(open-ended),A1,food,032
goethe-a1-sd1-exam-training-3,speaking,3,Karte 12,open-ended,Bitten formulieren und darauf reagieren.,"Bitten formulieren und darauf reagieren. Bildkarte: ein Gebäude mit Uhr und Turm, beschriftet BAHNHOF, daneben ein Baum.",,,,,,(open-ended),A1,travel,032
